,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,486.58,566.23,455.78,744.86,516.36,500.4,506.44,554.76,384.25,448.72,424.96,317.15,255.09,370.83,283.68,717.24,-,202.84,-
1,Short-Term Investments,-,386.69,-,343.27,-,225.03,-,110.79,-,-,-,50,-,30,-,-,-,-,-
2,Trading Asset Securities,190.55,114.16,36.32,35.06,227.47,243.09,291.03,265.95,460.97,442.9,471.62,476.57,466.09,403.81,400,-,-,-,-
3,Cash & Short-Term Investments,677.13,1067,492.09,1123,743.83,968.52,797.46,931.49,845.21,891.63,896.58,843.72,721.18,804.65,683.68,717.24,-,202.84,179.14
4,Cash Growth,-8.97%,10.18%,-38.29%,20.58%,-12.00%,8.62%,-11.06%,10.40%,17.20%,10.81%,31.14%,17.64%,-,296.68%,281.66%,-,-,-,-
5,Accounts Receivable,572.73,543.76,490.19,416.94,470.67,454.84,496.6,455.21,405.14,375.97,345.4,383,369.79,324.47,313.5,276.04,-,247.86,-
6,Other Receivables,74.57,67.16,64.59,55.37,78.03,38.94,32.7,22.56,24.9,27.43,26.21,18.77,18.07,17.66,16.82,13.7,-,10.7,-
7,Receivables,647.3,610.92,554.79,472.31,548.71,493.78,529.3,477.77,430.05,403.39,371.61,401.77,387.86,342.13,330.31,289.74,-,258.56,-
8,Inventory,3.86,4.53,4.92,4.8,7.33,5.31,6.01,4.75,5,4.59,4.38,4.21,3.58,3.54,3.35,3.54,-,2.71,-
9,Prepaid Expenses,-,0.03,-,1.51,-,-,-,0,-,-,-,0.08,-,-,-,0.03,-,-,-
10,Other Current Assets,456.03,37.68,575.27,10.89,324.37,10.16,145.56,12.95,94.55,19.67,29.96,5.78,59.95,8.84,6.72,6.56,-,6.84,-
11,Total Current Assets,1784,1720,1627,1613,1624,1478,1478,1427,1375,1319,1303,1256,1173,1159,1024,1017,-,470.96,-
12,"Property, Plant & Equipment",69.72,69.86,75.47,80.15,76.14,32.77,34.61,37.04,36.9,31.8,30.48,33.67,31.76,26.3,21.75,8.56,-,7.56,-
13,Long-Term Investments,11.69,10.54,9.39,8.24,7.58,6.93,6.36,5.63,5.48,5.21,4.78,4.31,4.11,12.56,11.98,12.22,-,10.15,-
14,Goodwill,21.55,21.55,19.28,19.28,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Other Intangible Assets,7.25,7.18,6.62,6.78,4.86,4.63,4.42,4.17,3.78,2.82,2.84,2.37,0.85,0.94,0.81,0.92,-,0.25,-
16,Long-Term Deferred Tax Assets,12.67,12.18,11.41,9.82,9.01,9.76,8.44,9.88,8.18,7.77,8.11,8.11,4.51,4.97,4.45,3.96,-,3.26,-
17,Long-Term Deferred Charges,6.57,7,7.37,7.38,7.11,4.12,4.33,4.11,3.48,5.2,4.99,3.46,2.77,2.43,1.41,1.43,-,1.78,-
