,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,738.55,708.03,636.54,621.25,693.98,579.23,549,542.2,527.39,480.57,452.95,464.66,453.75,385.34,383.01,334.85,283.12,257.11,228.89
1,Other Revenue,-0.36,0.36,-,4.14,-2.27,2.27,-,2.47,-1.18,1.18,-,4.35,-4.31,4.31,-,4.69,-2.07,2.07,-
2,Revenue,738.19,708.39,636.54,625.39,691.72,581.5,549,544.67,526.21,481.75,452.95,469.01,449.43,389.66,383.01,339.55,281.04,259.18,228.89
3,Revenue Growth (YoY),6.72%,21.82%,15.95%,14.82%,31.45%,20.70%,21.21%,16.13%,17.08%,23.64%,18.26%,38.13%,59.92%,50.34%,67.34%,-,-,-,-
4,Cost of Revenue,660.69,638.68,552.75,545.83,616.97,512.58,473.89,465.61,459.4,416.31,389.78,383.16,380.44,324.53,319.73,267.03,223.57,202.39,185.47
5,Gross Profit,77.51,69.71,83.79,79.56,74.75,68.92,75.11,79.07,66.82,65.44,63.17,85.85,69,65.12,63.28,72.51,57.48,56.79,43.42
6,"Selling, General & Admin",44.26,28.69,35.75,34.23,42.69,36.45,34.3,38.32,37.68,32.14,29.07,38.3,35.83,30.8,23.84,34.36,20.28,19.1,18.45
7,Research & Development,1.97,0.77,0.99,2.22,0.88,1.02,1,2.91,0.93,1.56,-,-0.27,0.06,0.21,-,-,-,-,-
8,Other Operating Expenses,0.23,3.74,1.75,7.29,-5,-0.13,-1.62,-5.87,-4.07,-2.58,-1.85,2.83,-0.69,-0.86,-0.09,2.75,-1.46,-1.2,-0.64
