,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,7833,10353,5842,4272,4279,4739,4152,3958,4622,3581,5232,5745,4250,3100,3596,3891,4050,-,-,-
1,Market Cap Growth,118.47%,118.47%,40.70%,7.94%,-7.42%,32.33%,-20.64%,-31.10%,8.76%,15.50%,45.51%,47.64%,4.93%,-,-,-,-,-,-,-
2,Enterprise Value,7298,9420,5485,3657,3664,3820,3405,3161,3825,2731,4375,5063,3568,2330,2951,3705,3864,-,-,-
3,Last Close Price,46.35,61.26,34.57,25.17,25.21,27.92,24.46,23.12,26.99,20.91,30.56,33.31,24.64,17.98,20.85,22.36,23.28,-,-,-
4,PE Ratio,66.38,87.62,49.68,35.30,35.61,41.44,35.70,34.21,40.51,32.36,45.94,49.29,37.83,27.73,32.22,35.23,40.78,-,-,-
5,Forward PE,-,23.67,23.67,23.67,23.67,23.67,23.67,23.67,23.67,23.67,23.67,23.67,23.67,18.91,23.42,-,-,-,-,-
6,PS Ratio,2.90,3.82,2.19,1.69,1.75,2.00,1.89,1.88,2.30,1.86,2.82,3.26,2.51,1.99,2.58,3.08,3.65,-,-,-
7,PB Ratio,7.29,8.73,5.05,3.67,3.79,4.34,4.16,3.95,4.77,3.83,5.77,6.30,4.84,3.65,4.39,4.66,5.01,-,-,-
8,P/TBV Ratio,9.90,9.90,5.72,4.12,4.26,4.88,4.31,4.07,4.92,3.94,5.92,6.46,4.95,3.72,4.47,4.80,5.16,-,-,-
9,P/FCF Ratio,59.94,79.22,47.85,-,21.61,37.34,38.33,74.15,39.21,19.84,46.03,22.16,26.58,-,18.12,-,41.19,-,-,-
10,P/OCF Ratio,70.48,70.48,42.72,-,20.15,34.35,34.65,60.48,35.19,18.14,39.37,20.69,24.25,-,17.54,-,39.08,-,-,-
11,EV/Sales Ratio,2.69,3.48,2.06,1.44,1.50,1.61,1.55,1.50,1.91,1.42,2.36,2.88,2.11,1.49,2.12,2.93,3.48,-,-,-
12,EV/EBITDA Ratio,42.22,59.58,33.43,22.87,23.13,24.15,22.52,20.41,25.52,19.00,30.02,35.21,24.87,16.34,19.93,24.29,27.68,-,-,-
13,EV/EBIT Ratio,50.87,65.66,36.38,24.56,24.63,25.49,23.75,21.52,26.85,19.96,31.45,36.77,25.93,17.00,20.68,25.14,28.71,-,-,-
14,EV/FCF Ratio,55.84,72.08,44.92,-,18.50,30.10,31.42,59.23,32.45,15.13,38.49,19.53,22.32,-,14.87,-,39.29,-,-,-
15,Debt / Equity Ratio,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.02,0.02,-,-,-,-
16,Debt / EBITDA Ratio,0.18,0.23,0.16,0.18,0.16,0.19,0.14,0.13,0.11,0.20,0.12,0.13,0.12,0.17,0.13,0.10,-,-,-,-
17,Debt / FCF Ratio,0.23,0.23,0.23,-,0.17,0.23,0.19,0.43,0.20,0.14,0.18,0.08,0.14,-,0.10,-,-,-,-,-
18,Asset Turnover,1.53,1.53,1.42,1.39,1.64,1.47,1.41,1.44,1.45,1.36,1.31,1.43,1.42,1.31,1.38,-,-,-,-,
19,Inventory Turnover,428.60,630.04,541.12,455.04,360.04,390.68,362.47,352.47,382.10,383.29,371.35,363.26,393.80,427.77,377.06,371.54,-,-,-,-
20,Quick Ratio,1.77,1.77,2.34,1.70,2.51,1.90,2.56,2.35,2.56,2.42,2.59,2.66,2.70,2.84,2.76,3.86,3.54,-,2.02,-
21,Current Ratio,2.38,2.38,2.40,2.65,2.53,2.39,2.59,2.61,2.59,2.61,2.64,2.73,2.72,3.00,2.79,3.90,3.58,-,2.06,-
22,Return on Equity (ROE),9.89%,9.41%,13.01%,13.83%,10.30%,11.71%,14.25%,13.59%,12.02%,12.65%,14.70%,12.96%,14.66%,14.44%,14.02%,-,-,40.71%,-,
23,Return on Assets (ROA),3.86%,4.39%,5.85%,5.44%,5.49%,4.83%,6.71%,6.65%,5.27%,6.04%,6.77%,6.56%,6.50%,6.89%,8.43%,-,-,-,-,
24,Return on Capital (ROIC),6.21%,6.82%,8.92%,8.55%,8.67%,7.49%,10.39%,10.29%,8.11%,9.19%,10.23%,9.73%,9.61%,9.70%,11.28%,-,-,32.15%,-,
25,Return on Capital Employed (ROCE),11.85%,11.85%,12.80%,12.50%,12.86%,13.43%,14.12%,14.39%,14.43%,14.31%,15.06%,14.81%,15.30%,15.58%,16.87%,17.20%,16.51%,-,19.24%,-
26,Earnings Yield,1.51%,1.14%,2.01%,2.83%,2.81%,2.41%,2.80%,2.92%,2.47%,3.09%,2.18%,2.03%,2.64%,3.61%,3.10%,2.84%,2.45%,-,-,-
27,FCF Yield,1.67%,1.26%,2.09%,3.23%,4.63%,2.68%,2.61%,1.35%,2.55%,5.04%,2.17%,4.51%,3.76%,3.94%,5.52%,2.87%,2.43%,-,-,-
28,Dividend Yield,0.46%,-,-,-,0.87%,-,-,-,0.74%,-,-,-,0.78%,-,-,-,0.89%,-,-,-
29,Payout Ratio,31.48%,-,158.38%,-,0.06%,3.62%,122.42%,-,9.60%,-,112.57%,-,-,6.77%,121.01%,-,-,-,-,-
30,Buyback Yield / Dilution,-0.85%,2.69%,-0.14%,-2.65%,-3.47%,-3.96%,3.55%,0.21%,5.59%,1.64%,-3.08%,1.47%,-37.19%,-33.41%,-33.25%,-33.37%,-,-,-,-
31,Total Shareholder Return,-0.39%,2.69%,-0.14%,-2.65%,-2.59%,-3.96%,3.55%,0.21%,6.33%,1.64%,-3.08%,1.47%,-36.41%,-33.41%,-33.25%,-33.37%,0.89%,-,-,-
