,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,272.18,190.43,190.21,90.53,180.75,714.8,386.79,735.57,675.39,532.75
1,Trading Asset Securities,75.58,73.15,103.21,125.86,77.66,73.96,72.94,105.87,125.65,114.54
2,Cash & Short-Term Investments,347.76,263.57,293.42,216.38,258.41,788.76,459.73,841.44,801.04,647.29
3,Cash Growth,18.52%,21.81%,13.55%,-72.57%,-43.79%,-6.26%,-42.61%,29.99%,44.17%,-46.47%
4,Accounts Receivable,257.78,369.26,561.02,724.93,748.12,781.64,1098,1150,1299,1007
5,Other Receivables,159.93,170.18,198.66,144.32,98.63,290.9,86,88.69,93.1,109.05
6,Receivables,417.7,539.44,759.68,869.25,1231,1073,1309,1401,1521,1226
7,Inventory,-,-,-,20.69,12.94,11.33,-,-,-,-
8,Prepaid Expenses,343.64,342.92,379.68,376.61,620.17,488.52,232.85,129.6,176.28,276.84
9,Restricted Cash,130.05,38.11,73.88,87.1,8,10.25,11.24,52.04,51.79,-
10,Other Current Assets,518.54,518.06,554.64,547.56,1194,1235,1310,1323,946.42,950.86
11,Total Current Assets,1758,1702,2061,2118,3325,3607,3323,3747,3496,3101
12,"Property, Plant & Equipment",194.87,194.59,184.41,293.36,253.2,218.63,148.65,135.9,154.8,77.89
13,Long-Term Investments,653.31,655.78,690.24,696.36,846.22,829.69,785.42,742.34,766.54,761.03
14,Goodwill,-,-,-,-,73.22,73.22,73.22,73.22,566.9,566.9
15,Other Intangible Assets,957.23,965.54,998.12,1005,1675,1694,1826,1823,1625,1419
16,Long-Term Accounts Receivable,-,-,-,-,-,0.16,0.3,1.19,3.23,4.13
17,Long-Term Deferred Tax Assets,108.7,110.54,96.08,113.55,126.88,125.57,96.55,78.57,52.44,51.48
18,Other Long-Term Assets,119.73,79.14,98.68,98.14,36.32,59.76,33.83,33.07,247.63,101.82
19,Total Assets,3792,3708,4129,4324,6387,6611,6403,6753,6917,6087
20,Accounts Payable,295.13,273.42,280.77,443.5,169.75,112.5,272.63,227.34,203.2,160.79
21,Accrued Expenses,88.89,118.34,90.15,176.35,90.56,146.82,73.53,101.56,99.42,90.64
22,Short-Term Debt,1079,802.9,588.4,528.4,430.4,467.5,440,480.46,552.85,301.16
23,Current Portion of Long-Term Debt,40,40,629.04,975.1,650.02,432.21,945.04,1088,286.4,736.29
24,Current Portion of Leases,11.81,13.27,11.69,34.93,25.88,19.88,7.07,11.25,20.41,22.37
25,Current Income Taxes Payable,42.03,42,41.71,41.32,40.62,40.31,26.15,30.52,39.12,45.48
26,Current Unearned Revenue,88.39,170.75,216.99,199.13,190.28,250.64,189.17,326.24,275.3,274.91
27,Other Current Liabilities,130.8,133.41,40.26,48.34,91.98,19.71,147.64,179.89,224.86,226.41
28,Total Current Liabilities,1776,1594,1899,2447,1689,1490,2101,2445,1702,1858
29,Long-Term Debt,375.64,360.82,351.35,-,448.14,852.18,609.88,574.18,1052,254.15
30,Long-Term Leases,1.91,9.54,11.83,82.11,74.39,59.95,19.58,15.78,17.18,26.56
31,Long-Term Unearned Revenue,-,-,-,-,-,-,0.06,1.85,2.26,2.42
32,Total Liabilities,2154,1964,2262,2529,2212,2402,2731,3037,2773,2141
33,Common Stock,1.02,1.02,0.91,0.91,0.91,0.89,0.08,0.82,0.08,0.08
34,Additional Paid-In Capital,3739,3748,3291,3295,3324,3165,2529,2542,2542,2542
35,Retained Earnings,-3043,-2933,-2336,-2376,-87.47,115.83,199.82,273.31,851.87,714.88
36,Treasury Stock,-0.04,-3.18,-0.01,-3.58,-28.85,-0.02,-,-8.62,-,-
37,Comprehensive Income & Other,841.98,832.93,726.39,704.92,708.48,653.21,665.06,641,350.17,300.13
38,Total Common Equity,1540,1646,1683,1620,3917,3935,3394,3448,3745,3558
39,Minority Interest,98.03,97.49,184.11,174.2,257.53,274.19,278.37,267.57,398.92,388.04
40,Shareholders' Equity,1638,1743,1867,1795,4175,4209,3672,3716,4144,3946
41,Total Liabilities & Equity,3792,3708,4129,4324,6387,6611,6403,6753,6917,6087
42,Total Debt,1509,1227,1592,1621,1629,1832,2022,2170,1929,1341
43,Net Cash (Debt),-1161,-962.96,-1299,-1404,-1370,-1043,-1562,-1328,-1128,-693.23
44,Net Cash Per Share,-0.74,-,-0.83,-,-0.99,-0.81,-1.27,-1.08,-0.90,-0.55
45,Filing Date Shares Outstanding,1570,1559,1393,1392,1382,1361,1234,1230,1221,1210
46,Total Common Shares Outstanding,1570,1559,1393,1392,1382,1361,1234,1230,1221,1210
47,Working Capital,-18.74,108.01,162.3,-329.47,1636,2117,1221,1302,1795,1243
48,Book Value Per Share,0.98,1.06,1.21,1.16,2.83,2.89,2.75,2.80,3.07,2.94
49,Tangible Book Value,582.28,680.2,684.41,615.63,2169,2168,1495,1552,1552,1571
50,Tangible Book Value Per Share,0.37,0.44,0.49,0.44,1.57,1.59,1.21,1.26,1.27,1.30
51,Land,-,-,-,-,-,-,-,-,-,9.77
52,Machinery,-,36.51,-,41,-,44.68,-,44.78,-,39.22
53,Construction In Progress,-,94.26,-,72.16,-,43.94,-,12.14,-,-
54,Leasehold Improvements,-,0.9,-,53.31,-,31.85,-,26.61,-,22.3
