,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,845.22,-,1110,-,1381,1271,1367,1620,1592,1362
1,Revenue Growth (YoY),-23.84%,-,-19.66%,-,1.05%,-21.59%,-14.11%,19.01%,11.20%,5.49%
2,Cost of Revenue,553.44,-,607.75,-,782.97,685.99,848.3,969.5,906.85,811.53
3,Gross Profit,291.79,-,502.07,-,598.5,584.57,518.77,650.97,684.79,550.14
4,"Selling, General & Admin",128.15,-,143.54,-,513.85,422.98,336.83,325.04,314.27,286.05
5,Research & Development,153.29,-,141.07,-,184.38,161.6,163.6,212.73,112.49,95.44
6,Other Operating Expenses,73.87,-,50.67,-,27.35,-42.26,9.44,56.12,22.96,49.83
7,Operating Expenses,355.31,-,335.29,-,725.58,542.32,509.87,593.9,449.72,402.77
8,Operating Income,-63.52,-,166.78,-,-127.07,42.25,8.91,57.07,235.07,147.37
9,Interest Expense,-54.65,-,-78.99,-,-65.05,-68.69,-65.72,-51.63,-46.29,-24.19
10,Interest & Investment Income,1.66,-,2.88,-,4.29,2.52,2.72,2.36,4.36,1.48
11,Earnings From Equity Investments,-3.03,-,-2.19,-,-0.05,-0.69,-8.21,-8.52,-2.45,-1.75
12,Currency Exchange Gain (Loss),3.25,-,-33.92,-,-11.85,33.52,25.63,-47.46,-2.06,9.01
13,Other Non Operating Income (Expenses),-,-,-,-,-,-64.53,-21.14,6.87,-27.75,-
14,EBT Excluding Unusual Items,-116.29,-,54.57,-,-199.73,-55.62,-57.81,-41.3,160.88,131.91
15,Impairment of Goodwill,-,-,-,-,-,-,-,-493.68,-,-72.2
16,Gain (Loss) on Sale of Investments,8.9,-,-0.59,-,-18.8,8.54,-24.64,-133.61,5.92,79.81
17,Gain (Loss) on Sale of Assets,-,-,-,-,22.51,-3.58,1.61,-3.37,0.52,18.18
18,Asset Writedown,-,-,-0.92,-,-27.24,-49.67,-,-69.84,-,-
19,Pretax Income,-107.39,-,53.06,-,-223.26,-100.34,-80.84,-741.8,167.32,157.71
20,Income Tax Expense,1.89,-,0.49,-,-1.26,-12.36,-12.89,-28.94,19.46,7.55
21,Earnings From Continuing Operations,-109.28,-,52.58,-,-222,-87.97,-67.96,-712.86,147.87,150.16
22,Earnings From Discontinued Operations,-,-,-11.99,-,-,-,-,-,-,-
23,Net Income to Company,-109.28,-,40.59,-,-222,-87.97,-67.96,-712.86,147.87,150.16
24,Minority Interest in Earnings,-0.54,-,0.12,-,18.7,3.99,-5.54,134.31,-10.88,23.85
25,Net Income,-109.82,-,40.71,-,-203.31,-83.98,-73.5,-578.56,136.99,174.01
26,Net Income to Common,-109.82,-,40.71,-,-203.31,-83.98,-73.5,-578.56,136.99,174.01
27,Net Income Growth,-,-,-,-,-,-,-,-,-23.14%,18.28%
28,Shares Outstanding (Basic),1570,-,1393,-,1382,1286,1233,1229,1217,1210
29,Shares Outstanding (Diluted),1570,-,1563,-,1382,1286,1233,1229,1257,1253
30,Shares Change (YoY),0.45%,-,13.10%,-,12.08%,4.68%,-1.90%,-1.90%,1.58%,12.83%
31,EPS (Basic),-0.07,-,0.03,-,-0.15,-0.07,-0.06,-0.47,0.11,0.14
32,EPS (Diluted),-0.07,-,0.02,-,-0.15,-0.07,-0.06,-0.47,0.11,0.14
33,EPS Growth,-,-,-,-,-,-,-,-,-21.43%,3.43%
34,Free Cash Flow,19.76,-,218.05,-,-17.86,142.4,-28.77,326.44,42.33,326.33
35,Free Cash Flow Per Share,0.01,-,0.14,-,-0.01,0.11,-0.02,0.27,0.03,0.26
36,Operating Margin,-7.52%,-,15.03%,-,-9.20%,3.33%,0.65%,3.52%,14.77%,10.82%
37,Profit Margin,-12.99%,-,3.67%,-,-14.72%,-6.61%,-5.38%,-35.70%,8.61%,12.78%
38,Free Cash Flow Margin,2.34%,-,19.65%,-,-1.29%,11.21%,-2.10%,20.14%,2.66%,23.97%
39,EBITDA,-32.57,-,189.6,-,-18.56,132.17,119.07,175.27,315.03,178.81
40,D&A For EBITDA,30.96,81.26,22.82,108.62,108.51,89.92,110.17,118.19,79.95,31.44
41,EBIT,-63.52,-,166.78,-,-127.07,42.25,8.91,57.07,235.07,147.37
42,Advertising Expenses,70.19,-,98.39,-,398.21,-,182.11,-,186.97,-
