,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Oct '24 Oct 31, 2024","Apr '24 Apr 30, 2024","Oct '23 Oct 31, 2023","Apr '23 Apr 30, 2023","Oct '22 Oct 31, 2022","Apr '22 Apr 30, 2022","Oct '21 Oct 31, 2021","Apr '21 Apr 30, 2021","Oct '20 Oct 31, 2020","Apr '20 Apr 30, 2020"
0,Cash & Equivalents,2.3,7.34,7.57,3.38,7.04,8.64,13.03,17.56,9.54,7.22
1,Short-Term Investments,-,3.76,-,5.44,-,1.66,-,0.84,-,0.78
2,Cash & Short-Term Investments,2.3,11.1,7.57,8.82,7.04,10.31,13.03,18.4,9.54,8
3,Cash Growth,-69.65%,25.86%,7.56%,-14.44%,-46.02%,-43.98%,36.62%,130.00%,37.03%,-59.00%
4,Accounts Receivable,27.11,8.84,29.4,12.04,20.17,18.26,58.66,24.94,61.71,16.88
5,Other Receivables,5.01,2.1,8.71,2.51,9.68,2.91,2.2,0.55,39.44,36.59
6,Receivables,32.11,10.94,38.11,14.55,29.85,21.17,60.86,25.48,101.15,53.47
7,Inventory,10.44,9.83,11.09,19.6,23.79,93.42,73.9,95.54,71.83,99.54
8,Prepaid Expenses,-,0.54,-,1.09,-,7.18,-,2.99,-,1.15
9,Total Current Assets,44.85,32.42,56.76,44.06,60.68,132.08,147.79,142.41,182.52,162.16
10,"Property, Plant & Equipment",6.56,8.31,11.28,12.87,16.04,23.72,49.02,55.3,56.41,55.02
11,Other Intangible Assets,3.83,7.06,7.31,9.73,8.38,13.43,2.44,8.33,14.09,19.27
12,Long-Term Deferred Tax Assets,8.25,10.45,10.68,10.99,9.66,11.36,6.72,6.73,5.43,7.15
13,Other Long-Term Assets,-,0.08,0.62,0.57,0.77,0.83,0.73,0.72,0.69,1.63
14,Total Assets,63.49,58.3,86.66,78.22,95.52,181.42,206.71,213.49,259.15,245.22
15,Accounts Payable,6.94,4.91,15.76,10.88,1.65,14.28,13.38,20.86,24.18,15.89
16,Accrued Expenses,11.58,14.53,14.72,9.84,8.74,11.38,19.12,15.43,35.05,14.62
17,Short-Term Debt,-,-,-,-,-,42,-,1.44,-,0
18,Current Portion of Long-Term Debt,-,-,-,-,13.44,2.62,16.2,10,6.08,23.43
19,Current Portion of Leases,1.35,2.7,2.52,2.51,3.11,4.64,2.95,2.84,1.38,0.64
20,Current Income Taxes Payable,-,-,-,-,-,-,1.34,1.34,5.74,4.46
21,Current Unearned Revenue,11.5,6.84,9.99,11.74,9.55,2.53,1.1,0.86,1,0.52
22,Other Current Liabilities,-,-,-,-,-,3.29,-,3.49,-,13.81
23,Total Current Liabilities,31.38,28.97,42.98,34.98,36.48,80.74,54.08,56.25,73.42,73.35
24,Long-Term Debt,-,-,-,-,-,-,-,-,16.63,19.71
25,Long-Term Leases,-,0.11,1.63,2.47,4.71,6.78,0.08,1.53,2.91,4.03
26,Long-Term Deferred Tax Liabilities,0.41,0.55,0.05,-,-,-,1.62,1.98,2.5,2.19
27,Other Long-Term Liabilities,0.09,1.56,0.89,2.62,-,-,-,-,0.16,2.5
28,Total Liabilities,31.87,31.19,45.54,40.06,41.19,87.52,55.77,59.76,95.62,101.78
29,Common Stock,100,100,100,100,100,100,100,100,100,100
30,Additional Paid-In Capital,-,4.88,-,4.88,-,4.88,-,4.88,-,4.88
31,Retained Earnings,-73.34,-78.89,-67.04,-71.55,-57.19,-21,41.23,44.54,55.44,37.94
32,Comprehensive Income & Other,4.53,-0.31,5.72,1.45,5.93,2.75,9.71,4.31,8.08,0.62
33,Total Common Equity,31.19,25.68,38.68,34.78,48.74,86.62,150.93,153.73,163.53,143.44
34,Minority Interest,0.44,1.43,2.44,3.37,5.59,7.27,-,-,-,-
35,Shareholders' Equity,31.63,27.11,41.12,38.15,54.33,93.89,150.93,153.73,163.53,143.44
36,Total Liabilities & Equity,63.49,58.3,86.66,78.22,95.52,181.42,206.71,213.49,259.15,245.22
37,Total Debt,1.35,2.8,4.14,4.98,21.26,56.05,19.22,15.81,27,47.8
38,Net Cash (Debt),0.94,8.3,3.43,3.84,-14.22,-45.74,-6.19,2.59,-17.46,-39.8
39,Net Cash Growth,-72.45%,116.23%,-,-,-,-,-,-,-,-
40,Net Cash Per Share,0.00,0.01,0.00,0.00,-0.01,-0.05,-0.01,0.00,-0.02,-0.04
41,Filing Date Shares Outstanding,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
42,Total Common Shares Outstanding,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
43,Working Capital,13.48,3.44,13.78,9.08,24.2,51.34,93.72,86.16,109.1,88.8
44,Book Value Per Share,0.03,0.03,0.04,0.03,0.05,0.09,0.15,0.15,0.16,0.14
45,Tangible Book Value,27.36,18.63,31.37,25.05,40.36,73.19,148.49,145.4,149.44,124.17
46,Tangible Book Value Per Share,0.03,0.02,0.03,0.03,0.04,0.07,0.15,0.15,0.15,0.12
47,Machinery,-,46.48,-,50.41,-,155.85,-,391.39,-,378.89
48,Construction In Progress,-,0.23,-,0.22,-,1.4,-,9.83,-,10.66
49,Leasehold Improvements,-,12.23,-,12.39,-,13.26,-,12.96,-,10.82
