,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Feb '25 Feb 27, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,3689,3367,2795,3944,3929,4022,4730,5766,5438,-,-,-
1,Market Cap Growth,-16.27%,-16.27%,-40.91%,-31.60%,-27.75%,-,-,-,-,-,-,-
2,Enterprise Value,2019,1705,1002,2009,1994,1887,2361,5402,5075,-,-,-
3,Last Close Price,17.08,15.59,12.94,18.26,18.19,18.62,21.90,25.93,24.45,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,16.86,14.34,-,-,-
5,Forward PE,-,-,7.67,9.04,9.00,9.50,15.85,-,-,-,-,-
6,PS Ratio,6.33,5.91,7.50,13.71,12.61,5.77,3.33,2.57,1.83,-,-,-
7,PB Ratio,1.25,1.14,0.95,1.32,1.31,1.25,1.44,1.66,1.58,-,-,-
8,P/TBV Ratio,1.25,1.25,1.04,1.43,1.41,1.34,1.55,1.77,1.70,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,13.99,12.86,-,-,-
10,P/OCF Ratio,-,-67.49,-14.55,-,-,-,-,9.68,8.85,-,-,-
11,PEG Ratio,0.51,0.51,0.51,0.60,-,-,-,-,-,-,-,-
12,EV/Sales Ratio,3.55,2.99,2.69,6.98,6.40,2.71,1.66,2.41,1.71,-,-,-
13,EV/EBITDA Ratio,-,-,-,-,-,168.83,-,15.97,12.27,-,-,-
14,EV/EBIT Ratio,-,-,-,-,-,-31.93,-,20.04,14.57,-,-,-
15,EV/FCF Ratio,-7.75,-,-,-,-,-,-,13.11,12.01,-,-,-
16,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.05,-,-,0.49
17,Debt / EBITDA Ratio,-,-,-,-,-,0.03,-,0.00,0.96,-,-,1.25
18,Debt / FCF Ratio,-,-,-,-,-,-,-,0.00,0.38,-,-,5.93
19,Asset Turnover,0.28,0.20,0.19,0.04,0.03,0.08,0.18,-,-,-,-,
20,Inventory Turnover,2.42,3.09,2.12,1.91,2.69,-,1.58,1.92,-,-,-,-
21,Quick Ratio,8.66,8.66,9.40,12.09,11.41,19.42,9.79,8.21,4.54,-,-,-
22,Current Ratio,10.06,10.06,11.08,14.19,13.30,22.98,11.36,9.41,5.07,-,-,-
23,Return on Equity (ROE),-1.29%,-3.09%,-1.33%,-25.36%,-1.99%,-12.00%,5.52%,-,-,-,-,
24,Return on Assets (ROA),-2.06%,-2.99%,-2.78%,-20.91%,1.72%,-8.65%,1.61%,-,-,-,-,
25,Return on Capital (ROIC),-2.21%,-3.18%,-2.94%,-21.95%,1.82%,-9.40%,1.79%,-,-,-,-,
26,Return on Capital Employed (ROCE),-,-,-,-,-,-1.83%,-,7.72%,10.10%,-,-,-
27,Earnings Yield,-6.50%,-7.12%,-8.81%,-8.23%,-6.79%,-1.69%,2.17%,5.93%,6.97%,-,-,-
28,FCF Yield,-7.06%,-7.74%,-15.35%,-10.62%,-6.03%,-1.50%,6.44%,7.15%,7.77%,-,-,-
29,Dividend Yield,0.00%,-,-,-,-,-,-,-,2.84%,-,-,-
30,Payout Ratio,0.00%,-,-,-,-,-,-,5.50%,-,2.76%,2.41%,7.13%
31,Buyback Yield / Dilution,25.78%,12.19%,-13.02%,7.89%,57.03%,-148.67%,-1128.80%,-33.30%,-,-,-,-
32,Total Shareholder Return,25.78%,12.19%,-13.02%,7.89%,57.03%,-148.67%,-1128.80%,-33.30%,2.84%,-,-,-
