,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,230.11,149.78,153.4,31.04,25.25,72.89,177.28,417.36,751.86,895.2,898.99
1,Other Revenue,-10.07,10.07,-,5.18,-1.83,1.83,-,3.93,-2.91,2.91,-
2,Revenue,220.05,159.85,153.4,36.22,23.42,74.72,177.28,421.29,748.95,898.11,898.99
3,Revenue Growth (YoY),839.41%,113.93%,-13.47%,-91.40%,-96.87%,-91.68%,-80.28%,-,-,-,-
4,Cost of Revenue,210.51,155.83,143.3,215.52,-25.3,124.21,138.84,357.39,529.59,724.7,716.34
5,Gross Profit,9.53,4.02,10.1,-179.29,48.72,-49.49,38.43,63.9,219.36,173.41,182.65
6,"Selling, General & Admin",32.49,30.65,35.27,143.27,21.37,25.28,28.63,20.24,81.14,56.97,53.25
7,Research & Development,6.15,6.85,5.35,9.26,3.51,3.27,3.57,13.94,10.54,15.32,7.97
8,Other Operating Expenses,0.98,1.15,1.48,1.08,0.83,1.06,1.27,2.43,0.96,0.63,1.17
9,Operating Expenses,35.66,41.74,45.46,94.51,25.04,77.38,13.06,45.2,91.2,76.05,78.64
10,Operating Income,-26.13,-37.72,-35.36,-273.8,23.68,-126.86,25.37,18.7,128.17,97.35,104.01
11,Interest Expense,-,-0.23,-,-1.08,-,-,-1.06,-16.51,-4.9,-3.98,-5.99
12,Interest & Investment Income,15.28,11.02,14.46,68.49,-,17.19,17.67,17.65,9.97,2.96,1.93
