,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,874.59,1105,1638,1858,1907,1968,2238,1943,-,-,-
1,Trading Asset Securities,801.3,564.09,163.46,34.06,34.59,166.39,131.29,499.12,-,-,-
2,Cash & Short-Term Investments,1676,1669,1801,1892,1941,2135,2369,2442,-,-,647.77
3,Cash Growth,-13.67%,-21.82%,-23.95%,-22.52%,-,-,265.71%,-,-,-,-
4,Accounts Receivable,163.65,166.14,141.24,102.54,154.79,166.82,215.17,429.58,-,-,-
5,Other Receivables,10.5,2.78,14.84,14.51,14.59,0.76,6.9,11.88,-,-,-
6,Receivables,174.15,168.92,156.08,117.04,169.37,167.58,222.07,441.46,-,-,-
7,Inventory,257.86,286.47,302.14,299.07,341.73,316.33,313.11,265.96,-,-,-
8,Prepaid Expenses,-,-,-,0.47,-,-,-,-,-,-,-
9,Other Current Assets,40.18,43,37.36,32.46,45.8,52.02,64.19,68.13,-,-,-
10,Total Current Assets,2148,2167,2297,2341,2498,2670,2968,3218,-,-,-
11,"Property, Plant & Equipment",705.74,675.81,575.33,577.34,590.2,593.64,583.21,609.74,-,-,-
12,Long-Term Investments,18.24,16.66,16.54,16.48,15.72,15.79,16.96,17.25,-,-,-
13,Other Intangible Assets,250.95,248.8,216.64,221.21,220.93,228.71,224.27,227.34,-,-,-
14,Long-Term Deferred Tax Assets,30.44,25.83,21.46,20.74,8.07,1.26,-,-,-,-,-
15,Long-Term Deferred Charges,6.31,3.86,4.17,3.86,0.64,0.74,0.91,0.67,-,-,-
16,Other Long-Term Assets,14.91,14.84,28.13,21.52,9.88,13.47,13.02,11.76,-,-,-
17,Total Assets,3175,3153,3159,3202,3344,3524,3807,4084,-,-,-
18,Accounts Payable,144.09,110.06,78.32,108.5,49.74,177.63,267.6,395.06,-,-,-
19,Accrued Expenses,11.23,38.21,6.48,44.86,7.55,10.33,7.85,22.23,-,-,-
20,Short-Term Debt,0.05,0.05,-,-,-,-,-,122.33,-,-,-
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,0.04,38.64,-,-,-
22,Current Portion of Leases,5.61,3.57,6.29,6.59,-,-,-,-,-,-,-
23,Current Income Taxes Payable,3.71,0.76,6.52,0.16,1.33,2.68,8.54,6.28,-,-,-
24,Current Unearned Revenue,6.88,16.68,7.43,3.43,12.56,13.82,6.06,3.19,-,-,-
25,Other Current Liabilities,41.97,26.18,56.87,12.51,37.52,30.65,25.45,47.49,-,-,-
26,Total Current Liabilities,213.55,195.51,161.91,176.04,108.69,235.11,315.55,635.22,-,-,-
27,Long-Term Leases,-,2.93,1.8,3.59,5.81,-,-,-,-,-,-
28,Long-Term Unearned Revenue,14.53,14.61,14.69,14.77,14.85,14.99,15.29,15.58,-,-,-
29,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,0.6,0.59,-,-,-
30,Total Liabilities,228.08,213.05,178.4,194.4,129.35,250.1,331.43,651.39,-,-,-
31,Common Stock,216,216,216,216,216,216,120,120,-,-,-
32,Additional Paid-In Capital,2310,2310,2310,2310,2310,2310,2406,2406,-,-,-
33,Retained Earnings,396.07,404.9,427.8,437.78,629.63,645.77,902.37,854.68,-,-,-
34,Comprehensive Income & Other,24.32,8.77,26.96,43.95,58.35,101.99,46.69,52.04,-,-,-
35,Shareholders' Equity,2947,2940,2981,3008,3214,3274,3475,3433,-,-,1203
36,Total Liabilities & Equity,3175,3153,3159,3202,3344,3524,3807,4084,-,-,-
37,Total Debt,5.66,6.55,8.09,10.18,5.81,-,0.04,160.97,-,-,593.47
38,Net Cash (Debt),1670,1662,1793,1882,1935,2135,2369,2281,-,-,54.31
39,Net Cash Growth,-13.70%,-22.13%,-24.29%,-17.50%,-,-,4262.14%,-,-,-,-
40,Net Cash Per Share,8.46,6.96,8.98,9.04,8.61,10.10,10.93,4.71,-,-,0.33
41,Filing Date Shares Outstanding,216,216,216,216,216,216,216,216,90.41,17.19,162.63
42,Total Common Shares Outstanding,216,216,216,216,216,216,216,216,90.41,17.19,162.63
43,Working Capital,1935,1972,2135,2165,2389,2435,2653,2582,-,-,-
44,Book Value Per Share,13.64,13.61,13.80,13.93,14.88,15.16,16.09,15.89,-,-,7.42
45,Tangible Book Value,2696,2691,2764,2787,2993,3045,3251,3206,-,-,981.07
46,Tangible Book Value Per Share,12.48,12.46,12.80,12.90,13.86,14.10,15.05,14.84,-,-,6.06
47,Buildings,-,395.36,-,332.21,-,322.56,-,323.24,-,-,-
48,Machinery,-,474.24,-,473.32,-,504.14,-,493.53,-,-,-
49,Construction In Progress,-,72.39,-,19.91,-,9.78,-,7.58,-,-,-
