,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,198.62,183.28,187.65,-,173.25,162.99,160.94,156.19,156.19,122.92,122.92,88.78,88.78,67.41,67.41
1,Other Revenue,-,-0.9,0.9,-,-,-3.07,3.07,1.2,1.2,-,-,-,-,-,-
2,Revenue,198.62,182.38,188.55,-,173.25,159.92,164.01,157.4,157.4,122.92,122.92,88.78,88.78,67.41,67.41
3,Revenue Growth (YoY),14.64%,14.05%,14.96%,-,10.07%,30.10%,33.43%,77.29%,77.29%,82.35%,82.35%,-,-,-,-
4,Cost of Revenue,136.66,132.65,130.85,-,122.06,115.41,110.48,109.45,109.45,92.82,92.82,75.77,75.77,58.72,58.72
5,Gross Profit,61.96,49.74,57.7,-,51.19,44.51,53.54,47.94,47.94,30.1,30.1,13.01,13.01,8.69,8.69
6,"Selling, General & Admin",9.01,10.24,8.36,-,8.27,8.57,7.31,7.1,7.1,5.91,5.91,4.19,4.19,3.36,3.36
7,Other Operating Expenses,17.12,11.29,15.4,-,16.79,9.61,13.48,15.68,15.68,8.85,8.85,11.32,11.32,7.02,7.02
8,Operating Expenses,46.51,40.08,44.24,-,42.83,38.28,42.48,42.59,42.59,31.42,31.42,33.63,33.63,27.22,27.22
9,Operating Income,15.45,9.66,13.46,-,8.37,6.23,11.06,5.35,5.35,-1.32,-1.32,-20.62,-20.62,-18.53,-18.53
10,Interest Expense,-2.16,-1.94,-1.99,-,-1.82,-1.99,-2.35,-2.03,-2.03,-4.21,-4.21,-5,-5,-4.58,-4.58
11,Interest & Investment Income,-,1.42,-,-,-,1.13,-,0.24,0.24,0.29,0.29,0.37,0.37,0.37,0.37
12,Currency Exchange Gain (Loss),-,-19.53,-,-,-,-10.71,-,2.84,2.84,-13.78,-13.78,-3.13,-3.13,-3.46,-3.46
13,Other Non Operating Income (Expenses),27.93,10.72,-12.96,-,-6.19,3.5,-1.09,0.26,0.26,-0.85,-0.85,1.68,1.68,0.48,0.48
14,EBT Excluding Unusual Items,41.22,0.33,-1.49,-,0.36,-1.84,7.62,6.65,6.65,-19.88,-19.88,-26.69,-26.69,-25.72,-25.72
15,Impairment of Goodwill,-,-,-,-,-,-1.12,-,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Investments,-,1.79,-,-,-,0.07,-,0.21,0.21,-0.11,-0.11,-0.02,-0.02,0.23,0.23
17,Gain (Loss) on Sale of Assets,-,-0.59,-,-,-,0.82,-,0.78,0.78,-4.22,-4.22,-0.51,-0.51,-0.01,-0.01
