,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,12473,9195,9468,8757,6441,9575,9401,12213,6156,-,-,-,-,-,-,-
1,Market Cap Growth,-3.97%,-3.97%,0.71%,-28.30%,4.63%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,12122,9016,9789,9164,7264,10398,10576,13388,6864,-,-,-,-,-,-,-
3,Last Close Price,19.18,14.14,14.56,14.14,10.40,15.46,15.18,19.72,9.94,-,-,-,-,-,-,-
4,PE Ratio,27.40,35.71,-,-,-,-,-,-200.22,-19.14,-,-,-,-,-,-,-
5,Forward PE,32.17,30.74,23.60,20.65,17.61,30.94,23.48,-,-,-,-,-,-,-,-,-
6,PS Ratio,2.04,2.08,2.23,2.14,-,1.87,1.88,2.59,1.41,-,-,-,-,-,-,-
7,PB Ratio,4.32,3.28,3.60,4.09,-,-,4.66,6.43,3.26,-,-,-,-,-,-,-
8,P/TBV Ratio,3.30,3.30,3.62,4.12,-,-,4.71,6.57,3.33,-,-,-,-,-,-,-
9,P/FCF Ratio,18.42,16.41,23.62,17.91,-,17.58,22.64,44.45,100.58,-,-,-,-,-,-,-
10,P/OCF Ratio,9.94,13.34,17.86,14.00,-,11.91,11.80,19.24,11.56,-,-,-,-,-,-,-
11,PEG Ratio,0.66,0.66,0.66,0.66,0.66,0.66,-,-,-,-,-,-,-,-,-,-
12,EV/Sales Ratio,2.05,2.04,2.30,2.24,-,2.03,2.11,2.83,1.57,-,-,-,-,-,-,-
13,EV/EBITDA Ratio,12.21,14.44,17.74,17.30,-,16.25,19.08,24.14,19.37,-,-,-,-,-,-,-
14,EV/EBIT Ratio,31.53,30.09,39.82,41.74,-,42.82,48.21,83.44,109.17,-,-,-,-,-,-,-
15,EV/FCF Ratio,17.90,16.09,24.42,18.74,-,19.09,25.47,48.72,112.13,-,-,-,-,-,-,-
16,Debt / Equity Ratio,0.55,0.55,0.57,0.71,-,-,0.86,1.00,1.00,1.00,0.91,0.91,-3.98,-3.98,-,-9.07
17,Debt / EBITDA Ratio,1.54,1.37,1.71,1.44,-,-,2.10,1.85,2.41,2.41,3.48,3.48,-,-,-,-
18,Debt / FCF Ratio,2.26,2.73,3.76,3.13,-,-,4.18,6.92,30.87,1416.95,-28.43,-6.05,-,-,-,-
19,Asset Turnover,1.23,1.22,-,-,-,-,-,1.09,1.11,0.89,0.83,0.57,-,-,-,
20,Inventory Turnover,-,18.46,18.94,-,-,-,-,-,16.85,19.33,19.22,20.61,18.14,-,-,-
21,Quick Ratio,2.14,2.14,1.94,1.51,-,-,1.10,-,0.88,0.88,1.12,1.12,0.27,0.27,-,-
22,Current Ratio,2.44,2.44,2.33,1.79,-,-,1.48,-,1.31,1.31,1.31,1.31,0.35,0.35,-,-
23,Return on Equity (ROE),43.17%,-0.14%,-,-,-,-3.47%,9.19%,11.95%,12.15%,-47.65%,-477.50%,-,-,-,-,
24,Return on Assets (ROA),5.99%,4.05%,-,-,-,-,-,2.32%,2.37%,-0.60%,-0.56%,-8.23%,-,-,-,
25,Return on Capital (ROIC),7.10%,4.83%,-,-,-,3.23%,5.71%,2.76%,2.87%,-0.74%,-0.66%,-9.23%,-,-,-,
26,Return on Capital Employed (ROCE),9.18%,7.15%,6.25%,6.33%,-,-,5.60%,-,1.76%,-3.90%,-,-,-,-,-,-
27,Earnings Yield,3.53%,2.80%,-0.49%,-0.71%,-,0.77%,1.50%,-0.50%,-5.22%,-,-,-,-,-,-,-
28,FCF Yield,5.43%,6.09%,4.23%,5.58%,-,5.69%,4.42%,2.25%,0.99%,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,-,-2.13%,20.64%,-,-,0.75%,-0.75%,-,-,-,-,-,-,-,-,
30,Total Shareholder Return,-,-2.13%,20.64%,-,-,0.75%,-0.75%,-,-,-,-,-,-,-,-,
