,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,215.16,140.66,90.03,-,-,118.94,-,93.88,93.88,122.94,122.94,89.55,89.55,-,-
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,0.5,0.5,-,-
2,Trading Asset Securities,28.83,77.13,66.46,-,-,-,-,0.01,0.01,0.34,0.34,36.07,36.07,-,-
3,Cash & Short-Term Investments,244,217.79,156.49,-,-,118.94,93.89,93.89,93.89,123.28,123.28,126.12,126.12,-,55.13
4,Cash Growth,-,83.11%,66.67%,-,-,-3.52%,-23.84%,-25.55%,-25.55%,-,123.62%,-,-,-,-
5,Accounts Receivable,28.21,15.77,29.63,-,-,11.58,-,9.47,9.47,24.13,24.13,6.33,6.33,-,-
6,Other Receivables,-,-,-,-,-,-,-,-,-,0.28,0.28,29.42,29.42,-,-
7,Receivables,28.21,15.77,29.63,-,-,11.58,-,9.47,9.47,24.41,24.41,35.76,35.76,-,-
8,Inventory,32.61,26.63,29.41,-,-,23.41,-,25.98,25.98,19.32,19.32,16.71,16.71,-,-
9,Prepaid Expenses,-,1.24,-,-,-,2.79,-,1.94,1.94,-,-,3.26,3.26,-,-
10,Other Current Assets,5.74,18.4,5.56,-,-,18.82,-,22.11,22.11,5.1,5.1,24.89,24.89,-,-
11,Total Current Assets,310.56,279.82,221.09,-,-,175.53,-,153.4,153.4,172.1,172.1,206.73,206.73,-,-
12,"Property, Plant & Equipment",330.77,321.49,322.09,-,-,372.59,-,398.73,398.73,363.86,363.86,397,397,-,-
13,Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,4.24,4.24,-,-
14,Goodwill,-,-,-,-,-,-,-,1.12,1.12,-,-,-,-,-,-
15,Other Intangible Assets,0.29,0.3,0.35,-,-,0.33,-,1.94,1.94,0.4,0.4,0.38,0.38,-,-
16,Long-Term Deferred Tax Assets,3,1.63,1.88,-,-,47.13,-,1.02,1.02,0.14,0.14,0.14,0.14,-,-
17,Other Long-Term Assets,19.86,18.93,19.77,-,-,21.29,-,17.96,17.96,16.68,16.68,18.23,18.23,-,-
18,Total Assets,666.43,624.12,567.13,-,-,618.83,-,576.11,576.11,553.18,553.18,626.72,626.72,-,-
19,Accounts Payable,34.97,33.83,36.99,-,-,39.16,-,33.09,33.09,43.73,43.73,27.32,27.32,-,-
20,Accrued Expenses,-,29.46,-,-,-,26.04,-,25.04,25.04,19.71,19.71,22.11,22.11,-,-
21,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,498.58,498.58,-,-
22,Current Portion of Long-Term Debt,-,-,-,-,-,0.07,-,0.08,0.08,0.07,0.07,3.11,3.11,-,-
23,Current Portion of Leases,41.19,38.39,38.54,-,-,36.9,-,40.02,40.02,34.09,34.09,36.66,36.66,-,-
24,Current Income Taxes Payable,3.61,7.71,8.93,-,-,8.99,-,7.88,7.88,2.57,2.57,2.29,2.29,-,-
25,Current Unearned Revenue,9.44,8.33,8.92,-,-,4.91,-,3.79,3.79,2.29,2.29,2.33,2.33,-,-
