,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jul '24 Jul 31, 2024","Jan '24 Jan 31, 2024","Jul '23 Jul 31, 2023","Jan '23 Jan 31, 2023","Jul '22 Jul 31, 2022","Jan '22 Jan 31, 2022","Jul '21 Jul 31, 2021","Jan '21 Jan 31, 2021","Jul '20 Jul 31, 2020","Jan '20 Jan 31, 2020"
0,Market Capitalization,228,139,140,142,241,240,280,285,225,245,236
1,Market Cap Growth,-2.11%,-2.11%,-41.91%,-40.83%,-13.93%,-15.79%,24.44%,16.33%,-4.66%,0%,-9.23%
2,Enterprise Value,160,121,104,108,187,142,209,286,232,297,303
3,Last Close Price,0.23,0.12,0.13,0.12,0.21,0.20,0.22,0.21,0.16,0.17,0.15
4,PE Ratio,32.18,-,13.77,20.06,7.22,5.33,7.23,5.42,4.12,4.78,4.94
5,PS Ratio,0.82,0.50,0.51,0.52,0.70,0.61,0.69,0.59,0.42,0.39,0.36
6,PB Ratio,0.51,0.31,0.31,0.32,0.55,0.54,0.66,0.66,0.53,0.61,0.60
7,P/TBV Ratio,0.31,0.31,0.31,0.32,0.55,0.54,0.66,0.66,0.53,0.61,0.60
8,P/FCF Ratio,5.52,3.36,-,-34.68,-,-,1.98,2.56,2.92,3.11,11.50
9,P/OCF Ratio,2.99,2.99,-,-39.74,-,-,1.91,2.45,2.72,2.91,9.85
10,EV/Sales Ratio,0.57,0.43,0.38,0.40,0.54,0.36,0.52,0.59,0.43,0.47,0.46
11,EV/EBITDA Ratio,3.13,2.66,2.24,2.32,2.52,1.63,2.48,3.20,2.53,2.99,3.29
12,EV/EBIT Ratio,11.80,8.94,8.64,12.31,5.40,2.96,4.54,5.22,3.95,4.54,4.95
13,EV/FCF Ratio,3.86,2.93,-,-26.44,-,-,1.47,2.57,3.01,3.77,14.78
14,Debt / Equity Ratio,0.01,0.01,0.06,0.03,0.03,0.07,0.02,0.09,0.17,0.19,0.28
15,Debt / FCF Ratio,0.14,0.14,-,-2.80,-,-,0.07,0.34,0.95,0.97,5.30
16,Return on Capital Employed (ROCE),2.90%,2.90%,2.58%,1.89%,7.47%,10.23%,10.24%,12.03%,13.22%,15.35%,14.70%
17,Earnings Yield,3.11%,5.10%,7.26%,4.98%,13.85%,18.78%,13.83%,18.45%,24.25%,20.93%,20.22%
18,FCF Yield,18.13%,29.74%,-1.43%,-2.88%,-9.79%,15.11%,50.60%,39.13%,34.28%,32.15%,8.69%
19,Dividend Yield,6.58%,-,-,-,-,10.09%,13.46%,16.43%,15.77%,6.03%,-
20,Total Shareholder Return,6.58%,-,-,-,-,10.09%,13.46%,16.43%,15.77%,6.03%,-
