,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,479.13,942.4,1203,1364,1413,1415,1413,604.43,441.9,503.9,741.65,18.49,-,62.79,-,47.02
1,Trading Asset Securities,704.97,308.78,100.65,-,-,-,-,776.89,1008,998.98,800,-,-,-,-,-
2,Cash & Short-Term Investments,1184,1251,1304,1364,1413,1415,1413,1381,1450,1503,1542,18.49,-,62.79,47.02,47.02
3,Cash Growth,-16.20%,-11.55%,-7.74%,-1.26%,-2.54%,-5.87%,-8.35%,7369.47%,-,2293.32%,3178.88%,-60.67%,-,-,-,-
4,Accounts Receivable,73.25,104.41,109.06,126.68,64.89,71.5,91.37,111.13,88.35,90.06,96.66,93.08,-,67.02,-,63.8
5,Other Receivables,0.47,0,0.52,0.21,0.62,0.08,0.84,0.01,0.93,0.35,0.91,0.49,-,0.72,-,0.01
6,Receivables,73.72,104.41,109.58,126.89,65.51,71.58,92.22,111.14,89.28,90.41,97.56,93.56,-,67.75,-,63.9
7,Inventory,128.37,117.46,115.58,130.47,164.86,166.68,141.08,156.43,173.79,129.15,123.41,104.18,-,66.02,-,57.97
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,7.02,-,4.02,-,-,-,-
9,Other Current Assets,77.02,45,40,21.57,39.17,33.39,38.14,30.88,37.93,10.25,7.09,5.67,-,5.19,-,4.64
10,Total Current Assets,1463,1518,1569,1643,1683,1686,1684,1680,1751,1740,1770,225.93,-,201.75,-,173.52
11,"Property, Plant & Equipment",706.94,657.63,635.18,646.21,546.43,548.37,505.6,518.45,437.37,456.26,419.7,402.21,-,321.01,-,304.03
12,Long-Term Investments,30,30,30,30,30,30,30,30,-,-,-,-,-,-,-,-
13,Other Intangible Assets,33.04,33.31,33.58,33.85,34.12,34.07,34.32,34.58,39.36,39.63,39.6,39.83,-,40.3,-,41.05
14,Long-Term Deferred Tax Assets,3.88,3.75,4.21,4.29,3.42,3.93,3.75,4.23,2.62,1.21,2.79,2.79,-,2.28,-,2.35
15,Long-Term Deferred Charges,35.75,37.93,40.53,43.5,9.73,10.79,11.86,12.93,13.99,13.27,14.59,6.47,-,6.93,-,7.17
16,Other Long-Term Assets,122.58,126.18,91.54,54.6,85.2,56.31,85.9,41.95,45.04,6.21,14.32,6,-,25.18,-,6.09
17,Total Assets,2395,2407,2404,2455,2391,2370,2356,2322,2289,2256,2261,683.23,-,597.45,-,534.21
18,Accounts Payable,146.39,133.95,129.73,139.89,103.37,107.11,95.77,77.82,60.35,53.08,56.9,57.83,-,39.05,-,31.06
19,Accrued Expenses,1.13,5.13,2.45,9.71,0.85,3.63,0.78,10.76,1.14,1.62,0.72,6.84,-,1.53,-,4.51
20,Short-Term Debt,-,0.6,2.67,-,-,-,-,-,-,-,-,54.06,-,30.04,-,10.01
