,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,2942,3304,2762,3145,3934,3956,3984,4320,4912,5009,7078,9371,-,-,-,-,-
1,Market Cap Growth,-16.47%,-16.47%,-30.67%,-27.20%,-19.91%,-21.02%,-43.72%,-53.90%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1760,2056,1463,1734,2523,2543,2573,2871,3463,3507,5537,9395,-,-,-,-,-
3,Last Close Price,19.42,21.80,18.00,20.10,25.15,25.29,25.28,27.42,31.17,31.79,44.92,59.08,-,-,-,-,-
4,PE Ratio,42.28,47.08,31.82,34.96,43.24,52.31,56.31,43.25,46.13,41.06,61.77,88.63,-,-,-,-,-
5,PS Ratio,7.46,8.31,6.71,7.62,9.50,10.81,11.04,10.67,11.94,11.61,16.17,21.47,-,-,-,-,-
6,PB Ratio,1.32,1.48,1.23,1.40,1.73,1.76,1.80,1.93,2.22,2.28,3.26,4.30,-,-,-,-,-
7,P/TBV Ratio,1.50,1.50,1.25,1.42,1.75,1.79,1.83,1.96,2.25,2.32,3.32,4.38,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-197.87,-,-43.97,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,31.91,31.91,18.35,19.42,20.48,21.84,39.67,40.34,103.05,-,161.99,118.61,-,-,-,-,-
10,EV/Sales Ratio,4.42,5.17,3.55,4.20,6.09,6.95,7.13,7.09,8.42,8.13,12.65,21.53,-,-,-,-,-
11,EV/EBITDA Ratio,21.72,26.32,-,18.45,26.54,42.05,43.11,32.61,33.65,25.61,38.38,64.09,-,-,-,-,-
12,EV/EBIT Ratio,47.60,55.60,-,31.33,43.74,104.49,103.96,52.98,-,33.24,48.63,79.75,-,-,-,-,-
13,EV/FCF Ratio,-9.32,-,-,-,-,-127.20,-,-29.22,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,-,-,0.00,0.00,-,-,-,-,-,-,-,-,0.13,-,0.08,0.02,0.02
15,Debt / EBITDA Ratio,-,-,-,0.03,-,-,-,-,-,-,-,-,0.49,-,0.23,0.08,0.08
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.44,-,-
17,Asset Turnover,0.13,0.10,0.17,0.25,0.16,0.11,0.17,0.18,0.16,0.19,0.30,-,-,-,-,-,
18,Inventory Turnover,1.53,1.08,1.53,1.94,2.34,1.11,1.08,1.75,1.88,1.09,1.80,1.85,-,-,-,-,-
19,Quick Ratio,7.97,7.97,8.87,9.22,8.69,10.77,10.09,13.20,14.99,18.90,20.78,21.10,0.76,-,1.28,-,1.59
20,Current Ratio,9.28,9.28,9.93,10.23,9.58,12.25,11.45,14.77,16.88,21.50,22.69,22.78,1.53,-,1.97,-,2.48
21,Return on Equity (ROE),2.74%,1.15%,3.31%,5.27%,5.71%,1.76%,3.53%,2.62%,4.93%,7.14%,7.74%,-,-,25.53%,18.22%,-,
22,Return on Assets (ROA),1.45%,-1.55%,1.24%,2.67%,1.45%,0.38%,1.54%,-0.81%,1.56%,3.66%,5.18%,-,-,-,-,-,
23,Return on Capital (ROIC),1.55%,-1.66%,1.33%,2.86%,1.54%,0.41%,1.62%,-0.85%,1.62%,3.80%,5.49%,-,-,18.71%,13.20%,-,
24,Return on Capital Employed (ROCE),1.65%,1.65%,-,2.46%,2.53%,1.08%,1.11%,2.42%,-,4.78%,5.22%,5.40%,20.93%,-,17.32%,-,5.16%
25,Earnings Yield,2.39%,2.12%,3.14%,2.86%,2.31%,1.91%,1.78%,2.31%,2.17%,2.44%,1.62%,1.13%,-,-,-,-,-
26,FCF Yield,-6.42%,-5.72%,-4.76%,-2.37%,-0.83%,-0.51%,-2.47%,-2.27%,-3.22%,-2.71%,-1.64%,-0.88%,-,-,-,-,-
27,Dividend Yield,1.01%,-,-,-,0.80%,-,-,-,0.60%,-,-,-,-,-,-,-,-
28,Payout Ratio,43.10%,191.22%,-,-,3.87%,87.50%,-,-,0.01%,-,111.97%,1.04%,1.92%,2.12%,42.59%,83.92%,-
29,Buyback Yield / Dilution,1.21%,2.07%,1.99%,0.80%,-0.01%,0.06%,-0.06%,-9.04%,-33.34%,-33.39%,-33.30%,-22.23%,-0.46%,-,-,-,-
30,Total Shareholder Return,2.22%,2.07%,1.99%,0.80%,0.78%,0.06%,-0.06%,-9.04%,-32.74%,-33.39%,-33.30%,-22.23%,-0.46%,-,-,-,-
