,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,80.61,62.27,100.89,153.02,94.12,63.94,102.2,105.69,88.42,108.61,108.62,125.73,94.71,107.23,87.92,106.02
1,Other Revenue,-0.85,0.85,-,1.03,-0.45,0.45,-,0.12,-,-,-,0.14,-,-,-,0.07
2,Revenue,79.76,63.12,100.89,154.04,93.67,64.39,102.2,105.82,88.42,108.61,108.62,125.87,94.71,107.23,87.92,106.09
3,Revenue Growth (YoY),-14.85%,-1.97%,-1.28%,45.58%,5.94%,-40.72%,-5.91%,-15.93%,-6.64%,1.29%,23.54%,18.64%,-,-,-,-
4,Cost of Revenue,33.28,44.61,59.73,86.23,46.15,41.62,64.94,77.71,41.37,56.9,52.57,65.71,46.84,58.76,44.39,193.47
5,Gross Profit,46.47,18.51,41.16,67.81,47.52,22.77,37.26,28.11,47.05,51.71,56.05,60.15,47.87,48.48,43.53,-87.38
6,"Selling, General & Admin",26.24,22.81,19.9,25.1,24.83,17.43,18.23,18.74,27.99,19.36,21.92,19.06,21.52,12.42,13.83,56.31
7,Research & Development,10.67,9.33,9.78,11.57,6.2,4.94,4.76,4.82,5.08,4.57,4.98,5.5,4.06,3.25,4.42,18.98
8,Other Operating Expenses,0.16,1.69,0.42,1.93,2.9,-1.24,-0.02,10.9,-0.07,-4.94,-1.74,6.49,-0.42,-3.59,-0,-185.59
9,Operating Expenses,32.54,33.42,29.08,41.95,33.75,19.14,22.84,35.58,32.88,18.63,25.56,32.42,25.31,11.46,18.76,-111.35
10,Operating Income,13.94,-14.91,12.08,25.86,13.77,3.63,14.42,-7.48,14.18,33.08,30.49,27.73,22.56,37.02,24.76,23.97
11,Interest Expense,-,-0,-0.01,-,-,-,-0.02,-0,-,-,-0.2,-0.6,-0.43,-0.24,-0.13,-2.68
12,Interest & Investment Income,5.45,9.93,10.11,14.3,17.28,9.6,7.03,30.03,4.01,4.51,1.71,0.03,0.09,0.06,0.08,0.47
13,Currency Exchange Gain (Loss),-1.8,1.8,-,1.45,-1.4,1.4,-,4.7,-2.98,2.98,-,-1.51,0.63,-0.63,-,-3.15
14,Other Non Operating Income (Expenses),0.66,3.79,-0.82,-6.66,2.05,0.88,-1,-3.4,3.33,0.4,-0.48,2.39,-2.46,0.11,-0.14,0.62
15,EBT Excluding Unusual Items,18.24,0.62,21.36,34.96,31.7,15.51,20.43,23.85,18.54,40.96,31.52,28.04,20.39,36.31,24.58,19.23
16,Gain (Loss) on Sale of Investments,1.31,3.66,-,-,-,-,-,-17.86,9.28,8.98,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-2.15,0.04,0.09,3.03,-,-,0,0.01,-,-,-0.54,-,-,-,-0.02,41.86
18,Asset Writedown,-2.34,-0.47,-0.82,-5.22,4.64,-5.6,2.66,-2.94,0.44,-0.8,-0.14,-2.3,0.64,-0.93,-0.03,-1.85
19,Other Unusual Items,1.13,0.37,1.4,2.13,-,-,-,8.81,-,-,-,8.6,-,-,-,3.06
20,Pretax Income,16.18,4.22,22.04,34.9,36.34,9.91,23.1,11.86,28.26,49.14,30.84,34.35,21.03,35.38,24.52,62.3
21,Income Tax Expense,0.85,-2.26,3.31,5.07,4.48,0.12,3.48,-2.62,1.33,10.3,4.63,4.44,1.53,5.41,3.63,8.79
22,Earnings From Continuing Operations,15.33,6.48,18.73,29.83,31.86,9.79,19.62,14.49,26.93,38.84,26.21,29.9,19.5,29.97,20.9,53.5
23,Minority Interest in Earnings,-0.11,0.05,-0.08,-0.03,-0.03,-0.09,0.02,-0.05,0.02,0.02,0.02,0.03,0.07,0.03,0.04,1.57
24,Net Income,15.22,6.53,18.64,29.8,31.83,9.71,19.64,14.44,26.96,38.86,26.23,29.93,19.57,30,20.94,55.07
25,Net Income to Common,15.22,6.53,18.64,29.8,31.83,9.71,19.64,14.44,26.96,38.86,26.23,29.93,19.57,30,20.94,55.07
26,Net Income Growth,-52.19%,-32.73%,-5.09%,106.39%,18.09%,-75.02%,-25.10%,-51.77%,37.74%,29.55%,25.28%,-45.65%,-,-,-,-
