,Fiscal Quarter,Current,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,+7 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters
0,Market Capitalization,236,26,31,40,37,41,84,220,60,53,46,45,55,54,43,44,39,35,41,43,54,Upgrade
1,Market Cap Growth,-35.92%,-35.92%,-62.86%,-82.00%,-38.67%,-21.97%,82.61%,391.07%,8.70%,-2.94%,7.48%,2.75%,42.27%,56.32%,3.88%,1.87%,-28.15%,-45.28%,-61.85%,-,-,Upgrade
2,Enterprise Value,197,-18,-13,-16,-19,-20,23,161,1,-6,-13,-13,-3,-1,-13,-10,-14,-12,-5,1,12,Upgrade
3,Last Close Price,0.59,0.05,0.06,0.07,0.07,0.07,0.15,0.39,0.11,0.09,0.08,0.08,0.10,0.10,0.07,0.08,0.07,0.06,0.07,0.07,0.09,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-,5.75,4.59,4.23,3.99,4.25,4.15,3.21,3.35,3.01,3.09,3.91,6.33,22.75,Upgrade
5,PS Ratio,13.28,1.49,1.51,1.74,1.24,1.07,1.84,4.18,1.11,0.99,0.89,0.90,1.12,1.16,0.97,1.02,0.93,0.82,0.96,1.00,1.24,Upgrade
6,PB Ratio,2.39,0.27,0.32,0.37,0.35,0.35,0.65,1.70,-,0.40,0.37,0.36,-,0.45,0.38,0.38,-,0.33,0.41,0.43,-,Upgrade
7,P/TBV Ratio,0.33,0.33,0.39,0.46,0.43,0.43,0.76,2.00,-,0.48,0.44,0.43,-,0.55,0.46,0.47,-,0.39,0.50,0.52,-,Upgrade
8,EV/Sales Ratio,11.07,-,-,-,-,-,0.50,3.07,0.03,-,-,-,-,-,-,-,-,-,-,0.02,0.28,Upgrade
9,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,0.08,-,-,-,-,-,-,-,-,-,-,0.05,0.75,Upgrade
10,EV/EBIT Ratio,-,-,-,-,-,-,-,-,0.10,-,-,-,-,-,-,-,-,-,-,0.06,0.89,Upgrade
11,Debt / Equity Ratio,-,-,-,-,-,0.00,0.00,0.00,-,0.01,-,-,-,0.09,0.10,0.10,-,0.11,0.11,0.11,-,Upgrade
12,Debt / EBITDA Ratio,-,-,-,-,-,0.01,-,-,-,0.02,-,-,-,0.46,0.72,0.51,-,0.56,0.74,0.53,-,Upgrade
13,Asset Turnover,0.18,0.17,0.15,0.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
14,Quick Ratio,9.68,9.68,9.68,5.96,5.96,4.43,-,10.69,-,12.65,-,16.25,-,5.00,-,4.35,-,4.53,-,3.93,-,Upgrade
15,Current Ratio,10.15,10.15,10.15,6.63,6.63,4.46,-,10.82,-,12.78,-,16.46,-,5.05,-,4.40,-,4.59,-,3.96,-,Upgrade
16,Return on Equity (ROE),-13.64%,-13.14%,-18.90%,-18.05%,-3.51%,-36.53%,-,-,11.87%,8.55%,-,-,10.84%,10.59%,-,-,13.00%,10.85%,-,-,Upgrade,
17,Return on Assets (ROA),-6.60%,-6.26%,-4.02%,-3.74%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
18,Return on Capital (ROIC),-6.95%,-6.70%,-4.36%,-4.16%,18.56%,-27.21%,-,-,12.28%,7.48%,-,-,7.99%,6.29%,-,-,6.82%,7.30%,-,-,Upgrade,
19,Return on Capital Employed (ROCE),-,-,-,-,-,-7.20%,-,-,-,12.15%,-,10.52%,-,11.73%,-,11.62%,-,12.05%,-,13.94%,-,Upgrade
20,Earnings Yield,-7.11%,-63.59%,-46.47%,-58.02%,-54.41%,-33.19%,-10.48%,2.60%,17.38%,21.77%,23.63%,25.05%,23.52%,24.12%,31.12%,29.89%,33.19%,32.37%,25.58%,15.79%,4.40%,Upgrade
21,FCF Yield,-4.22%,-37.69%,-26.29%,-16.29%,-8.77%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
22,Dividend Yield,0.34%,-,-,-,-,-,-,0.25%,-,-,-,2.54%,-,-,-,2.64%,-,-,-,2.75%,-,Upgrade
23,Buyback Yield / Dilution,-,-,-,0.09%,0.04%,0.04%,0.02%,-0.03%,0.06%,-0.00%,-0.00%,-0.06%,-0.10%,-0.03%,-0.03%,-,-,-9.31%,-33.31%,-33.33%,Upgrade,
24,Total Shareholder Return,0.34%,-,-,-,0.09%,0.04%,0.04%,0.27%,-0.03%,0.06%,-0.00%,2.54%,-0.06%,-0.10%,-0.03%,2.61%,-,-,-9.31%,-30.56%,-33.33%,Upgrade
