,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,6037,5655,6076,6687,6687,7018,7612,7396,8312,8531,11827,Upgrade
1,Market Cap Growth,-15.43%,-15.43%,-9.14%,-4.72%,-12.16%,-5.11%,-8.41%,-13.30%,-29.72%,-18.53%,31.84%,Upgrade
2,Enterprise Value,61980,67919,64183,75425,70964,66672,65602,57364,54759,50222,46688,Upgrade
3,Last Close Price,1.58,1.40,1.50,1.65,1.61,1.74,1.75,1.72,1.83,1.88,2.40,Upgrade
4,PE Ratio,4.77,4.47,3.82,33.13,-,3.04,2.62,2.27,3.72,8.42,2.76,Upgrade
5,Forward PE,6.56,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.78,3.37,Upgrade
6,PS Ratio,0.15,0.14,0.13,0.16,0.14,0.16,0.19,0.19,0.22,0.22,0.26,Upgrade
7,PB Ratio,0.16,0.12,0.12,0.14,0.14,0.15,0.16,0.15,0.18,0.22,0.30,Upgrade
8,P/TBV Ratio,0.15,0.15,0.16,0.18,0.18,0.18,0.20,0.17,0.20,0.24,0.32,Upgrade
9,P/FCF Ratio,1.99,1.87,1.03,7.67,-,-,-0.84,-,-,-,-,Upgrade
10,P/OCF Ratio,1.85,1.85,1.03,4.89,-,-,-0.85,-,-,-,-,Upgrade
11,PEG Ratio,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,Upgrade
12,EV/Sales Ratio,1.53,1.67,1.42,1.83,1.53,1.52,1.62,1.47,1.47,1.29,1.04,Upgrade
13,EV/EBITDA Ratio,15.97,17.63,10.57,10.05,7.50,6.77,6.46,6.13,5.99,5.70,4.09,Upgrade
14,EV/EBIT Ratio,17.03,18.54,10.95,10.31,7.64,6.89,6.59,6.28,6.14,5.82,4.16,Upgrade
15,EV/FCF Ratio,20.45,22.41,10.91,86.54,-,-,-7.25,-,-,-,-,Upgrade
16,Debt / Equity Ratio,1.66,1.66,1.71,1.76,1.99,1.95,1.89,2.08,2.27,2.10,1.91,Upgrade
17,Debt / FCF Ratio,26.50,26.50,14.44,95.98,-,-,-9.76,-,-,-,-,Upgrade
18,Return on Capital Employed (ROCE),3.45%,3.45%,5.32%,6.42%,7.81%,7.99%,8.98%,6.90%,7.52%,8.34%,11.59%,Upgrade
19,Earnings Yield,20.98%,22.39%,26.19%,3.02%,13.80%,32.93%,38.17%,44.15%,26.86%,11.88%,36.25%,Upgrade
20,FCF Yield,50.19%,53.58%,96.83%,13.03%,-234.95%,-143.91%,-118.94%,-140.14%,-87.62%,-172.78%,-44.75%,Upgrade
21,Buyback Yield / Dilution,-0.19%,-,-0.38%,-2.90%,-2.73%,-1.42%,-1.20%,0.29%,0.29%,0.14%,-0.29%,Upgrade
22,Total Shareholder Return,5.06%,-,-0.38%,-2.90%,-2.73%,-1.42%,-1.20%,0.29%,0.29%,0.14%,-0.29%,Upgrade
