,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3623,3184,2850,3715,4279,4534,5602,5930,5805,4586,-,-,-,-,-,-
1,Market Cap Growth,-29.77%,-29.77%,-49.12%,-37.35%,-26.30%,-1.14%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3187,2677,2217,2983,3443,4459,4613,4890,4701,4374,-,-,-,-,-,-
3,Last Close Price,5.53,4.86,4.35,5.67,6.53,6.92,8.55,9.05,8.86,7.00,-,-,-,-,-,-
4,PS Ratio,30.35,26.52,26.05,34.88,47.13,55.55,80.10,108.21,120.42,123.87,-,-,-,-,-,-
5,PB Ratio,6.38,5.61,4.35,5.01,5.13,4.50,5.01,5.10,4.78,3.65,-,-,-,-,-,-
6,P/TBV Ratio,5.63,5.63,4.37,5.02,5.14,4.51,5.02,5.11,4.79,3.66,-,-,-,-,-,-
7,EV/Sales Ratio,26.54,22.29,20.27,28.00,37.93,54.64,65.96,89.23,97.53,118.13,-,-,-,-,-,-
8,Debt / Equity Ratio,0.54,0.54,0.41,0.33,0.27,0.23,0.19,0.19,0.19,0.13,0.51,0.40,0.37,-,0.21,0.01
9,Asset Turnover,0.15,0.11,0.12,0.07,0.08,0.07,0.05,0.04,0.06,0.07,0.07,-,-,-,-,
10,Inventory Turnover,0.62,0.55,0.56,0.64,0.54,0.73,0.61,0.50,0.51,0.62,0.48,0.47,-,-,-,-
11,Quick Ratio,6.02,6.02,7.39,6.57,7.14,16.38,4.52,17.56,11.13,12.72,3.62,4.89,5.02,-,15.35,-
12,Current Ratio,6.79,6.79,8.27,7.20,7.72,17.58,18.62,18.86,11.91,13.34,4.00,5.45,5.41,-,16.49,-
13,Return on Equity (ROE),-58.90%,-56.81%,-51.85%,-76.75%,-44.90%,-24.19%,-18.91%,-15.07%,-32.89%,-60.82%,-48.95%,-,-,-35.06%,-,
14,Return on Assets (ROA),-22.56%,-22.80%,-23.05%,-36.78%,-23.10%,-13.35%,-10.54%,-12.06%,-18.91%,-23.41%,-21.52%,-,-,-,-,
15,Return on Capital (ROIC),-24.80%,-25.10%,-25.62%,-39.32%,-23.94%,-13.86%,-10.94%,-12.49%,-19.86%,-25.36%,-23.23%,-,-,-23.73%,-,
16,Earnings Yield,-12.92%,-14.70%,-17.45%,-12.57%,-9.84%,-6.42%,-4.24%,-3.80%,-3.79%,-5.99%,-,-,-,-,-,-
17,FCF Yield,-11.01%,-12.53%,-15.02%,-10.28%,-7.87%,-6.51%,-5.26%,-4.17%,-4.34%,-5.58%,-,-,-,-,-,-
18,Buyback Yield / Dilution,-0.64%,-3.36%,4.71%,-2.30%,-1.99%,-1.45%,-34.37%,-22.27%,-18.87%,-26.47%,1.79%,2.82%,-,-,-,-
19,Total Shareholder Return,-0.64%,-3.36%,4.71%,-2.30%,-1.99%,-1.45%,-34.37%,-22.27%,-18.87%,-26.47%,1.79%,2.82%,-,-,-,-
