,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,254.01,148.46,217.33,166.31,179.16,286.35,159.18,151.09,304.41,270.86,140.62,145.52,-,120.02,-
1,Trading Asset Securities,486.28,628.42,662.44,786.98,885.05,-,1049,1119,962.63,119.65,270.93,326.36,-,420.92,-
2,Cash & Short-Term Investments,740.3,776.89,879.78,953.3,1064,286.35,1208,1270,1267,390.51,411.55,471.88,-,540.94,636.96
3,Cash Growth,-30.44%,171.30%,-27.20%,-24.95%,-16.01%,-26.67%,193.62%,169.17%,-,-27.81%,-35.39%,-,-,-,-
4,Accounts Receivable,30.6,23.75,26.36,21.98,19.84,18.51,10.75,11.1,10.48,8.12,4.26,1.42,-,-,-
5,Other Receivables,0.21,0.31,0.41,0.19,0.24,0.25,0.41,0.34,0.51,1.86,0.99,0,-,4.98,-
6,Receivables,30.81,24.06,26.77,22.17,20.08,18.76,11.16,11.44,10.98,9.98,5.26,1.42,-,4.98,-
7,Inventory,45.45,42.59,34.88,37.52,24.38,26.41,32.11,21.89,17.92,16.99,15.97,11.01,-,8.59,-
8,Other Current Assets,52.63,52.85,51.45,41.27,54.89,926.04,58.14,67.01,44.63,24.47,31.49,25.29,-,32.06,-
9,Total Current Assets,869.19,896.38,992.87,1054,1164,1258,1310,1371,1341,441.95,464.27,509.59,-,586.58,-
10,"Property, Plant & Equipment",76.09,80.07,82.89,86.21,88.52,91.94,94.62,97.46,98.5,105.21,106.95,122.8,-,112.22,-
11,Other Intangible Assets,1.76,1.81,1.94,1.93,1.83,1.93,2.06,2.19,1.26,1.26,0.82,0.84,-,0.11,-
12,Long-Term Deferred Charges,19.5,20.1,21,21.75,22.56,23.32,24.18,22.68,23.25,10.01,10.37,1.83,-,2.59,-
13,Other Long-Term Assets,4.2,4.49,4.49,4.42,4.37,4.21,3.95,4.54,5.39,17.58,15.68,13.48,-,8.76,-
14,Total Assets,970.75,1003,1103,1169,1281,1379,1435,1497,1469,576.01,598.09,648.54,-,710.26,-
15,Accounts Payable,73.08,4.6,84.09,11.13,21.97,16.81,35.58,10.85,9.8,16.26,2.19,1.91,-,-,-
16,Accrued Expenses,12.37,71.12,9.68,94.51,11.77,27.07,3.03,37.41,10.64,8.94,19.43,29.45,-,23.34,-
17,Short-Term Debt,-,-,-,-,-,-,-,48.75,57.58,70.07,50.23,50.08,-,7.02,-
