,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,36.82,27.72,33.02,22.5,26.16,24.83,17.28,13.35,14.47,9.7,10.69,2.17,5.49,-,-
1,Revenue Growth (YoY),40.75%,11.63%,91.10%,68.56%,80.76%,156.13%,61.66%,515.20%,163.64%,-,-,-,-,-,-
2,Cost of Revenue,6.11,5.42,5.81,4.19,4.64,4.49,3.38,2.54,2.71,1.98,1.59,0.5,0.08,0.18,-
3,Gross Profit,30.72,22.3,27.21,18.31,21.52,20.34,13.9,10.81,11.76,7.71,9.1,1.67,5.41,-0.18,-
4,"Selling, General & Admin",41.49,36.85,47.12,56.07,37.68,42.43,32.39,46.28,40.14,30,29.76,44.58,29.81,29.46,20.53
5,Research & Development,78.08,81.52,84.65,141.91,106.85,52.63,43.47,35.45,49.39,32.63,32.92,65.14,29.44,31.88,25.3
6,Other Operating Expenses,0.02,-0,0.07,0.33,-0.16,0.26,-0.14,0.13,0.02,0.02,-0.03,4.15,-4.12,0,0
7,Operating Expenses,119.76,118.32,131.94,198.48,144.4,95.48,75.71,82.35,89.11,62.68,62.76,114.04,54.99,61.34,45.83
8,Operating Income,-89.05,-96.02,-104.73,-180.17,-122.88,-75.13,-61.81,-71.54,-77.35,-54.97,-53.66,-112.38,-49.57,-61.52,-45.83
9,Interest Expense,-4.07,-3.79,-1.23,-2.74,-2.06,-4.14,-1.19,-2.49,-1.92,-2.18,-2.23,-2.06,-1.64,-1.44,-0.09
10,Interest & Investment Income,0.22,0.44,1.22,0.7,0.59,0.45,0.45,0.64,2.54,0.58,0.64,0.77,0.65,0.61,0.37
11,Currency Exchange Gain (Loss),2.47,-2.47,-,0.02,1.46,-1.46,-,-5.59,1.12,-1.12,-,-0.29,0.15,-0.18,0.04
12,Other Non Operating Income (Expenses),-0.21,2.69,-2.87,1.51,-6.07,3.55,-3.35,-2.64,1.28,0.11,1.59,-25.31,24.96,-0.17,0.13
13,EBT Excluding Unusual Items,-90.63,-99.15,-107.61,-180.68,-128.96,-76.73,-65.9,-81.62,-74.33,-57.58,-53.66,-139.28,-25.47,-62.69,-45.39
14,Gain (Loss) on Sale of Investments,1.9,4.64,5.29,6.21,5.64,11.76,9.73,7.21,8.29,0.89,2.1,2.26,2.74,2.29,3.24
15,Gain (Loss) on Sale of Assets,-,-,-,-,-,0,-,-0.03,0.01,-0.01,0.52,-0.02,-,-,-
16,Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,0.18,-0.18,-,-
17,Other Unusual Items,0.14,0.11,0.18,3.77,3.98,-3.98,-,27.92,-,-,-,36.08,-15.75,9.01,6.74
18,Pretax Income,-88.59,-94.41,-102.14,-170.7,-119.34,-68.95,-56.16,-46.52,-66.03,-56.71,-51.04,-100.77,-38.66,-51.4,-35.4
19,Income Tax Expense,1.4,4.76,-,5.97,0,0.01,-,0,0,0.01,-,-0,0.03,-0,0.01
20,Net Income,-89.99,-99.17,-102.14,-176.67,-119.34,-68.96,-56.16,-46.52,-66.03,-56.71,-51.04,-100.77,-38.69,-51.4,-35.41
21,Net Income to Common,-89.99,-99.17,-102.14,-176.67,-119.34,-68.96,-56.16,-46.52,-66.03,-56.71,-51.04,-100.77,-38.69,-51.4,-35.41
22,Shares Outstanding (Basic),687,660,638,650,665,693,624,637,656,516,510,536,518,525,525
23,Shares Outstanding (Diluted),687,660,638,650,665,693,624,637,656,516,510,536,518,525,525
24,Shares Change (YoY),3.36%,-4.71%,2.30%,1.99%,1.45%,34.37%,22.27%,18.87%,26.47%,-1.79%,-2.82%,-,-,-,-
25,EPS (Basic),-0.13,-0.15,-0.16,-0.27,-0.18,-0.10,-0.09,-0.07,-0.10,-0.11,-0.10,-0.19,-0.07,-0.10,-0.07
26,EPS (Diluted),-0.13,-0.15,-0.16,-0.27,-0.18,-0.10,-0.09,-0.07,-0.10,-0.11,-0.10,-0.19,-0.07,-0.10,-0.07
27,Free Cash Flow,-64.46,-128.29,-100.78,-105.54,-93.48,-81.98,-55.74,-63.84,-92.86,-35.02,-60.46,-67.45,-41.93,-47.8,-46.72
28,Free Cash Flow Per Share,-0.09,-0.19,-0.16,-0.16,-0.14,-0.12,-0.09,-0.10,-0.14,-0.07,-0.12,-0.13,-0.08,-0.09,-0.09
29,Gross Margin,83.42%,80.45%,82.40%,81.37%,82.27%,81.93%,80.45%,80.96%,81.27%,79.56%,85.14%,76.82%,98.63%,-,-
30,Operating Margin,-241.82%,-346.36%,-317.21%,-800.59%,-469.68%,-302.55%,-357.73%,-535.83%,-534.44%,-566.96%,-502.09%,-5178.40%,-903.00%,-,-
31,Profit Margin,-244.38%,-357.72%,-309.35%,-785.04%,-456.14%,-277.69%,-325.07%,-348.48%,-456.19%,-584.90%,-477.57%,-4643.57%,-704.83%,-,-
32,Free Cash Flow Margin,-175.05%,-462.78%,-305.25%,-468.99%,-357.32%,-330.11%,-322.63%,-478.16%,-641.60%,-361.22%,-565.75%,-3108.20%,-763.75%,-,-
33,EBITDA,-88.54,-95.45,-104.23,-179.66,-122.56,-74.64,-61.48,-71.21,-77.22,-54.57,-53.48,-112.24,-49.46,-61.41,-45.72
34,EBITDA Margin,-240.45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,D&A For EBITDA,0.5,0.57,0.5,0.5,0.32,0.49,0.32,0.32,0.14,0.4,0.18,0.14,0.12,0.11,0.11
36,EBIT,-89.05,-96.02,-104.73,-180.17,-122.88,-75.13,-61.81,-71.54,-77.35,-54.97,-53.66,-112.38,-49.57,-61.52,-45.83
37,EBIT Margin,-241.82%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Revenue as Reported,36.82,27.72,33.02,22.5,26.16,24.83,17.28,13.35,14.47,9.7,10.69,2.17,5.49,-,-
