,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,21535,8706,6013,6538,8109,8773,11108,12182,6958,6035,7902,6297,7534,6162,6604,6109,6948,8487,8504,8098,8566,Upgrade
1,Market Cap Growth,-0.76%,-0.76%,-45.87%,-46.33%,16.54%,45.38%,40.57%,93.45%,-7.64%,-2.06%,19.66%,3.09%,8.43%,-27.39%,-22.35%,-24.56%,-18.89%,-20.45%,-29.50%,-45.24%,0.33%,Upgrade
2,Enterprise Value,20570,7809,5074,5597,7168,7794,10871,11942,6718,5840,7703,5953,7190,5774,6105,5779,6619,8081,8195,7869,8338,Upgrade
3,Last Close Price,21.99,8.89,6.13,6.68,8.28,8.98,11.50,14.02,8.06,6.99,8.93,7.11,8.51,6.91,7.40,6.82,7.75,9.47,9.49,9.04,9.56,Upgrade
4,PE Ratio,306.59,64.11,64.71,110.82,-,245.69,-,100.22,-,9.47,14.02,11.95,38.23,-,91.89,85.63,105.74,196.49,-150.49,249.69,99.47,Upgrade
5,Forward PE,109.95,18.80,18.80,18.80,18.80,24.27,17.49,17.49,17.49,17.49,17.49,17.49,16.20,16.20,16.20,16.20,16.20,16.20,15.52,14.77,16.29,Upgrade
6,PS Ratio,6.97,3.70,2.61,2.89,-,2.90,3.68,4.04,2.31,2.01,2.70,2.19,2.68,2.30,2.50,2.39,2.79,3.61,3.68,3.10,3.15,Upgrade
7,PB Ratio,4.34,1.74,1.22,1.33,-,-,2.27,3.01,1.76,1.56,2.07,1.70,2.21,1.87,1.99,1.83,2.10,2.67,2.69,2.63,2.80,Upgrade
8,P/TBV Ratio,2.22,2.22,1.57,1.73,-,-,2.80,3.94,2.07,1.85,2.48,2.05,2.61,2.24,2.39,2.14,2.47,3.21,3.23,3.11,3.32,Upgrade
9,P/FCF Ratio,1738.07,-45.17,-,-,-,-,-,-,-23.21,-51.05,-,-,-135.42,-,-,-,31.41,-,28.55,-,-51.86,Upgrade
10,P/OCF Ratio,32.81,-380.30,-,-,-,60.79,-,-,128.26,45.14,84.87,-,39.36,23.24,29.30,-,15.56,17.73,16.65,-,129.28,Upgrade
11,PEG Ratio,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,Upgrade
12,EV/Sales Ratio,6.68,3.32,2.21,2.47,-,2.57,3.60,3.96,2.23,1.95,2.63,2.07,2.56,2.16,2.31,2.26,2.65,3.44,3.55,3.01,3.06,Upgrade
13,EV/EBITDA Ratio,-,66.93,50.72,83.61,-,62.17,84.53,61.11,33.42,50.64,58.22,66.95,-,38.15,32.93,26.99,31.41,48.81,-740.65,193.09,-,Upgrade
14,EV/EBIT Ratio,-,73.13,72.86,590.66,-,325.44,-,98.63,52.14,128.75,165.20,1181.04,-,83.00,55.75,41.51,46.68,78.85,-117.38,-902.10,-,Upgrade
15,EV/FCF Ratio,1660.18,-40.51,-,-,-,-,-,-,-22.41,-49.39,-,-,-129.23,-,-,-,29.92,-,27.51,-,-50.48,Upgrade
16,Debt / Equity Ratio,0.10,0.10,0.10,0.10,-,-,0.12,0.36,0.32,0.31,0.31,0.30,0.31,0.37,0.37,0.38,0.40,0.19,0.22,0.25,0.20,Upgrade
17,Debt / EBITDA Ratio,-,2.96,2.47,3.98,-,-,9.39,5.76,8.59,10.72,3.58,3.95,-,6.87,7.85,10.88,7.67,1.95,2.82,7.56,-,Upgrade
18,Debt / FCF Ratio,39.49,-2.54,-,-,-,-,-,-,-4.26,-10.12,-,-,-19.29,-,-,-,6.01,-,2.37,-,-3.66,Upgrade
19,Asset Turnover,0.55,0.52,-,-,-,0.50,0.49,0.55,0.56,0.56,0.54,0.61,0.57,0.55,0.51,0.54,0.65,0.57,0.56,0.46,Upgrade,
20,Inventory Turnover,-,7.96,6.38,-,-,-,8.90,8.56,9.43,10.30,7.83,6.94,8.72,8.21,7.63,7.53,-,-,-,28080.20,8044.60,Upgrade
21,Quick Ratio,3.18,3.18,3.22,3.12,-,-,3.56,3.47,3.56,4.56,4.51,4.26,3.46,3.84,3.83,3.73,3.13,3.14,2.93,2.67,2.73,Upgrade
