,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,1208,1175,1356,-,-,1518,1712,1589,1435,1383,1292,1624,1571,1607,1745,2050,945.13,1109,1090,1096,Upgrade
1,Trading Asset Securities,268.17,221.32,110.82,-,-,65.1,-,-,-,-,-,-,-,9.33,19.89,19.57,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,1476,1397,1467,-,-,1583,1712,1589,1435,1383,1292,1624,1571,1616,1765,2070,945.13,1109,1090,1096,Upgrade
3,Cash Growth,-,-11.76%,-14.34%,-,-,14.45%,32.57%,-2.20%,-8.71%,-14.44%,-26.82%,-21.53%,66.27%,45.80%,61.91%,88.82%,27.77%,68.19%,83.51%,15.33%,Upgrade
4,Accounts Receivable,1721,1634,1542,-,-,1690,1648,1624,1692,1657,1592,1432,1520,1512,1435,1426,1888,1815,1940,1875,Upgrade
5,Other Receivables,36.88,49.76,45.63,-,-,66.87,57.03,54.94,60.27,66.91,54.04,36.14,41.28,36.79,26.11,32.93,37.67,36.59,45.06,35.42,Upgrade
6,Receivables,1758,1684,1588,-,-,1758,1705,1679,1753,1725,1648,1469,1563,1550,1463,1460,1928,1855,1990,1915,Upgrade
7,Inventory,265.32,301.72,333.48,-,-,236.05,226.15,249.78,213.57,220.36,288.42,292.42,262.57,248.22,262.94,263.62,-,-,0.06,0.06,Upgrade
8,Prepaid Expenses,-,0.3,-,-,-,0.08,-,0.07,-,0.12,-,0.03,-,0.12,-,0.11,-,0.19,-,-,Upgrade
