,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,832.56,787.84,732.25,-,780.94,749.93,720.48,772.55,771.65,746.21,712.35,763.94,705.77,684.65,653.57,625.43,674.29,598.04,589.33,484.56,Upgrade
1,Other Revenue,-0.7,0.7,-,-,-1.09,1.09,-,4.11,-1.46,1.46,-,2.74,-0.49,0.49,-,6,-1.76,1.76,-,2.7,Upgrade
2,Revenue,831.86,788.54,732.25,-,779.85,751.03,720.48,776.67,770.2,747.67,712.35,766.68,705.28,685.14,653.57,631.44,672.53,599.79,589.33,487.26,Upgrade
3,Revenue Growth (YoY),6.67%,5.00%,1.63%,-,1.25%,0.45%,1.14%,1.30%,9.21%,9.13%,8.99%,21.42%,4.87%,14.23%,10.90%,29.59%,6.27%,-33.47%,-16.03%,-35.53%,Upgrade
4,Cost of Revenue,564.55,506.77,509.88,-,556.17,513.96,509.27,545.99,558.79,498.23,503.8,604.94,524.3,487.74,495.65,370.4,451.82,388.51,452.88,293.12,Upgrade
5,Gross Profit,267.31,281.77,222.36,-,223.69,237.07,211.22,230.68,211.4,249.44,208.55,161.74,180.98,197.4,157.92,261.04,220.71,211.28,136.44,194.14,Upgrade
6,"Selling, General & Admin",153.31,149.03,118.55,-,152.57,161.54,96.91,164.35,128.44,97.21,94.36,125.28,91.83,99.62,85.42,74.36,85.14,83.06,69.77,43.88,Upgrade
7,Research & Development,67.72,70.72,66.16,-,64.24,73.95,65.83,39.5,54.04,62.9,55.88,52.71,57.45,56.33,56.72,80.56,51.8,58.58,49.87,100.52,Upgrade
8,Other Operating Expenses,3.59,3.72,-0.82,-,-3.21,-2.97,-5.55,24.06,-21.09,-3.6,-4.76,17.02,-2.81,-5.11,-6.06,21.56,-0.82,-2.04,-11.65,25.7,Upgrade
9,Operating Expenses,229,242.15,193.52,-,222.5,257.62,170.56,228.02,188.07,195.01,160.13,242.56,156.37,184.56,148.89,237.94,156.17,168.71,124.86,210.34,Upgrade
10,Operating Income,38.31,39.62,28.84,-,1.18,-20.55,40.66,2.66,23.33,54.43,48.42,-80.82,24.6,12.84,9.03,23.1,64.54,42.56,11.58,-16.2,Upgrade
11,Interest Expense,-3.72,-2.64,-4.1,-,-4.24,-5.88,-15.19,-31.56,-18.33,-15.03,-13.27,-12.24,-40.54,-14.69,-15.38,-12.43,-6.68,-8.39,-7.14,-7.69,Upgrade
12,Interest & Investment Income,6.48,7.38,19.6,-,10.93,8.66,9.04,-,-,4.27,363.52,275.86,-,27.26,27.19,7.51,4.38,5.59,3.45,1.68,Upgrade
13,Currency Exchange Gain (Loss),5.58,-5.58,-,-,-15.78,15.78,-,26.57,-4.74,4.74,-,-38.44,24.59,-24.59,-,-35.54,-1.79,1.79,-,11.3,Upgrade
14,Other Non Operating Income (Expenses),4.79,-2.64,0.43,-,13.58,11.48,-3.6,-38.16,46.83,-4.34,-2.89,15.76,-23.17,16.25,-12.42,14.74,-18.89,-14.41,18.15,-34.44,Upgrade
15,EBT Excluding Unusual Items,51.45,36.12,44.77,-,5.67,9.49,30.91,-40.5,47.09,44.07,395.77,160.12,-14.53,17.07,8.42,-2.62,41.55,27.15,26.04,-45.35,Upgrade
16,Gain (Loss) on Sale of Investments,-,-,-,-,-5.45,-7.3,-7.08,-,-,-,-,-,-,-,-,-29.24,-14.58,-12.64,-11.66,-10.15,Upgrade
