,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,78.22,44.63,35.99,61.36,83.11,249.54,198.67,236.04,167.98,139.35
1,Short-Term Investments,2.35,-,0.23,53.1,100,-,3.09,5,4.02,2.16
2,Cash & Short-Term Investments,80.56,44.63,36.21,114.46,183.11,249.54,201.76,241.04,172,141.51
3,Cash Growth,122.48%,-61.01%,-80.22%,-54.13%,-9.24%,3.53%,17.30%,70.34%,25.62%,42.48%
4,Accounts Receivable,250.67,371.88,334.59,300.56,294.27,170.16,208.12,199.78,214,191.38
5,Other Receivables,20.33,20.98,28.04,16.64,16.18,6.79,5.97,2.02,11.04,1.56
6,Receivables,271,392.86,362.62,317.19,310.46,176.95,214.09,201.8,225.04,192.94
7,Prepaid Expenses,-,-,-,-,-,5.71,-,4.29,-,5.99
8,Other Current Assets,-,-,-,-,-,0.14,-,0.1,-,0.1
9,Total Current Assets,351.56,437.49,398.83,431.66,493.57,432.34,415.84,447.23,397.04,340.54
10,"Property, Plant & Equipment",18.58,19.74,20.79,18.96,20.69,21.53,22.45,24.39,26.28,28
11,Long-Term Investments,26.67,26.62,33.41,46.71,45.85,51.22,46.94,38,14.69,13.64
12,Long-Term Deferred Tax Assets,11.01,8.68,8.08,6.55,5.19,0.06,0.07,0.01,0.16,0.14
13,Other Long-Term Assets,2.68,2.92,2.88,2.86,2.83,2.96,2.8,2.76,2.73,2.59
14,Total Assets,410.5,495.45,463.98,506.74,568.13,508.11,488.1,512.38,440.89,384.91
15,Accounts Payable,56.89,105.34,72.49,72.17,103.48,53.94,48.77,61.27,61.7,32.14
16,Accrued Expenses,-,72.04,-,73,-,12.22,-,11.21,-,8.41
17,Short-Term Debt,10,35,40,-,-,-,-,-,6.44,6.82
18,Current Portion of Leases,1.53,2.32,2.01,0.58,1.62,2.31,2.06,2.23,2.41,2.29
19,Current Income Taxes Payable,-,-,-,-,-,-,4.79,1.33,4.67,1.89
20,Current Unearned Revenue,24.3,14.99,13.28,59.12,85.35,65.01,54.83,73.15,17.85,11.33
21,Other Current Liabilities,97.15,35.62,101.7,57.39,131.66,82.84,83.45,65.88,75.2,59.79
22,Total Current Liabilities,189.88,265.32,229.47,262.27,322.11,216.31,193.9,215.05,168.26,122.67
23,Long-Term Leases,0.12,0.27,1.06,0.05,0.21,0.44,1.17,2.12,3.16,4.3
24,Total Liabilities,190.34,266.54,230.84,262.62,322.74,217.28,195.46,217.68,171.97,127.54
25,Common Stock,4,4,4,4,4,4,4,4,4,4
26,Additional Paid-In Capital,-,83.22,-,83.22,83.22,83.22,83.22,83.22,83.22,83.22
27,Retained Earnings,-,136.63,-,151.84,153.1,198.56,200.36,202.42,176.65,165.09
28,Comprehensive Income & Other,216.16,5.06,229.14,5.06,5.06,5.06,5.06,5.06,5.06,5.06
29,Shareholders' Equity,220.16,228.91,233.14,244.12,245.38,290.84,292.64,294.7,268.93,257.37
30,Total Liabilities & Equity,410.5,495.45,463.98,506.74,568.13,508.11,488.1,512.38,440.89,384.91
31,Total Debt,11.65,37.59,43.07,0.63,1.83,2.75,3.23,4.34,12.01,13.41
32,Net Cash (Debt),68.92,7.04,-6.86,113.83,181.28,246.79,198.52,236.7,159.99,128.1
33,Net Cash Growth,-,-93.82%,-,-53.88%,-8.69%,4.26%,24.08%,84.78%,31.20%,42.09%
34,Net Cash Per Share,0.17,0.02,-0.02,0.28,0.45,0.62,0.50,0.59,0.40,0.32
35,Filing Date Shares Outstanding,400,400,400,400,400,400,400,400,400,400
36,Total Common Shares Outstanding,400,400,400,400,400,400,400,400,400,400
37,Working Capital,161.69,172.18,169.36,169.39,171.46,216.03,221.94,232.18,228.78,217.87
38,Book Value Per Share,0.55,0.57,0.58,0.61,0.61,0.73,0.73,0.74,0.67,0.64
39,Tangible Book Value,220.16,228.91,233.14,244.12,245.38,290.84,292.64,294.7,268.93,257.37
40,Tangible Book Value Per Share,0.55,0.57,0.58,0.61,0.61,0.73,0.73,0.74,0.67,0.64
41,Land,-,-,-,-,-,24.09,-,24.09,-,24.09
42,Machinery,-,10.15,-,9.84,-,6.68,-,6.49,-,6.34
43,Leasehold Improvements,-,24.09,-,24.09,-,2.5,-,2.5,-,2.5
