,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+8 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+8 Quarters
0,Market Capitalization,1356592,1420467,1560385,1840220,2390765,1660760,1660760,1350508,1237966,1399175,7817133,8303802,9125057,10128814,9733395,9177962,9283760,7538096,7194253,6577871,6600878,Upgrade
1,Market Cap Growth,-14.47%,-14.47%,-6.04%,36.26%,93.12%,18.70%,-78.75%,-83.74%,-86.43%,-86.19%,-19.69%,-9.52%,-1.71%,34.37%,35.29%,39.53%,40.64%,43.04%,37.56%,24.11%,28.17%,Upgrade
2,Enterprise Value,3587478,3591590,4041723,4363887,5030699,4468982,4483741,4701216,4588674,5939567,12703934,12905632,13050010,14990630,13281817,11667455,11263213,9157923,8852923,8226235,8048780,Upgrade
3,Last Close Price,4460.00,4670.00,5130.00,6050.00,7860.00,5460.00,5460.00,4440.00,4070.00,4600.00,25700.00,27300.00,30000.00,33300.00,32000.00,30173.91,30521.74,24782.61,23652.17,21625.71,21701.32,Upgrade
4,PE Ratio,22.69,23.94,12.35,15.39,14.16,13.15,-14.77,-58.35,-,-,36.35,-,46.42,43.93,113.19,87.17,109.85,-,17.80,16.99,15.25,Upgrade
5,PS Ratio,0.84,0.88,1.00,1.28,1.29,0.99,1.51,0.89,0.95,1.16,4.54,6.62,7.46,7.15,6.87,6.39,7.61,5.67,2.66,2.26,1.91,Upgrade
6,PB Ratio,0.39,0.39,0.43,0.51,0.66,0.46,0.47,0.38,0.36,0.40,2.15,2.34,2.57,2.87,2.57,2.46,2.52,2.08,2.34,2.17,2.18,Upgrade
7,P/TBV Ratio,0.41,0.41,0.45,0.54,0.70,0.49,0.50,0.41,0.38,0.43,2.28,2.48,2.73,3.04,2.91,2.77,2.83,2.34,2.37,2.20,2.21,Upgrade
8,P/FCF Ratio,2.23,-,1.99,-,2.90,-,-,1.05,1.78,5.86,-15.99,-,-,-,-,-,-,-,-,-,-,Upgrade
