,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,3043,4075,3760,3799,3997,4391,8198,5057,4882,4207
1,Trading Asset Securities,1997,2000,2000,1044,2012,527.04,690.17,591.16,199.9,440.21
2,Cash & Short-Term Investments,5040,6075,5760,4843,6008,4918,8888,5648,5082,4647
3,Cash Growth,-12.50%,25.44%,-4.14%,-1.52%,-32.40%,-12.93%,74.89%,21.53%,10.76%,-3.34%
4,Accounts Receivable,5243,6654,6798,6153,5400,3619,3330,2251,2186,1277
5,Other Receivables,3643,3350,2797,3885,2598,1313,996.38,980.67,885.52,389.44
6,Receivables,8886,10004,9595,10039,7998,4932,4326,3232,3278,1666
7,Inventory,33.01,38.52,50.33,46.97,39.17,38.53,23.04,18.85,16.71,12.36
8,Restricted Cash,178.83,167.91,42.99,57.79,51.25,3349,32.32,27.57,26.88,5.38
9,Other Current Assets,-454.74,202.75,340.68,314.76,223.36,173.3,210.98,173.44,114.98,492.38
10,Total Current Assets,13683,16488,15788,15301,14320,13411,13480,9100,8518,6824
11,"Property, Plant & Equipment",700,715.31,672.38,654.26,602.92,580.7,381.2,290.09,285.12,183.93
12,Long-Term Investments,1397,1215,1190,1182,1158,1135,1423,1135,830.46,583.63
13,Goodwill,2798,2887,3315,3315,3315,3123,2540,2182,2133,1371
14,Other Intangible Assets,1006,1170,1268,1372,1475,1351,1169,961.24,1006,384.46
15,Long-Term Deferred Tax Assets,1088,385.18,267.03,258.96,206.09,137.7,79.84,50.3,27.74,9.84
16,Other Long-Term Assets,1228,1190,1170,618.31,604.38,443.12,393.14,256.71,29.61,31.17
17,Total Assets,21900,24051,23670,22702,21682,20181,19467,13975,12830,9388
18,Accounts Payable,2809,2944,4816,2665,1999,1758,1583,1164,1027,499.59
19,Accrued Expenses,921.57,1200,1184,1173,1036,1174,1067,958.18,757.2,495.45
20,Short-Term Debt,250.12,181.39,49.8,93.07,212.17,49.68,43.27,298.84,21.7,68.94
21,Current Portion of Long-Term Debt,-,-,26.29,-,14.14,16.41,12.11,7.84,248.6,2.4
22,Current Portion of Leases,32.26,35.72,39.73,26.89,36.69,47.17,25.82,20.8,22.61,12.19
23,Current Income Taxes Payable,461.07,576.03,435.54,561.43,487.03,547.22,402.07,425.3,345.5,309.6
24,Current Unearned Revenue,1386,1568,1520,1340,1304,1181,1189,804.13,870.04,614.01
25,Other Current Liabilities,2604,2539,231.28,2328,2670,1983,2488,1186,1459,687.98
26,Total Current Liabilities,8464,9044,8303,8188,7759,6757,6811,4865,4752,2690
27,Long-Term Debt,167.44,115.37,71.63,11.75,9.05,12.45,6.04,9.2,84.37,5.4
28,Long-Term Leases,25.25,42.07,52.33,25.3,20.33,30.59,24.65,16.29,21.53,13.34
29,Long-Term Unearned Revenue,80.72,83.63,54.49,19.73,64.82,84.34,117.75,75.27,-,-
30,Long-Term Deferred Tax Liabilities,276.31,313.15,337.04,325.54,370.27,351.06,305.23,225.35,242.48,83.97
31,Other Long-Term Liabilities,9.67,2.89,0.08,6.67,40.61,35.19,53.52,126.28,113.26,88.96
32,Total Liabilities,9023,9601,8818,8577,8264,7270,7318,5318,5214,2882
33,Common Stock,1420,1420,1420,1420,1420,1420,1420,1333,1333,1333
34,Additional Paid-In Capital,5247,5251,5173,5251,5270,5270,5729,3138,3138,3138
35,Retained Earnings,4447,6166,6580,5741,4959,4484,3317,2868,1872,1714
36,Comprehensive Income & Other,-24.22,-24.22,52.4,52.4,15.98,17.39,17.39,15.26,8.66,5.72
37,Total Common Equity,11090,12813,13226,12464,11665,11191,10483,7355,6352,6191
38,Minority Interest,1787,1636,1626,1660,1752,1720,1665,1303,1265,314.84
39,Shareholders' Equity,12877,14449,14852,14125,13418,12911,12149,8657,7616,6506
40,Total Liabilities & Equity,21900,24051,23670,22702,21682,20181,19467,13975,12830,9388
41,Total Debt,475.08,374.54,239.78,157.01,292.38,156.29,111.9,352.96,398.81,102.28
42,Net Cash (Debt),4565,5700,5520,4686,5716,4761,8776,5295,4683,4545
43,Net Cash Growth,-17.30%,21.65%,-3.43%,-1.59%,-34.87%,-10.08%,87.40%,16.50%,4.90%,-4.66%
44,Net Cash Per Share,3.21,4.01,3.89,3.30,4.03,3.35,6.52,3.97,3.51,3.41
45,Filing Date Shares Outstanding,1420,1420,1420,1420,1420,1420,1420,1333,1333,1333
46,Total Common Shares Outstanding,1420,1420,1420,1420,1420,1420,1420,1333,1333,1333
47,Working Capital,5219,7444,7486,7113,6562,6654,6669,4235,3766,4133
48,Book Value Per Share,7.81,9.02,9.31,8.78,8.22,7.88,7.38,5.52,4.76,4.64
49,Tangible Book Value,7285,8756,8643,7777,6875,6717,6774,4212,3213,4435
50,Tangible Book Value Per Share,5.13,6.17,6.09,5.48,4.84,4.73,4.77,3.16,2.41,3.33
51,Buildings,176.05,135.72,162.89,165.58,163.93,163.89,155.46,151.71,149.17,124.87
52,Machinery,817.27,805.47,682.4,654.42,558.95,467.66,282.28,204.36,183,107.91
