,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 6, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,33,54,59,69,178,223,237,294,124,320,320,Upgrade
1,Market Cap Growth,-21.03%,-21.03%,-66.67%,-69.15%,-25.00%,-24.08%,90.71%,-8.11%,-61.08%,1.09%,-0.54%,Upgrade
2,Enterprise Value,22,40,41,44,149,187,240,295,123,315,310,Upgrade
3,Last Close Price,0.14,0.23,0.25,0.29,0.75,0.94,1.00,1.36,0.58,1.48,1.48,Upgrade
4,PS Ratio,936.81,936.81,823.86,495.03,2224.42,185.71,140.56,-1514.23,-181.10,-301.87,-310.97,Upgrade
5,PB Ratio,3.39,5.54,4.60,3.93,8.00,8.16,7.32,-45.52,-38.60,310.37,62.00,Upgrade
6,P/TBV Ratio,5.54,5.54,4.60,3.93,8.00,8.16,7.32,-,-,310.37,62.00,Upgrade
7,P/FCF Ratio,-,-,-,-5.93,-,-,-,-,-,-,-,Upgrade
8,P/OCF Ratio,-,-,-,-6.49,-,-,-,-,-,-,-,Upgrade
9,EV/Sales Ratio,691.52,691.52,575.78,319.76,1857.19,-,142.43,-1522.49,-,-,-,Upgrade
10,EV/FCF Ratio,-,-,-,-3.83,-,-,-,-,-,-,-,Upgrade
11,Debt / Equity Ratio,0.41,0.41,0.31,0.23,0.18,0.15,0.12,-0.62,-1.10,0.35,0.13,Upgrade
12,Debt / FCF Ratio,-,-,-,-0.35,-,-,-,-,-,-,-,Upgrade
13,Earnings Yield,-23.17%,-14.17%,-15.78%,-14.26%,-5.72%,-3.55%,-2.54%,-2.55%,-6.73%,-2.95%,-3.20%,Upgrade
14,FCF Yield,-21.68%,-21.68%,-5.98%,-16.86%,-10.44%,-4.06%,-1.37%,-1.19%,-4.57%,-2.13%,-2.58%,Upgrade
15,Buyback Yield / Dilution,-,-,-,-6.86%,-37.31%,-28.50%,-,-,-,-,Upgrade,
16,Total Shareholder Return,-,-,-,-6.86%,-37.31%,-28.50%,-,-,-,-,Upgrade,
