,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,1290,1386,1201,1711,1425,1423,957.2,1604,1418,1490,1245,2144,1479,1550,1242
1,Other Revenue,-41.76,41.76,-,62.35,-18.72,18.72,-,55.31,-16.97,16.97,-,64.86,-16.16,16.16,-
2,Revenue,1249,1428,1201,1773,1406,1442,957.2,1659,1401,1507,1245,2209,1463,1567,1242
3,Revenue Growth (YoY),-11.19%,-0.99%,25.50%,6.86%,0.33%,-4.32%,-23.10%,-24.90%,-4.20%,-3.79%,0.20%,-,-,-,-
4,Cost of Revenue,624.89,684.01,598.82,902.55,689.19,689.4,494.05,889.99,740.12,798.86,684.5,1210,827.16,847.7,683.56
5,Gross Profit,623.82,743.87,602.43,870.51,716.9,752.79,463.15,769.22,661.31,708.4,560.27,999.36,635.64,718.91,558.76
6,"Selling, General & Admin",408.84,424.13,400.03,488.38,500.26,407.03,313.75,480.49,492.62,429.74,365.77,615.86,487.5,807.46,-
7,Research & Development,53.68,51.87,45.87,51.04,60.66,39.97,34.09,50.67,36.77,38.3,32.55,43.85,49.17,62.06,-
8,Other Operating Expenses,-7.01,13.24,3.65,27.63,4.22,11.1,4.85,37.32,-5.28,7.94,7.02,22.21,7.11,-369.57,387.05
9,Operating Expenses,455.23,489.68,449.28,566.89,563.43,459.05,349.99,569.31,524.75,480.18,406.36,681.56,543.1,503.8,387.05
10,Operating Income,168.59,254.19,153.15,303.62,153.47,293.74,113.16,199.91,136.55,228.22,153.91,317.81,92.54,215.11,171.71
11,Interest Expense,-3.16,-6.71,-5.27,-2.38,-3.98,-1.26,-1.17,-1.9,-2.15,-2.5,-2.73,-,-12.32,-5.16,-
12,Interest & Investment Income,7.7,24.94,21.26,18.77,25.3,17.47,11.7,31.75,13.3,11.73,2.05,24.57,7.48,14.36,-
13,Currency Exchange Gain (Loss),3.24,-3.24,-,0.83,-0.49,0.49,-,-5.34,6.81,-6.81,-,-6.55,3.29,-3.29,-
14,Other Non Operating Income (Expenses),-3.21,2.28,-3.21,-3.55,0.08,0.95,0.54,8.05,-11.23,-2.91,-2.16,-9.31,3.72,-2.45,-1.07
15,EBT Excluding Unusual Items,173.17,271.46,165.93,317.28,174.38,311.39,124.23,232.47,143.29,227.74,151.07,326.51,94.71,218.57,170.64
16,Gain (Loss) on Sale of Investments,16.37,-0.48,3.04,0.39,-,0.74,-0.74,0.74,-,-,-,-,-0.97,0.97,-
17,Gain (Loss) on Sale of Assets,-3.64,-6.21,0.35,2.98,1.27,2.24,0.68,33.76,-0.29,-3.75,-0.42,-3.77,0.43,-1.18,-
18,Asset Writedown,-1.01,-1.18,-0.12,-7.15,-0.11,-0.98,0.83,-2.05,1.46,0.69,-1.21,-1.5,1.11,-,-
19,Other Unusual Items,-10.96,11.83,0.21,31.87,-,-,-,35.91,-,-,-,10.28,-,-,-
20,Pretax Income,173.92,275.43,169.41,345.37,175.54,313.39,125.01,300.83,144.46,224.68,149.44,333.53,95.28,218.36,170.64
21,Income Tax Expense,24.78,43.5,28.16,61.46,12.92,58.92,23.74,19.26,26.13,40.26,25.34,60.1,8.68,28.44,34.16
22,Net Income,149.14,231.93,141.25,283.91,162.62,254.47,101.27,281.57,118.33,184.41,124.1,273.44,86.6,189.92,136.48
23,Net Income to Common,149.14,231.93,141.25,283.91,162.62,254.47,101.27,281.57,118.33,184.41,124.1,273.44,86.6,189.92,136.48
24,Net Income Growth,-8.29%,-8.86%,39.48%,0.83%,37.43%,37.99%,-18.40%,2.97%,36.63%,-2.90%,-9.07%,-,-,-,-
25,Shares Outstanding (Basic),397,397,392,400,396,395,405,447,356,355,365,360,360,359,-
26,Shares Outstanding (Diluted),397,397,392,400,396,395,405,447,356,355,365,360,360,359,-
27,Shares Change (YoY),0.29%,0.62%,-3.14%,-10.51%,11.26%,11.26%,10.98%,24.21%,-1.10%,-1.03%,-,-,-,-,-
28,EPS (Basic),0.38,0.58,0.36,0.71,0.41,0.64,0.25,0.63,0.33,0.52,0.34,0.76,0.24,0.53,-
29,EPS (Diluted),0.38,0.58,0.36,0.71,0.41,0.64,0.25,0.63,0.33,0.52,0.34,0.76,0.24,0.53,-
30,EPS Growth,-8.55%,-9.42%,44.00%,12.68%,23.53%,24.02%,-26.47%,-17.10%,38.15%,-1.89%,-,-,-,-,-
31,Free Cash Flow,116.25,109.95,-144.63,539.84,82.52,657.46,259.2,374.07,-42.17,197.29,-503.48,360.78,50.17,-,-
32,Free Cash Flow Per Share,0.29,0.28,-0.37,1.35,0.21,1.66,0.64,0.84,-0.12,0.56,-1.38,1.00,0.14,-,-
33,Dividend Per Share,-,0.750,-,1.000,-,-,-,1.000,-,1.000,-,-,-,-,-
34,Gross Margin,49.96%,52.10%,50.15%,49.10%,50.99%,52.20%,48.39%,46.36%,47.19%,47.00%,45.01%,45.23%,43.45%,45.89%,44.98%
35,Operating Margin,13.50%,17.80%,12.75%,17.12%,10.91%,20.37%,11.82%,12.05%,9.74%,15.14%,12.36%,14.38%,6.33%,13.73%,13.82%
36,Profit Margin,11.94%,16.24%,11.76%,16.01%,11.57%,17.64%,10.58%,16.97%,8.44%,12.24%,9.97%,12.38%,5.92%,12.12%,10.99%
37,Free Cash Flow Margin,9.31%,7.70%,-12.04%,30.45%,5.87%,45.59%,27.08%,22.54%,-3.01%,13.09%,-40.45%,16.33%,3.43%,-,-
38,EBITDA,214.28,305.66,198.84,349.31,197.17,341.31,156.86,243.61,168.52,269.89,185.88,349.78,111.98,243.5,191.16
39,EBITDA Margin,17.16%,21.41%,16.55%,19.70%,14.02%,23.67%,16.39%,14.68%,12.03%,17.91%,14.93%,15.83%,7.66%,15.54%,15.39%
40,D&A For EBITDA,45.69,51.47,45.69,45.69,43.7,47.57,43.7,43.7,31.97,41.67,31.97,31.97,19.45,28.39,19.45
41,EBIT,168.59,254.19,153.15,303.62,153.47,293.74,113.16,199.91,136.55,228.22,153.91,317.81,92.54,215.11,171.71
42,EBIT Margin,13.50%,17.80%,12.75%,17.12%,10.91%,20.37%,11.82%,12.05%,9.74%,15.14%,12.36%,14.38%,6.33%,13.73%,13.82%
43,Effective Tax Rate,14.25%,15.79%,16.62%,17.79%,7.36%,18.80%,18.99%,6.40%,18.09%,17.92%,16.96%,18.02%,9.11%,13.02%,20.02%
44,Revenue as Reported,1249,1428,1201,1773,1406,1442,957.2,1659,1401,1507,1245,2209,1463,2809,-
