,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,13150,12944,11319,12716,12200,14396,13584,14988,13248,13944,19624,-,-,-,-,-
1,Market Cap Growth,-10.09%,-10.09%,-16.67%,-15.16%,-7.91%,3.24%,-30.78%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,10683,10011,8291,9159,8643,11494,10956,13077,11337,11578,18440,-,-,-,-,-
3,Last Close Price,33.40,32.83,28.05,30.02,28.80,33.99,32.07,34.31,30.33,31.92,43.80,-,-,-,-,-
4,PE Ratio,16.44,16.05,13.81,15.10,15.21,18.00,17.98,21.86,18.70,19.91,29.35,-,-,-,-,-
5,Forward PE,16.11,15.20,13.00,14.16,13.97,16.92,16.54,17.15,16.28,15.91,23.39,-,-,-,-,-
6,PS Ratio,2.35,2.29,1.95,2.18,2.19,2.63,2.49,2.71,2.28,2.19,3.05,-,-,-,-,-
7,PB Ratio,3.02,2.98,2.46,2.71,2.63,3.21,3.15,3.36,3.04,3.42,4.50,-,-,-,-,-
8,P/TBV Ratio,3.20,3.20,2.64,2.90,2.82,3.46,3.41,3.64,3.30,3.73,4.89,-,-,-,-,-
9,P/FCF Ratio,21.16,20.83,19.26,-,7.93,10.48,10.88,19.01,515.42,-,187.34,-,-,-,-,-
10,P/OCF Ratio,12.25,12.25,10.81,-,6.31,7.83,7.78,11.49,20.46,20.12,23.35,-,-,-,-,-
11,EV/Sales Ratio,1.89,1.77,1.43,1.57,1.55,2.10,2.01,2.37,1.95,1.82,2.87,-,-,-,-,-
12,EV/EBITDA Ratio,9.67,9.37,7.89,8.43,8.27,12.24,12.04,15.59,13.06,11.89,20.10,-,-,-,-,-
13,EV/EBIT Ratio,12.15,11.38,9.59,10.13,10.00,15.12,14.74,19.29,15.78,13.84,23.27,-,-,-,-,-
14,EV/FCF Ratio,17.19,16.11,14.11,-,5.62,8.37,8.77,16.59,441.06,-,176.03,-,-,-,-,-
15,Debt / Equity Ratio,0.29,0.29,0.17,0.14,0.11,0.06,0.02,0.02,0.02,0.05,0.05,0.09,0.09,-,-,-
16,Debt / EBITDA Ratio,1.14,1.47,0.63,0.84,0.33,0.32,0.05,0.15,0.08,0.29,0.16,0.32,0.14,-,-,-
17,Debt / FCF Ratio,2.03,2.03,1.37,-,0.33,0.18,0.05,0.12,3.96,-,1.96,-,0.58,-,-,-
18,Asset Turnover,0.70,0.81,0.68,0.99,0.84,0.94,0.65,1.17,0.99,-,-,-,-,-,-,
19,Inventory Turnover,9.95,10.74,12.29,10.13,12.95,10.16,13.13,9.59,13.16,10.09,-,-,-,-,-,-
20,Quick Ratio,1.33,1.33,1.67,1.69,1.57,1.54,1.75,2.01,2.06,1.97,2.26,-,0.87,-,-,-
21,Current Ratio,1.58,1.58,1.85,1.92,1.85,1.75,2.02,2.33,2.40,2.40,2.60,-,1.17,-,-,-
22,Return on Equity (ROE),13.34%,19.96%,12.10%,24.90%,14.78%,23.20%,9.19%,26.69%,11.22%,21.31%,19.34%,-,-,-,-,
23,Return on Assets (ROA),5.88%,9.03%,5.38%,10.62%,5.76%,12.03%,4.77%,8.84%,6.06%,-,-,-,-,-,-,
24,Return on Capital (ROIC),7.65%,11.80%,7.28%,15.36%,8.42%,16.43%,6.28%,11.44%,7.72%,15.49%,13.71%,-,-,-,-,
25,Return on Capital Employed (ROCE),19.67%,19.67%,18.34%,18.66%,18.07%,16.55%,16.76%,14.77%,15.91%,19.51%,17.44%,-,28.71%,-,-,-
26,Earnings Yield,6.13%,6.23%,7.24%,6.62%,6.58%,5.56%,5.56%,4.57%,5.35%,5.02%,3.41%,-,-,-,-,-
27,FCF Yield,4.73%,4.80%,5.19%,8.93%,12.61%,9.54%,9.19%,5.26%,0.19%,0.09%,0.53%,-,-,-,-,-
28,Dividend Yield,4.46%,-,6.24%,-,3.47%,-,-,-,6.59%,-,2.28%,-,-,-,-,-
29,Payout Ratio,71.65%,113.62%,173.28%,1.16%,1.66%,-,157.19%,-,5.68%,324.55%,-,-,-,-,-,-
30,Buyback Yield / Dilution,3.42%,-0.29%,-0.62%,3.14%,10.51%,-11.26%,-11.26%,-10.98%,-24.21%,1.10%,1.03%,-,-,-,-,-
31,Total Shareholder Return,7.87%,-0.29%,5.61%,3.14%,13.99%,-11.26%,-11.26%,-10.98%,-17.62%,1.10%,3.31%,-,-,-,-,-
