,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,1511,1762,3588,2876,3808,2970,2722,1771,2110,2572,-,1423,-,-,-
1,Short-Term Investments,-,512.59,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,2218,1462,112.66,800.39,-,-,-,700.74,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,3730,3737,3701,3677,3808,2970,2722,2472,2110,2572,1423,1423,-,-,1274
4,Cash Growth,-2.05%,25.80%,35.95%,48.75%,80.45%,15.49%,91.23%,73.65%,-,-,11.75%,-,-,-,-
5,Accounts Receivable,47.48,41.29,36.46,42.1,32.5,42.78,89.87,192.1,165.59,182.78,-,58.54,-,-,-
6,Other Receivables,49.75,18.32,58.56,9.45,84.22,42.75,93.37,58.68,63.85,60.53,-,17.68,-,-,-
7,Receivables,97.23,74.4,95.02,51.55,116.72,85.52,183.25,250.78,229.44,243.31,-,76.22,-,-,-
8,Inventory,250.33,214.98,230.21,242.71,314.69,228.09,192.03,220.21,320.99,266.09,-,298.87,-,-,-
9,Prepaid Expenses,-,5.04,-,-,-,-,-,-,-,-,-,-,-,-,-
10,Other Current Assets,468.92,174.47,286.13,410.13,220.45,247.38,265.22,224,195.45,162.92,-,215.71,-,-,-
11,Total Current Assets,4546,4206,4312,4381,4460,3531,3363,3167,2856,3244,-,2014,-,-,-
12,"Property, Plant & Equipment",2355,2342,2329,2305,2217,2087,2095,2074,2064,1982,-,1952,-,-,-
13,Long-Term Investments,2.58,2.87,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,300.38,306.88,312.78,318.93,325.19,328.82,336.25,344.57,339.02,343.85,-,300.45,-,-,-
15,Long-Term Deferred Tax Assets,67.08,57.48,72.46,74.32,72.17,65.44,75.33,102.21,57.27,54.22,-,81.75,-,-,-
16,Long-Term Deferred Charges,32.61,25.8,27.52,36.03,35.67,32.68,32.63,36.68,54.67,58.4,-,60.56,-,-,-
17,Other Long-Term Assets,40.15,42.04,31.69,36.25,29.68,133.85,129.02,112.18,103.71,110.82,-,88.84,-,-,-
18,Total Assets,7344,6982,7085,7152,7140,6179,6031,5836,5475,5793,-,4498,-,-,-
19,Accounts Payable,862.64,844.02,936.43,1065,1608,975.66,761.52,603.61,406.39,429.5,-,390.57,-,-,-
20,Accrued Expenses,97.01,163,95.99,294.83,145.32,242.03,78.67,212.54,90.55,229.8,-,363.82,-,-,-
21,Short-Term Debt,1214,756.08,593,441.91,193,-,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,16.08,17.19,26.46,23.37,24.81,28.54,37.69,39.08,54.07,78.33,-,90.55,-,-,-
23,Current Income Taxes Payable,108.36,28.49,89.63,55.04,88.86,43.01,69.1,46.32,84.26,17.92,-,70.68,-,-,-
24,Current Unearned Revenue,167.79,172.56,153.9,188.84,164.05,192.6,167.01,117.46,169.43,186.18,-,251.96,-,-,-
25,Other Current Liabilities,407.31,288.59,345.21,301.37,321.04,262.28,328.76,300.13,383.06,306.29,-,554.55,-,-,-
26,Total Current Liabilities,2873,2270,2241,2370,2545,1744,1443,1319,1188,1248,-,1722,-,-,-
27,Long-Term Leases,32.73,30.43,52.4,46.6,32.84,39.29,55.76,62.74,144.71,127.21,-,148.83,-,-,-
28,Long-Term Unearned Revenue,57.76,59.21,58.15,62.14,63.58,60.61,57.39,55.31,48.41,45.07,-,46.13,-,-,-
29,Long-Term Deferred Tax Liabilities,13.01,10.37,17.74,16.75,2.55,2.63,2.68,24.17,-,-,-,-,-,-,-
30,Other Long-Term Liabilities,17.06,16.97,16.78,16.69,14.46,14.17,14.01,14.45,16.16,16.12,-,15.05,-,-,-
31,Total Liabilities,2994,2387,2386,2512,2659,1861,1573,1476,1397,1436,-,1932,-,-,-
32,Common Stock,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,-,360,-,-,-
33,Additional Paid-In Capital,2784,2767,2841,2841,2841,2841,2841,2841,2841,2841,-,1404,-,-,-
34,Retained Earnings,1341,1487,1654,1513,1229,1067,1210,1111,825.04,1107,-,799.78,-,-,-
35,Treasury Stock,-184.21,-69.98,-205.51,-123.56,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,8.63,10.83,9.19,8.41,10.55,10.21,6.98,8.2,11.26,8.63,-,2.06,-,-,-
37,Shareholders' Equity,4350,4595,4699,4639,4481,4318,4458,4360,4078,4357,2566,2566,-,-,1880
38,Total Liabilities & Equity,7344,6982,7085,7152,7140,6179,6031,5836,5475,5793,-,4498,-,-,-
39,Total Debt,1263,803.7,671.85,511.88,250.64,67.83,93.45,101.82,198.77,205.55,239.38,239.38,-,-,-
40,Net Cash (Debt),2467,2933,3029,3165,3557,2903,2629,2370,1911,2367,1184,1184,-,-,1274
41,Net Cash Growth,-30.65%,1.05%,15.22%,33.54%,86.10%,22.65%,122.00%,100.15%,-,-,-7.05%,-,-,-,-
42,Net Cash Per Share,6.21,7.38,7.72,7.91,8.98,7.35,6.49,5.30,5.37,6.67,3.24,3.29,-,-,-
43,Filing Date Shares Outstanding,393.7,394.26,393.44,393.44,400.01,400.01,400.01,400.01,400.01,400.01,360,360,360.04,358.68,-
44,Total Common Shares Outstanding,393.7,397.71,393.44,396.24,400.01,400.01,400.01,400.01,400.01,400.01,360,360,360.04,358.68,-
45,Working Capital,1673,1936,2071,2011,1915,1787,1920,1848,1668,1996,-,292.13,-,-,-
46,Book Value Per Share,11.05,11.55,11.94,11.71,11.20,10.80,11.15,10.90,10.19,10.89,7.13,7.13,-,-,5.22
47,Tangible Book Value,4049,4289,4387,4320,4156,3989,4122,4016,3739,4013,2266,2266,-,-,1573
48,Tangible Book Value Per Share,10.29,10.78,11.15,10.90,10.39,9.97,10.31,10.04,9.35,10.03,6.29,6.29,-,-,4.37
49,Buildings,-,1857,-,1852,-,1536,-,1536,-,1298,-,1237,-,-,-
50,Machinery,-,789.07,-,722.83,-,646.49,-,604.72,-,571.89,-,547.64,-,-,-
51,Construction In Progress,-,256.1,-,193.97,-,295.46,-,212.52,-,235.21,-,193.15,-,-,-
