,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,8638,8640,8110,9188,13176,14880,13920,10494,6808,10753,Upgrade
1,Revenue Growth (YoY),6.51%,-5.96%,-38.45%,-38.25%,-5.34%,41.80%,104.48%,-2.41%,-10.79%,-1.90%,Upgrade
2,Cost of Revenue,6934,7261,6812,8101,9173,9807,9197,7418,5177,8188,Upgrade
3,Gross Profit,1704,1379,1298,1086,4003,5073,4723,3076,1631,2565,Upgrade
4,"Selling, General & Admin",587.93,607.19,610.81,522.24,935.13,722.72,731.04,602.79,503.25,631.81,Upgrade
5,Operating Expenses,588.67,607.46,611.08,708.74,935.13,722.72,731.04,602.79,503.25,631.81,Upgrade
6,Operating Income,1116,771.81,686.77,377.59,3068,4350,3992,2473,1128,1933,Upgrade
7,Interest Expense,-153.84,-142.01,-131.69,-86.09,-44.3,-50.88,-29.79,-37.15,-39.49,-62.66,Upgrade
8,Interest & Investment Income,13.97,18.01,17.64,18.05,13.15,12.81,9.58,22.06,12.36,15.1,Upgrade
9,Other Non Operating Income (Expenses),32.27,21.34,44.08,50.52,33.03,34.61,48.66,83.22,-1.71,11.45,Upgrade
10,EBT Excluding Unusual Items,1008,669.15,616.8,360.07,3070,4347,4020,2541,1099,1897,Upgrade
11,Gain (Loss) on Sale of Investments,-53.42,-0.54,-56.97,224.46,-249.24,-56.3,97.04,49.39,-57.44,82,Upgrade
12,Gain (Loss) on Sale of Assets,2.67,-8.1,7.46,-0.83,-0.99,-14.64,-6.11,29.9,0.18,-1.97,Upgrade
13,Asset Writedown,-,-34.87,-,-45.57,-,-,-,-0.74,-,5.6,Upgrade
14,Other Unusual Items,-,-,-,-,-,-,-,1.12,-,-,Upgrade
15,Pretax Income,957.47,625.64,567.29,538.13,2820,4276,4111,2621,1042,1983,Upgrade
16,Income Tax Expense,228.13,139.57,144.71,454.82,993.56,849.48,753.96,547.04,307.65,660.29,Upgrade
17,Earnings From Continuing Operations,729.34,486.07,422.58,83.31,1826,3426,3357,2074,734.1,1322,Upgrade
18,Minority Interest in Earnings,-1.54,-0.91,-0.33,-0.02,-0.19,-0.97,-0.85,-3.81,-1.29,-2.09,Upgrade
19,Net Income,727.8,485.16,422.24,83.29,1826,3425,3357,2070,732.81,1320,Upgrade
20,Net Income to Common,727.8,485.16,422.24,83.29,1826,3425,3357,2070,732.81,1320,Upgrade
21,Net Income Growth,72.36%,482.52%,-76.87%,-97.57%,-45.60%,65.46%,358.03%,56.80%,-32.28%,-10.30%,Upgrade
22,Shares Outstanding (Basic),3120,3120,3120,3120,3120,3120,3120,3105,3081,3081,Upgrade
23,Shares Outstanding (Diluted),3120,3120,3120,3120,3120,3120,3120,3105,3081,3081,Upgrade
24,Shares Change (YoY),-,-,-0.00%,-,0.00%,0.49%,1.27%,0.77%,-,-,Upgrade
25,EPS (Basic),0.23,0.16,0.14,0.03,0.59,1.10,1.08,0.67,0.24,0.43,Upgrade
26,EPS (Diluted),0.23,0.16,0.14,0.03,0.58,1.10,1.08,0.67,0.24,0.43,Upgrade
27,EPS Growth,72.59%,482.52%,-76.92%,-97.57%,-45.62%,64.71%,352.31%,55.55%,-32.28%,-10.30%,Upgrade
28,Free Cash Flow,302.74,720.33,-497.39,1407,2477,2123,2271,416.7,1167,464.57,Upgrade
29,Free Cash Flow Per Share,0.10,0.23,-0.16,0.45,0.79,0.68,0.73,0.13,0.38,0.15,Upgrade
30,Dividend Per Share,0.120,0.100,0.060,0.200,0.150,1.200,0.300,0.350,0.100,0.300,Upgrade
31,Dividend Growth,100.00%,-50.00%,-60.00%,-83.33%,-50.00%,242.86%,200.00%,16.67%,0%,-14.29%,Upgrade
32,Operating Margin,12.92%,8.93%,8.47%,4.11%,23.28%,29.23%,28.68%,23.57%,16.57%,17.98%,Upgrade
33,Profit Margin,8.43%,5.62%,5.21%,0.91%,13.86%,23.02%,24.11%,19.73%,10.76%,12.28%,Upgrade
34,Free Cash Flow Margin,3.50%,8.34%,-6.13%,15.32%,18.80%,14.27%,16.31%,3.97%,17.14%,4.32%,Upgrade
35,EBITDA,1566,1202,1143,773.38,3454,4739,4321,2782,1400,2250,Upgrade
36,D&A For EBITDA,450.06,429.87,456.2,395.79,385.7,388.71,329.2,308.75,272.2,317.19,Upgrade
37,EBIT,1116,771.81,686.77,377.59,3068,4350,3992,2473,1128,1933,Upgrade
