,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,14,637,81,89,75,65,78,76,64,76,96
1,Market Cap Growth,619.56%,619.56%,8.82%,35.83%,-4.93%,-14.03%,23.05%,-0.83%,-33.33%,-83.14%,-82.66%
2,Enterprise Value,40,683,107,140,101,127,136,190,153,244,355
3,Last Close Price,0.07,3.78,0.77,0.89,0.76,0.93,1.15,1.19,1.90,2.28,2.85
4,PS Ratio,0.11,8.89,0.90,0.96,0.91,0.51,0.39,0.33,0.29,0.27,0.20
5,PB Ratio,-3.46,-3.46,-0.39,-0.43,-0.35,-0.36,-0.46,-0.49,-0.36,-0.52,-1.04
6,P/FCF Ratio,-,-,-,14.62,-,5.48,-8.50,-,-,1.88,1.97
7,P/OCF Ratio,-,-,-,13.43,-,3.88,-38.35,-,-,1.10,1.23
8,EV/Sales Ratio,0.56,9.53,1.18,1.52,1.23,1.00,0.68,0.82,0.70,0.86,0.76
9,EV/EBITDA Ratio,-,-,-,-,-,-,-18.05,-,-,-,-
10,EV/EBIT Ratio,-,-,-,-,-,-,-8.07,-,-,-,-
11,EV/FCF Ratio,-7.50,-,-,23.17,-,10.64,-14.72,-,-,6.00,7.31
12,Debt / Equity Ratio,-0.32,-0.32,-0.24,-0.16,-0.26,-0.17,-0.39,-0.43,-0.67,-0.62,-1.90
13,Debt / FCF Ratio,-,-,-,5.40,-,2.56,-7.15,-,-,2.26,3.59
14,Earnings Yield,-133.75%,-2.98%,-19.49%,-61.03%,-94.46%,-59.22%,-53.14%,-50.95%,-128.68%,-178.98%,-149.20%
15,FCF Yield,-37.59%,-0.84%,12.34%,6.84%,6.10%,18.24%,-11.77%,-22.98%,23.48%,53.24%,50.85%
16,Buyback Yield / Dilution,-9.72%,-8.02%,-11.56%,-41.88%,-37.11%,-23.19%,-94.77%,-78.03%,-16.46%,-23.67%,-13.91%
17,Total Shareholder Return,-9.72%,-8.02%,-11.56%,-41.88%,-37.11%,-23.19%,-94.77%,-78.03%,-16.46%,-23.67%,-13.91%
