,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,555328,543139,487633,739215,568774,565913,479482,549288,495880,521525,505667,570161,442729,313167,320034,305188,534495,353409,301587,303832,Upgrade
1,Revenue Growth (YoY),-2.36%,-4.02%,1.70%,34.58%,14.70%,8.51%,-5.18%,-3.66%,12.01%,66.53%,58.00%,86.82%,-17.17%,-11.39%,6.12%,0.45%,50.88%,21.21%,-11.30%,75.08%,Upgrade
2,"Selling, General & Admin",29799,33083,28649,43984,48126,28495,39138,43705,47234,45470,38138,29879,39556,20251,30846,23682,34096,29425,28306,24197,Upgrade
3,Other Operating Expenses,349564,305804,275644,321119,316171,272928,217827,235603,275198,302639,281034,222962,224259,131961,127687,130033,321303,160752,127698,122914,Upgrade
4,Total Operating Expenses,379363,338886,304293,365103,364297,301422,256965,279308,322432,348109,319172,252841,263816,152212,158532,153715,355398,190178,156003,147111,Upgrade
5,Operating Income,175965,204253,183339,374112,204477,264490,222517,269979,173448,173416,186495,317320,178914,160955,161501,151473,179097,163231,145584,156721,Upgrade
6,Interest Expense,-156555,-224016,-163438,-241716,-230587,-236448,-205924,-178130,-170279,-146607,-134033,-150531,-156891,-83335,-88725,-78603,-94213,-88178,-85422,-90137,Upgrade
7,Interest Income,9307,10192,18414,-,4867,12707,23057,-,11144,4233,7841,7288,14879,6754,6768,4180,6217,7085,4487,5947,Upgrade
8,Net Interest Expense,-147248,-213824,-145025,-241716,-225719,-223742,-182866,-178130,-159135,-142374,-126193,-143243,-142012,-76581,-81958,-74423,-87996,-81093,-80935,-84191,Upgrade
9,Income (Loss) on Equity Investments,12750,-4729,-2099,-554.69,11174,-8408,-2631,5075,11305,-7012,5305,3230,12705,-6383,-,-,-,-,-,-,Upgrade
10,Currency Exchange Gain (Loss),-0.06,-15.92,-,-,3208,44.65,-,-,-1682,-7954,-9001,-24.14,10845,-,-,-,-,-,-,-,Upgrade
11,Other Non-Operating Income (Expenses),1268,-5593,-14914,4801,21274,-14507,-20729,9242,-7149,-2027,-11445,5729,-455.81,-9506,-1083,3415,-1744,-13824,212.92,5431,Upgrade
12,EBT Excluding Unusual Items,42734,-19909,21302,136643,14413,17878,16290,106167,16787,14048,45161,183012,59997,68484,78461,80465,89357,68315,64862,77961,Upgrade
