,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,815.75,636.17,738.55,987.26,1002,888.99,868.8,686.54,514.36
1,Revenue Growth (YoY),10.45%,-35.56%,-26.29%,11.05%,15.33%,29.49%,68.91%,-,-
2,Cost of Revenue,547.07,486.63,501.25,673.43,711.98,645.59,617.69,465.49,366.7
3,Gross Profit,268.68,149.54,237.3,313.83,290.05,243.4,251.11,221.05,147.66
4,"Selling, General & Admin",148.93,206.54,134.3,162.38,141.4,170.09,129.03,163.6,98.69
5,Research & Development,37.43,37.19,33.49,34.33,31.4,22.18,27.97,21.96,16.98
6,Other Operating Expenses,-4.52,-3.15,9.6,7.84,8.04,-10.06,-5.66,-12.87,-1.3
7,Operating Expenses,181.84,240.58,177.39,204.55,180.84,182.21,151.34,172.69,114.37
8,Operating Income,86.84,-91.04,59.91,109.28,109.2,61.19,99.77,48.37,33.29
9,Interest Expense,-5.66,-4.84,-6.3,-15.55,-10.68,-9.31,-8.36,-9.69,-8.31
10,Interest & Investment Income,3.68,3.06,4.78,2.78,1.18,0.59,0.46,0.4,0.24
11,Earnings From Equity Investments,-13.58,-10.12,-8.22,-4.75,-0.75,1.61,2.8,6.57,0.16
12,Currency Exchange Gain (Loss),-0.74,-2.38,7.25,-5.64,-9.9,-8.75,-5.37,-10.91,-0.58
13,EBT Excluding Unusual Items,70.54,-105.32,57.41,86.12,89.07,45.32,89.3,34.73,24.79
14,Gain (Loss) on Sale of Investments,1.32,-1.31,0.4,-1.08,-12.55,19.97,-0.22,-0.4,0.43
15,Gain (Loss) on Sale of Assets,-0.05,-0.08,0.04,-0.11,-0.06,-0.04,21.77,-0.04,-0
16,Pretax Income,71.81,-106.71,57.85,84.93,76.46,65.25,110.85,34.3,25.21
17,Income Tax Expense,10.2,-20.51,8.8,9.13,12.98,6.77,19.61,6.4,4.72
18,Earnings From Continuing Operations,61.62,-86.2,49.05,75.81,63.47,58.48,91.24,27.9,20.49
19,Minority Interest in Earnings,-0.09,-0.06,0.07,0.09,-,-,-5.18,-1.6,-2.43
20,Net Income,61.53,-86.26,49.12,75.9,63.47,58.48,86.06,26.3,18.06
21,Net Income to Common,61.53,-86.26,49.12,75.9,63.47,58.48,86.06,26.3,18.06
22,Net Income Growth,25.26%,-,-22.61%,29.78%,-26.25%,122.39%,376.48%,-,-
23,Shares Outstanding (Basic),511,511,509,490,489,408,402,396,396
24,Shares Outstanding (Diluted),511,511,509,490,489,408,406,396,396
25,Shares Change (YoY),0.43%,4.33%,4.06%,20.07%,20.43%,3.13%,2.66%,-,-
26,EPS (Basic),0.12,-0.17,0.10,0.15,0.13,0.14,0.21,0.07,0.05
27,EPS (Diluted),0.12,-0.17,0.10,0.15,0.13,0.14,0.21,0.06,0.05
28,EPS Growth,24.32%,-,-25.63%,4.63%,-38.19%,138.91%,359.88%,-,-
29,Free Cash Flow,97.04,-129.08,-132.97,112.91,-162.03,24.05,53,51.69,50.48
30,Free Cash Flow Per Share,0.19,-0.25,-0.26,0.23,-0.33,0.06,0.13,0.13,0.13
31,Operating Margin,10.64%,-14.31%,8.11%,11.07%,10.90%,6.88%,11.48%,7.04%,6.47%
32,Profit Margin,7.54%,-13.56%,6.65%,7.69%,6.33%,6.58%,9.91%,3.83%,3.51%
33,Free Cash Flow Margin,11.90%,-20.29%,-18.00%,11.44%,-16.17%,2.71%,6.10%,7.53%,9.81%
34,EBITDA,106.05,-76.71,74.14,122.66,121.68,74.08,110.42,57.68,42.33
35,D&A For EBITDA,19.21,14.34,14.23,13.38,12.47,12.89,10.65,9.31,9.05
36,EBIT,86.84,-91.04,59.91,109.28,109.2,61.19,99.77,48.37,33.29
