,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,387.09,296.34,396.27,466.71,498.88,664.99,238.58,166.94,-
1,Trading Asset Securities,-,-,-,20.02,23.69,38.03,2.79,5.37,-
2,Cash & Short-Term Investments,387.09,296.34,396.27,486.73,522.57,703.02,241.37,172.31,-
3,Cash Growth,-2.32%,-39.12%,-24.17%,-30.77%,116.50%,308.00%,-,-,-
4,Accounts Receivable,453.99,359.01,293,220.22,277.59,298.38,319.09,254.37,-
5,Other Receivables,15.65,21.84,14.25,18.59,18.1,42.81,34.1,53.33,-
6,Receivables,469.64,380.85,307.24,238.81,295.69,341.19,353.19,307.69,-
7,Inventory,571.9,586.2,623.31,661.91,661.39,597.47,385.83,291.87,-
8,Other Current Assets,35.2,51.83,26.47,46.54,47.27,59.16,75.55,39.24,-
9,Total Current Assets,1464,1315,1353,1434,1527,1701,1056,811.12,-
10,"Property, Plant & Equipment",333.69,295.36,294.18,247.59,261.03,215.31,207.7,185.65,-
11,Long-Term Investments,80.22,93.31,101.93,112.77,68.11,72.5,64.21,63.05,-
12,Goodwill,3.08,-,-,-,-,-,-,-,-
13,Other Intangible Assets,2.58,40.06,1.01,31.43,1.31,28.53,1.61,1.75,-
14,Long-Term Deferred Tax Assets,50.9,47.8,36.85,30.88,24.98,26.88,21.48,24.18,-
15,Other Long-Term Assets,5.24,4.64,16.91,5.85,10.92,12.09,5.76,5.72,-
16,Total Assets,1940,1796,1804,1863,1893,2056,1357,1091,-
17,Accounts Payable,296.55,224.95,217.36,294.45,352.71,513.25,350.69,247.53,-
18,Accrued Expenses,35.87,30.2,22.95,37.02,19.62,36.86,20.85,40.04,-
19,Short-Term Debt,159.73,138.82,78.14,133.48,206.93,367.86,348.59,288.23,-
20,Current Portion of Long-Term Debt,80.28,59.36,129.75,59.42,6.77,57.1,47.24,2.23,-
21,Current Portion of Leases,3.8,2.69,6.11,7.58,7.48,6.11,3.36,3.16,-
22,Current Income Taxes Payable,5.04,7.03,5.14,9.71,8.05,8.25,15.07,6.63,-
23,Current Unearned Revenue,-,-,-,-,-,-,0.51,0.64,-
24,Other Current Liabilities,238.16,200.37,220.8,169.19,223.9,192.6,161.53,113.14,-
25,Total Current Liabilities,819.42,663.43,680.24,710.86,825.47,1182,947.84,701.6,-
26,Long-Term Debt,88.94,125.46,47.28,136.59,137.57,8.7,8.72,47.4,-
27,Long-Term Leases,9.72,9.69,9.52,14.46,14.41,17.12,12.87,13.52,-
28,Long-Term Unearned Revenue,4.6,3.56,3.53,3.71,3.9,4.15,4.14,4.15,-
29,Long-Term Deferred Tax Liabilities,15.01,13.14,12.16,12.26,9.3,14.08,11.01,9.03,-
30,Other Long-Term Liabilities,19.89,20.06,21.66,38.06,36.04,32.29,32.22,30.78,-
31,Total Liabilities,957.97,835.76,774.82,916.41,1027,1259,1018,807.44,-
32,Common Stock,601.86,601.86,601.86,502.65,502.65,444.62,58.14,50.28,-
33,Retained Earnings,377.15,335.49,421.75,409.32,333.42,305,246.52,175.46,-
34,Comprehensive Income & Other,2.55,23.37,5.91,34.22,29.79,47.39,34.27,34,-
35,Total Common Equity,981.56,960.73,1030,946.19,865.87,797.02,338.92,259.74,-
36,Minority Interest,-0.01,-0.1,-0.16,-0.09,-,-,-,24.29,-
37,Shareholders' Equity,981.55,960.62,1029,946.1,865.87,797.02,338.92,284.02,-
38,Total Liabilities & Equity,1940,1796,1804,1863,1893,2056,1357,1091,-
39,Total Debt,342.47,336.02,270.8,351.54,373.17,456.89,420.79,354.54,-
40,Net Cash (Debt),44.62,-39.68,125.47,135.2,149.41,246.13,-179.42,-182.23,-
41,Net Cash Growth,-64.44%,-,-16.02%,-45.07%,-,-,-,-,-
42,Net Cash Per Share,0.09,-0.08,0.25,0.28,0.31,0.60,-0.44,-0.46,-
43,Filing Date Shares Outstanding,511.05,511.05,511.05,490.22,490.22,479.43,407.52,479.43,395.54
44,Total Common Shares Outstanding,511.05,511.05,511.05,490.22,490.22,479.43,407.52,390,395.54
45,Working Capital,644.41,651.79,673.05,723.13,701.45,518.81,108.09,109.52,-
46,Book Value Per Share,1.92,1.88,2.01,1.93,1.77,1.66,0.83,0.67,-
47,Tangible Book Value,975.9,920.67,1029,914.76,864.56,768.49,337.32,257.98,-
48,Tangible Book Value Per Share,1.91,1.80,2.01,1.87,1.76,1.60,0.83,0.66,-
49,Machinery,-,362.18,-,264.57,-,262.09,286.04,271.27,-
50,Construction In Progress,-,12.16,-,57.73,-,33.46,27.63,10.85,-
