,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,9373,9301,12189,15843,21104,21619,27759,-,-,-
1,Market Cap Growth,-41.29%,-41.29%,-42.24%,-26.72%,-23.97%,-,-,-,-,-
2,Enterprise Value,9024,9610,11204,14788,19931,19699,29152,-,-,-
3,Last Close Price,18.34,18.20,23.56,30.62,41.83,42.85,55.61,-,-,-
4,PE Ratio,-,-48.17,-,16.17,19.42,22.59,24.63,-,-,-
5,Forward PE,8.31,23.01,10.71,10.32,15.44,16.53,-,-,-,-
6,PS Ratio,0.83,0.82,1.13,1.17,1.36,1.46,2.03,-,-,-
7,PB Ratio,1.22,1.21,1.62,1.96,2.86,3.18,4.47,-,-,-
8,P/TBV Ratio,1.22,1.22,1.69,1.97,2.96,3.19,4.63,-,-,-
9,P/FCF Ratio,-,-37.18,-,-,-55.10,-,46.20,-,-,-
10,P/OCF Ratio,37.20,37.20,-,-,117.35,-,22.50,-,-,-
11,PEG Ratio,0.18,0.18,0.18,0.18,0.18,0.25,-,-,-,-
12,EV/Sales Ratio,0.80,0.85,1.04,1.09,1.28,1.33,2.13,-,-,-
13,EV/EBITDA Ratio,96.57,41.95,-,9.59,10.46,12.82,20.26,-,-,-
14,EV/EBIT Ratio,-,-292.70,-,11.15,11.70,14.73,23.23,-,-,-
15,EV/FCF Ratio,-36.07,-38.42,-,-,-52.04,-,48.52,-,-,-
16,Debt / Equity Ratio,0.35,0.35,0.35,0.26,0.37,0.43,0.57,1.24,1.25,-
17,Debt / FCF Ratio,-,-10.69,-,-,-7.16,-,5.93,4.02,3.47,-
18,Return on Capital Employed (ROCE),-,-0.38%,-,15.05%,18.97%,15.96%,18.41%,36.23%,20.94%,-
19,Earnings Yield,-2.06%,-2.08%,-2.38%,6.18%,5.15%,4.43%,4.06%,-,-,-
20,FCF Yield,-2.67%,-2.69%,-16.79%,-0.99%,-1.81%,-5.01%,2.16%,-,-,-
21,Buyback Yield / Dilution,-2.34%,-0.43%,-4.33%,-4.06%,-20.07%,-20.43%,-3.13%,-2.66%,-,-
22,Total Shareholder Return,-0.86%,-0.43%,-4.33%,-4.06%,-20.07%,-20.43%,-3.13%,-2.66%,-,-
