,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,1881.0,1881.0,-,-
1,Short-Term Investments,32.87,32.87,-,-
2,Trading Asset Securities,211.14,211.14,-,-
3,Cash & Short-Term Investments,2125.0,2125.0,-,773.15
4,Accounts Receivable,48.56,48.56,-,-
5,Other Receivables,87.58,87.58,-,-
6,Receivables,136.15,136.15,-,-
7,Inventory,434.34,434.34,-,-
8,Restricted Cash,67.89,67.89,-,-
9,Other Current Assets,353.57,353.57,-,-
10,Total Current Assets,3117.0,3117.0,-,-
11,"Property, Plant & Equipment",594.63,594.63,-,-
12,Long-Term Investments,416.07,416.07,-,-
13,Goodwill,138.01,138.01,-,-
14,Other Intangible Assets,54.34,54.34,-,-
15,Long-Term Deferred Tax Assets,51.72,51.72,-,-
16,Other Long-Term Assets,18.36,18.36,-,-
17,Total Assets,4390.0,4390.0,-,-
18,Accounts Payable,314.82,314.82,-,-
19,Accrued Expenses,109.39,109.39,-,-
20,Current Portion of Long-Term Debt,34.06,34.06,-,-
21,Current Portion of Leases,17.45,17.45,-,-
22,Current Income Taxes Payable,0.57,0.57,-,-
23,Current Unearned Revenue,86.72,86.72,-,-
24,Other Current Liabilities,495.87,495.87,-,-
25,Total Current Liabilities,1059.0,1059.0,-,-
26,Long-Term Debt,35.11,35.11,-,-
27,Long-Term Leases,10.07,10.07,-,-
28,Long-Term Unearned Revenue,17.32,17.32,-,-
29,Long-Term Deferred Tax Liabilities,30.01,30.01,-,-
30,Total Liabilities,1151.0,1151.0,-,-
31,Common Stock,2747.0,2747.0,-,-
32,Retained Earnings,-2.8,-2.8,-,-
33,Comprehensive Income & Other,384.56,384.56,-,-
34,Total Common Equity,3129.0,3129.0,-,2594
35,Minority Interest,109.29,109.29,-,-
36,Shareholders' Equity,3238.0,3238.0,-,2690
37,Total Liabilities & Equity,4390.0,4390.0,-,-
38,Total Debt,96.7,96.7,-,134.78
39,Net Cash (Debt),2028.0,2028.0,-,638.36
40,Net Cash Per Share,0.74,0.74,-,0.24
41,Filing Date Shares Outstanding,2747.0,2747.0,2670,2670
42,Total Common Shares Outstanding,2747.0,2747.0,2670,2670
43,Working Capital,2058.0,2058.0,-,-
44,Book Value Per Share,1.14,1.14,-,0.97
45,Tangible Book Value,2937.0,2937.0,-,2395
46,Tangible Book Value Per Share,1.07,1.07,-,0.90
