,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,4973,11264,15110,-,-
1,Enterprise Value,2912,9691,13566,-,-
2,Last Close Price,1.85,4.04,5.42,-,-
3,PE Ratio,21.49,54.13,92.52,-,-
4,PS Ratio,0.78,1.93,3.41,-,-
5,PB Ratio,1.51,3.24,4.31,-,-
6,P/TBV Ratio,3.57,3.57,4.75,-,-
7,P/FCF Ratio,9.89,32.70,53.68,-,-
8,P/OCF Ratio,17.96,24.11,39.86,-,-
9,EV/Sales Ratio,0.45,1.66,3.06,-,-
10,EV/EBITDA Ratio,6.68,28.65,53.74,-,-
11,EV/EBIT Ratio,8.36,33.98,63.53,-,-
12,EV/FCF Ratio,5.79,28.13,48.20,-,-
13,Debt / Equity Ratio,0.03,0.03,0.03,-,0.05
14,Debt / EBITDA Ratio,0.24,0.27,0.27,-,0.40
15,Debt / FCF Ratio,0.21,0.30,0.37,-,1.36
16,Asset Turnover,1.21,-,-,-,
17,Inventory Turnover,-,9.47,-,-,-
18,Quick Ratio,2.14,2.14,2.14,-,-
19,Current Ratio,2.94,2.94,2.94,-,-
20,Return on Equity (ROE),5.28%,-,-,-,
21,Return on Assets (ROA),3.89%,-,-,-,
22,Return on Capital (ROIC),5.12%,-,-,-,
23,Return on Capital Employed (ROCE),9.72%,7.97%,5.92%,-,-
24,Earnings Yield,4.71%,1.85%,1.08%,-,-
25,FCF Yield,10.12%,3.06%,1.86%,-,-
