,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,7129060,7112126,7543965,7833816,9139488,7121494,6987774,6500728,6232908,6425698,6933825,8553482,12798465,7023262,5488525,3788364,4494205,2939145,2211225,1816866,1583780,Upgrade
1,Market Cap Growth,-0.13%,-0.13%,7.96%,20.51%,46.63%,10.83%,0.78%,-24.00%,-51.30%,-8.51%,26.33%,125.78%,184.78%,138.96%,148.21%,108.51%,183.76%,96.57%,48.19%,29.64%,11.12%,Upgrade
2,Enterprise Value,9527636,9176775,9672552,9994573,11226506,7826527,7661265,6989929,6288756,6400312,6982940,8544564,13211286,7321257,5845407,3992698,4882880,3376187,2789511,2473544,2063722,Upgrade
3,Last Close Price,42100.00,42000.00,44550.00,45799.07,50887.85,41635.51,40852.62,38005.75,36439.97,37566.34,40536.99,50005.94,74823.24,46416.40,41712.87,28587.43,29495.81,19289.83,14396.94,11829.33,11508.38,Upgrade
4,PE Ratio,37.13,37.03,52.25,66.08,71.74,-,25.95,19.30,13.64,9.72,9.23,11.06,17.72,12.31,12.75,10.11,13.13,9.84,8.49,7.83,7.85,Upgrade
5,PS Ratio,2.15,2.14,2.39,2.69,3.49,2.98,2.95,2.83,2.56,1.76,1.32,1.38,1.84,1.10,1.06,0.82,1.13,0.86,0.77,0.73,0.68,Upgrade
6,PB Ratio,1.75,1.36,1.57,1.63,1.90,1.49,1.63,1.53,1.47,1.55,1.72,2.19,3.40,2.01,2.12,1.62,1.98,1.25,0.96,0.84,0.79,Upgrade
7,P/TBV Ratio,1.86,1.86,2.13,2.28,2.62,2.07,1.83,1.72,1.65,1.74,2.02,2.56,3.92,2.36,2.50,1.86,2.28,1.44,1.09,0.96,0.91,Upgrade
8,P/FCF Ratio,64.64,-,46.54,-154.25,-,-10.70,-,-,-16.48,267.61,-,-,-182.52,-,19.55,-,10.35,24.48,545.99,-,-,Upgrade
9,P/OCF Ratio,28.13,-,14.58,32.11,-28.65,-29.29,-,-,-64.68,22.09,-,-,43.80,-,10.48,-,7.74,11.04,17.07,12.29,-,Upgrade
10,EV/Sales Ratio,2.87,2.76,3.06,3.43,4.29,3.27,3.24,3.05,2.58,1.75,1.33,1.37,1.90,1.15,1.13,0.87,1.23,0.99,0.97,0.99,0.88,Upgrade
11,EV/EBITDA Ratio,14.08,17.66,21.43,24.11,31.84,18.57,15.89,14.39,12.38,12.71,15.04,17.51,26.82,17.03,16.10,11.73,15.15,11.46,9.39,8.82,7.81,Upgrade
12,EV/EBIT Ratio,23.68,37.40,37.62,45.97,57.24,41.24,30.88,27.50,21.98,18.48,22.81,25.07,37.38,22.09,20.68,16.35,21.86,17.20,13.70,12.93,11.64,Upgrade
13,EV/FCF Ratio,86.39,-,59.68,-196.79,-,-11.76,-,-,-16.62,266.55,-,-,-188.41,-,20.83,-,11.24,28.12,688.78,-,-,Upgrade
14,Debt / Equity Ratio,0.47,0.47,0.48,0.47,0.48,0.46,0.31,0.31,0.21,0.20,0.22,0.25,0.22,0.37,0.40,0.40,0.38,0.36,0.38,0.44,0.44,Upgrade
15,Debt / EBITDA Ratio,4.51,3.44,5.00,4.35,6.06,5.00,4.19,4.75,1.34,1.21,2.72,2.72,1.31,2.48,2.45,2.45,2.21,3.27,2.66,3.10,3.14,Upgrade
16,Debt / FCF Ratio,22.21,-,14.27,-44.59,-,-3.30,-,-,-2.34,34.32,-,-,-12.00,-,3.70,-,1.98,7.03,218.50,-,-,Upgrade
17,Asset Turnover,0.44,0.47,0.42,0.36,0.43,0.44,0.35,0.32,0.50,0.42,0.46,1.14,1.79,1.40,1.34,1.07,1.17,1.01,0.89,0.65,Upgrade,
18,Inventory Turnover,194.76,246.19,279.41,273.68,213.70,238.74,187.64,136.34,123.44,172.83,140.83,116.36,420.15,309.89,114.06,159.17,500.68,788.44,642.95,526.78,345.65,Upgrade
19,Quick Ratio,1.47,1.47,1.42,1.54,1.54,1.46,1.41,1.62,1.43,1.66,1.63,1.46,1.47,1.38,1.71,1.21,1.16,1.10,1.52,1.41,1.43,Upgrade
20,Current Ratio,1.63,1.63,1.58,1.73,1.78,1.92,1.76,2.16,1.64,2.03,1.74,1.76,1.61,1.48,1.78,1.31,1.20,1.29,1.56,1.49,1.54,Upgrade
