,Fiscal Quarter,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters
0,Cash & Equivalents,-,88909,82546,72881,47483,32935,47088,-,33673,-,9405,5014,2240,-,4196,4271,3034,1231,8320,2499,Upgrade
1,Short-Term Investments,-,30800,31100,30100,30842,29858,30000,-,29500,-,29500,29500,29500,-,29500,29500,29500,7300,12300,12300,Upgrade
2,Accounts Receivable,-,14169,16729,19165,27492,11023,16918,-,28542,-,17190,19858,23300,-,12930,19537,26026,16473,25638,15214,Upgrade
3,Other Receivables,-,1063,568.44,1321,743.38,27066,652.86,-,1319,-,465.76,1022,471.58,-,589.42,275.11,192.49,1947,1471,193.24,Upgrade
4,Inventory,-,12281,12270,12274,12282,12271,12271,-,12271,-,12285,12287,12300,-,12294,12536,12569,30794,12923,19505,Upgrade
5,Prepaid Expenses,-,31.49,78.72,277.99,553.28,608.16,836.22,-,10.7,-,53.05,44.72,100.86,-,-,-,125.33,125.33,501.33,1226,Upgrade
6,Other Current Assets,-,810.76,424.93,737.17,906.33,1510,444.62,-,1074,-,857.73,868.22,339.71,-,320.51,424.68,868.55,138.27,3345,738.89,Upgrade
7,Total Current Assets,-,148065,143718,136756,120302,115271,108210,-,106390,-,69756,68594,68252,-,59830,66544,72316,58008,64498,51676,Upgrade
8,"Property, Plant & Equipment",-,215856,216969,221654,226965,230820,239301,-,256393,-,275722,285338,295044,-,315677,324707,333737,342766,347452,344355,Upgrade
9,Other Long-Term Assets,-,2398,3153,3965,4267,5033,5799,-,1120,-,950.27,912.31,940.94,-,-,-,539.36,790.32,2069,2608,Upgrade
10,Total Assets,-,366319,363840,362375,351534,351124,353311,-,363903,-,346428,354844,364237,-,375507,391251,406592,401565,414019,398640,Upgrade
11,Accounts Payable,-,3886,12106,4486,6852,3601,4993,-,5642,-,9061,8031,4273,-,12888,11568,6737,8236,20305,6362,Upgrade
12,Accrued Expenses,-,21890,10827,16215,10423,4390,7191,-,9630,-,6112,11822,6238,-,4586,5853,6886,3926,4299,5299,Upgrade
13,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,13760,-,26710,27632,44316,51233,53083,35500,Upgrade
14,Current Unearned Revenue,-,-,-,-,-,135.86,135.86,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Current Income Taxes Payable,-,-,13098,13638,9895,7146,12243,-,13879,-,9957,10277,15779,-,10026,21397,22292,15804,11491,9082,Upgrade
16,Other Current Liabilities,-,1911,2567,15817,27444,1537,2480,-,27882,-,2038,17609,27439,-,2611,19502,29567,3553,2037,3977,Upgrade
17,Total Current Liabilities,-,27687,38597,50155,54615,16810,27042,-,57033,-,27168,47738,67488,-,56821,85952,109798,82753,91214,60221,Upgrade
18,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14949,14949,41316,Upgrade
19,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1479,Upgrade
20,Other Long-Term Liabilities,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
21,Total Liabilities,-,27687,38597,50155,54615,16810,27042,-,57033,-,27168,47738,67488,-,56821,85952,109798,97702,106163,103016,Upgrade
22,Common Stock,-,209999,209999,209999,209999,209999,209999,-,209999,-,209999,209999,209999,-,209999,209999,209999,209999,209999,209999,Upgrade
23,Retained Earnings,-,118482,105114,92084,76826,114328,106326,-,86994,-,99398,87313,76901,-,98841,85643,77081,84039,88003,78712,Upgrade
24,Comprehensive Income & Other,-,-436.1,-436.1,-436.1,-436.1,-436.1,-436.1,-,-436.1,-,-436.1,-436.1,-436.1,-,-436.1,-436.1,-436.1,-436.1,-436.1,-436.1,Upgrade
25,Total Common Equity,-,328045,314677,301647,286389,323891,315889,-,296557,-,308961,296875,286464,308404,308404,295205,286644,293602,297566,288275,Upgrade
26,Minority Interest,-,10587,10566,10573,10531,10424,10379,-,10313,-,10299,10230,10285,-,10282,10093,10151,10262,10290,7349,Upgrade
27,Shareholders' Equity,-,338632,325243,312220,296919,334315,326268,-,306870,-,319260,307106,296749,318686,318686,305299,296795,303863,307856,295624,Upgrade
28,Total Liabilities & Equity,-,366319,363840,362375,351534,351124,353311,-,363903,-,346428,354844,364237,-,375507,391251,406592,401565,414019,398640,Upgrade
29,Total Debt,-,-,-,-,-,-,-,-,-,-,-,-,13760,26710,26710,27632,44316,66182,68032,76815,Upgrade
30,Net Cash (Debt),-,119709,113646,102981,78325,62793,77088,-,63173,-,38905,34514,17980,6986,6986,6139,-11781,-57651,-47412,-62017,Upgrade
31,Net Cash Growth,-,90.64%,47.42%,-,23.98%,-,98.15%,-,251.35%,-,456.87%,462.22%,-,-,-,-,-,-,-,-,Upgrade
32,Net Cash Per Share,-,5704.16,5407.70,4902.10,3729.85,2989.78,3672.23,-,3008.56,-,1854.15,1644.18,856.44,332.77,332.43,292.64,-560.99,-2744.29,-2255.65,-2951.65,Upgrade
33,Filing Date Shares Outstanding,21,20.99,21.02,21,21,21,21,21.01,21,20.99,21,21,21,20.99,21,20.98,21,21.01,21.02,21.01,Upgrade
34,Total Common Shares Outstanding,21,20.99,21.02,21,21,21,21,21.01,21,20.99,21,21,21,20.99,21,20.98,21,21.01,21.02,21.01,Upgrade
35,Working Capital,-,120378,105120,86601,65687,98462,81168,-,49357,-,42588,20856,763.77,-,3009,-19408,-37481,-24745,-26716,-8545,Upgrade
36,Book Value Per Share,-,15631.35,14973.51,14364.21,13637.92,15421.41,15042.41,-,14121.82,-,14712.52,14136.99,13641.19,14685.95,14685.95,14072.50,13649.08,13975.94,14156.75,13720.31,Upgrade
37,Tangible Book Value,-,328045,314677,301647,286389,323891,315889,-,296557,-,308961,296875,286464,308404,308404,295205,286644,293602,297566,288275,Upgrade
38,Tangible Book Value Per Share,-,15631.35,14973.51,14364.21,13637.92,15421.41,15042.41,-,14121.82,-,14712.52,14136.99,13641.19,14685.95,14685.95,14072.50,13649.08,13975.94,14156.75,13720.31,Upgrade
39,Construction In Progress,-,343.27,343.27,8949,5546,669.88,419.85,-,90.91,-,90.91,-,-,-,-,-,-,-,16652,-,Upgrade
