,Fiscal Quarter,Q4 2023,Q4 2022,Q2 2018,Q1 2018,Q2 2017,Q1 2017
,Period Ending,"Sep '23 Sep 30, 2023","Sep '22 Sep 30, 2022","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016"
0,Revenue,33014,113478,38352,38352,3674,3674
1,Revenue Growth (YoY),798.70%,2989.08%,-,-,-,-
2,Cost of Revenue,12127,49389,14021,14021,642.41,642.41
3,Gross Profit,20887,64089,24331,24331,3031,3031
4,"Selling, General & Admin",5676,20336,11304,11304,1123,1123
5,Operating Expenses,5676,20336,11304,11304,1123,1123
6,Operating Income,15211,43753,13027,13027,1908,1908
7,Interest Expense,-14016,-10995,-149.06,-149.06,-27.26,-27.26
8,Interest & Investment Income,3668,251.56,10.09,10.09,0.87,0.87
9,Other Non Operating Income (Expenses),-2427,-12.7,-,-,-,-
10,Pretax Income,2435,32997,12888,12888,1882,1882
11,Income Tax Expense,538.09,7618,2578,2578,317.07,317.07
12,Earnings From Continuing Operations,1897,25379,10310,10310,1565,1565
13,Minority Interest in Earnings,0.2,0.02,-25.34,-25.34,-,-
14,Net Income,1897,25379,10285,10285,1565,1565
15,Net Income to Common,1897,25379,10285,10285,1565,1565
16,Net Income Growth,21.25%,1521.99%,-,-,-,-
17,Shares Outstanding (Basic),64,64,45,45,7,7
18,Shares Outstanding (Diluted),64,64,45,45,7,7
19,Shares Change (YoY),832.59%,832.59%,-,-,-,-
20,EPS (Basic),29.53,395.03,229.69,229.69,227.13,227.13
21,EPS (Diluted),29.53,395.00,229.69,229.69,227.13,227.13
22,EPS Growth,-87.00%,73.91%,-,-,-,-
23,Free Cash Flow,-,-,-30014,-30014,15915,15915
24,Free Cash Flow Per Share,-,-,-670.29,-670.29,2310.27,2310.27
25,Gross Margin,63.27%,56.48%,63.44%,63.44%,82.51%,82.51%
26,Operating Margin,46.07%,38.56%,33.97%,33.97%,51.94%,51.94%
27,Profit Margin,5.75%,22.36%,26.82%,26.82%,42.59%,42.59%
28,Free Cash Flow Margin,-,-,-78.26%,-78.26%,433.24%,433.24%
29,EBITDA,-,-,13270,13270,2031,2031
30,EBITDA Margin,-,-,34.60%,34.60%,55.28%,55.28%
31,D&A For EBITDA,-,-,243.51,243.51,122.56,122.56
32,EBIT,15211,43753,13027,13027,1908,1908
33,EBIT Margin,46.07%,38.56%,33.97%,33.97%,51.94%,51.94%
34,Effective Tax Rate,22.10%,23.09%,20.00%,20.00%,16.85%,16.85%
35,Revenue as Reported,33014,113478,-,-,-,-
