,Fiscal Quarter,Current,Q4 2023,Q4 2022,Q2 2018,Q1 2018,Q2 2017,Q1 2017
,Period Ending,"Mar '25 Mar 6, 2025","Sep '23 Sep 30, 2023","Sep '22 Sep 30, 2022","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016"
0,Market Capitalization,446505,1477641,2119213,-,-,-,-
1,Enterprise Value,817941,1478936,2120507,-,-,-,-
2,Last Close Price,6950.00,23000.00,32986.11,-,-,-,-
3,PE Ratio,730.51,30.88,44.60,-,-,-,-
4,PS Ratio,3.60,6.62,10.93,-,-,-,-
5,PB Ratio,0.60,2.00,-,-,-,-,-
6,P/TBV Ratio,0.54,2.00,-,-,-,-,-
7,EV/Sales Ratio,6.60,6.63,10.94,-,-,-,-
8,EV/EBIT Ratio,14.69,17.40,29.57,-,-,-,-
9,Debt / Equity Ratio,0.51,0.56,-,0.01,0.01,-,-
10,Debt / EBITDA Ratio,6.65,-,-,0.04,0.04,-,-
11,Asset Turnover,-,-,0.43,-,-,-,
12,Inventory Turnover,0.15,-,-,4.10,-,-,-
13,Quick Ratio,0.14,0.99,-,0.35,0.35,-,-
14,Current Ratio,1.60,2.04,-,1.72,1.72,-,-
15,Return on Equity (ROE),-,-,24.39%,-,-,-,
16,Return on Assets (ROA),-,-,9.03%,-,-,-,
17,Return on Capital (ROIC),-,-,19.01%,-,-,-,
18,Return on Capital Employed (ROCE),6.71%,9.73%,-,17.50%,9.87%,-,-
19,Earnings Yield,0.14%,3.24%,2.24%,-,-,-,-
20,Buyback Yield / Dilution,-9225.91%,-832.59%,-832.59%,-,-,-,-
21,Total Shareholder Return,-9225.91%,-832.59%,-832.59%,-,-,-,-
