,Fiscal Quarter,Q4 2023,Q4 2022,Q2 2018,Q1 2018,Q2 2017,Q1 2017
,Period Ending,"Sep '23 Sep 30, 2023","Sep '22 Sep 30, 2022","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016"
0,Cash & Equivalents,11287,-,1646,1646,-,-
1,Cash & Short-Term Investments,11287,-,1646,1646,-,-
2,Accounts Receivable,4710,-,60419,60419,-,-
3,Other Receivables,508776,-,5293,5293,-,-
4,Receivables,513486,-,65712,65712,-,-
5,Inventory,310884,-,13693,13693,-,-
6,Prepaid Expenses,167.59,-,931.92,931.92,-,-
7,Other Current Assets,241357,-,245750,245750,-,-
8,Total Current Assets,1077181,-,327732,327732,-,-
9,"Property, Plant & Equipment",53270,-,5357,5357,-,-
10,Long-Term Investments,201476,-,-,-,-,-
11,Other Intangible Assets,-,-,25315,25315,-,-
12,Other Long-Term Assets,70995,-,2378,2378,-,-
13,Total Assets,1402922,-,360782,360782,-,-
14,Accounts Payable,1154,-,9788,9788,-,-
15,Accrued Expenses,19902,-,1831,1831,-,-
16,Short-Term Debt,87700,-,-,-,-,-
17,Current Portion of Long-Term Debt,198100,-,578.4,578.4,-,-
18,Current Income Taxes Payable,42733,-,5155,5155,-,-
19,Current Unearned Revenue,888.84,-,-,-,-,-
20,Other Current Liabilities,178808,-,172713,172713,-,-
21,Total Current Liabilities,529285,-,190066,190066,-,-
22,Long-Term Debt,127787,-,1614,1614,-,-
23,Long-Term Unearned Revenue,8251,-,-,-,-,-
24,Other Long-Term Liabilities,36.52,-,-,-,-,-
25,Total Liabilities,665360,-,191680,191680,-,-
26,Common Stock,642453,-,130000,130000,-,-
27,Additional Paid-In Capital,67328,-,-,-,-,-
28,Retained Earnings,27681,-,38354,38354,-,-
29,Total Common Equity,737462,-,168354,168354,-,-
30,Minority Interest,99.9,-,748.12,748.12,-,-
31,Shareholders' Equity,737562,-,169102,169102,-,-
32,Total Liabilities & Equity,1402922,-,360782,360782,-,-
33,Total Debt,413587,-,2192,2192,-,-
34,Net Cash (Debt),-402300,-,-546.18,-546.18,-,-
35,Net Cash Per Share,-6261.94,-,-12.20,-12.20,-,-
36,Filing Date Shares Outstanding,64.25,64.25,44.78,44.78,6.89,6.89
37,Total Common Shares Outstanding,64.25,64.25,44.78,44.78,6.89,6.89
38,Working Capital,547896,-,137666,137666,-,-
39,Book Value Per Share,11478.85,-,3759.76,3759.76,-,-
40,Tangible Book Value,737462,-,143039,143039,-,-
41,Tangible Book Value Per Share,11478.85,-,3194.41,3194.41,-,-
42,Machinery,4613,-,6613,6613,-,-
43,Construction In Progress,51269,-,-,-,-,-
