,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,648,892,1153,-,-,-
1,Enterprise Value,456,620,1543,-,-,-
2,Last Close Price,0.77,1.06,1.37,-,-,-
3,PS Ratio,1.14,1.67,1.95,-,-,-
4,PB Ratio,1.58,2.15,2.41,-,-,-
5,P/TBV Ratio,2.19,2.19,2.46,-,-,-
6,P/FCF Ratio,-,-,-42.87,-,-,-
7,P/OCF Ratio,131.72,-,-51.94,-,-,-
8,EV/Sales Ratio,0.85,1.16,2.60,-,-,-
9,EV/FCF Ratio,-229.47,-,-57.34,-,-,-
10,Debt / Equity Ratio,1.50,1.50,1.39,-1.11,-1.29,-
11,Debt / FCF Ratio,-,-,-24.71,-,-7.06,-
12,Earnings Yield,-19.84%,-14.41%,-14.77%,-,-,-
13,FCF Yield,-0.31%,-0.22%,-2.33%,-,-,-
14,Buyback Yield / Dilution,-27.01%,-35.52%,-18.49%,-,-,-
15,Total Shareholder Return,-27.01%,-35.52%,-18.49%,-,-,-
