,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,179.21,318.79,218.93,445.94,241.48
1,Revenue Growth (YoY),-18.14%,-28.51%,-9.34%,-,-
2,Cost of Revenue,136.66,221.48,151.63,323.4,195.56
3,Gross Profit,42.56,97.31,67.3,122.54,45.91
4,"Selling, General & Admin",81.07,107.51,107.15,128.23,137.23
5,Research & Development,21.27,27.8,27.78,37.29,41.67
6,Other Operating Expenses,-8.64,-7.59,3.97,-23.65,4.2
7,Operating Expenses,93.7,128.33,138.9,168.24,183.1
8,Operating Income,-51.14,-31.02,-71.6,-45.7,-137.19
9,Interest Expense,-14.04,-19.01,-19.28,-22.94,-19.94
10,Interest & Investment Income,8.5,2.78,2.44,2.8,2.01
11,Earnings From Equity Investments,-4.93,-2.72,-2.2,-2.24,-2.52
12,Currency Exchange Gain (Loss),0.53,3.16,-5.81,-5.52,-7.51
13,Other Non Operating Income (Expenses),-,-5.93,-,-10.29,-
14,EBT Excluding Unusual Items,-61.09,-52.75,-96.44,-83.89,-165.14
15,Gain (Loss) on Sale of Investments,1.31,1.98,-,-,-
16,Gain (Loss) on Sale of Assets,-0.85,-0.6,0.18,2.08,8.65
17,Pretax Income,-60.63,-51.37,-96.26,-81.81,-156.5
18,Income Tax Expense,-0.14,8.52,-1.26,4.06,0.89
19,Earnings From Continuing Operations,-60.48,-59.89,-95,-85.87,-157.39
20,Minority Interest in Earnings,0.93,-0.22,0.46,-1.21,2.51
21,Net Income,-59.56,-60.11,-94.54,-87.09,-154.88
22,Net Income to Common,-59.56,-60.11,-94.54,-87.09,-154.88
23,Shares Outstanding (Basic),842,736,621,621,621
24,Shares Outstanding (Diluted),842,736,621,621,621
25,Shares Change (YoY),35.52%,18.49%,-,-,-
26,EPS (Basic),-0.07,-0.08,-0.15,-0.14,-0.25
27,EPS (Diluted),-0.07,-0.08,-0.15,-0.14,-0.25
28,Free Cash Flow,-68.66,66.81,-91.23,70.82,-151.99
29,Free Cash Flow Per Share,-0.08,0.09,-0.15,0.11,-0.24
30,Operating Margin,-28.54%,-9.73%,-32.70%,-10.25%,-56.81%
31,Profit Margin,-33.23%,-18.86%,-43.19%,-19.53%,-64.14%
32,Free Cash Flow Margin,-38.31%,20.96%,-41.67%,15.88%,-62.94%
33,EBITDA,-47.1,-26.33,-65.55,-39.03,-130.94
34,D&A For EBITDA,4.05,4.69,6.05,6.68,6.25
35,EBIT,-51.14,-31.02,-71.6,-45.7,-137.19
