,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,5154,4174,3321,3290,3819,5671,5217,6573,6605,6255,-,-,-,-,-,-,-
1,Market Cap Growth,-26.38%,-26.38%,-36.34%,-49.95%,-42.19%,-9.35%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4088,3109,2214,2115,2546,4398,3918,5218,6486,6137,-,-,-,-,-,-,-
3,Last Close Price,69.51,56.30,44.39,43.70,50.26,74.64,68.68,86.51,86.62,82.04,-,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,185.28,-,117.15,-,138.00,-,-,-,-,-,-,-
5,Forward PE,-,78.19,61.65,22.64,43.51,53.87,41.38,59.58,62.81,-,-,-,-,-,-,-,-
6,PS Ratio,31.61,25.48,15.84,16.39,17.33,25.15,28.40,22.25,25.11,22.36,-,-,-,-,-,-,-
7,PB Ratio,3.23,2.63,2.10,2.04,2.31,3.35,3.14,3.95,3.94,3.71,-,-,-,-,-,-,-
8,P/TBV Ratio,2.64,2.64,2.10,2.04,2.31,3.35,3.14,3.95,3.95,3.72,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-30.55,-,-,-,-,-,-,-61.91,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-237.89,-,-,-145.47,-,-,-,-380.68,-,-,-,-,-,-,-
11,EV/Sales Ratio,24.96,18.98,10.56,10.54,11.55,19.50,21.33,17.66,24.66,21.93,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,-,-,-,-,-,95.94,-,134.48,-,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,-,-,101.00,-,142.74,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-20.37,-,-,-,-,-,-,-60.74,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,-,0.12,0.12,0.08,0.08,0.08
16,Debt / EBITDA Ratio,-,-,-,-,-,2.82,-,0.10,-,0.03,0.44,-,-,0.24,-,3.66,3.66
17,Debt / FCF Ratio,-,-,-0.11,-,-,-,-,-,-,-0.04,-,-,-,0.74,-,-,-
18,Asset Turnover,-,0.07,0.06,0.02,0.30,0.05,0.10,0.03,0.27,-,-,-,-,-,0.43,-,
19,Inventory Turnover,-,-,0.44,0.43,0.13,2.39,0.48,0.75,0.30,1.66,-,-,-,-,-,1.65,-
20,Quick Ratio,-,-,4.65,5.66,6.02,6.36,7.25,7.31,6.58,5.46,2.03,-,-,1.73,-,1.74,1.74
21,Current Ratio,-,-,5.51,6.66,6.91,7.07,8.20,8.22,7.42,5.99,2.67,-,-,2.09,-,2.31,2.31
22,Return on Equity (ROE),-6.03%,-2.10%,-2.85%,-2.50%,7.08%,-0.57%,2.55%,-2.64%,8.78%,-,-,-2.03%,46.39%,-4.19%,0.69%,-,
23,Return on Assets (ROA),-,-1.42%,-2.60%,-2.05%,-0.60%,-0.71%,0.77%,-1.94%,4.34%,-,-,-,-,-,0.30%,-,
24,Return on Capital (ROIC),-4.12%,-1.65%,-2.98%,-2.34%,-0.68%,-0.80%,0.88%,-2.25%,5.41%,-,-,-2.57%,29.05%,-4.12%,0.49%,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,3.09%,-,2.54%,13.47%,-,-,9.89%,-,0.40%,0.20%
26,Earnings Yield,-1.05%,-1.30%,0.11%,0.30%,0.83%,0.54%,0.49%,0.85%,0.56%,0.72%,-,-,-,-,-,-,-
27,FCF Yield,-,-3.27%,-4.57%,-3.46%,-1.91%,1.93%,1.46%,1.45%,-1.62%,-,-,-,-,-,-,-,
28,Dividend Yield,0.29%,-,-,-,-,0.27%,-,-,-,0.37%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,0.46%,-,201.10%,-,11.09%,-,-,-,1.12%,-,10.63%,10.63%
30,Buyback Yield / Dilution,2.65%,1.97%,-1463.67%,26.66%,-4.08%,-66.57%,94.05%,-128.96%,-24.64%,28.13%,-73.83%,22.28%,-4.18%,-,-,-,-
31,Total Shareholder Return,2.94%,1.97%,-1463.67%,26.66%,-4.08%,-66.30%,94.05%,-128.96%,-24.64%,28.50%,-73.83%,22.28%,-4.18%,-,-,-,-
