,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,855.45,1075,505.47,1241,862.29,994.56,636.57,1377,30.76,-,-,195.08,-,136.25,136.25
1,Trading Asset Securities,-,210.26,20.26,660.9,21.2,405.29,300.43,713.95,21.84,147.04,-,-,298.98,-,157.48,157.48
2,Cash & Short-Term Investments,1066,1066,1095,1166,1262,1268,1295,1351,1399,177.8,-,494.06,494.06,293.73,293.73,293.73
3,Cash Growth,-15.55%,-15.93%,-15.43%,-13.64%,-9.80%,612.94%,-,173.35%,183.15%,-39.47%,-,68.21%,-,-,-,-
4,Accounts Receivable,-,250.09,247.59,236.42,239.31,181.7,178.34,158.82,227.44,394.22,-,-,317.15,-,342.22,342.22
5,Other Receivables,-,9.5,2.85,5.22,5.03,3.51,4.12,5.15,6.46,8.9,-,-,6.11,-,7.28,7.28
6,Receivables,-,259.59,250.44,241.63,244.34,185.21,182.45,163.97,233.9,403.12,-,-,323.25,-,349.5,349.5
7,Inventory,-,216.35,207.76,165.61,148.33,145.99,152.27,155.04,145.92,166.39,-,-,157.14,-,203.29,203.29
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11,0.11
9,Other Current Assets,-,28.5,28.65,42.51,19.52,43.74,31.31,38.52,13.6,17.96,-,-,12.02,-,8.73,8.73
10,Total Current Assets,-,1570,1582,1616,1674,1643,1661,1708,1792,765.27,-,-,986.48,-,855.36,855.36
11,"Property, Plant & Equipment",-,260.23,243.42,248.95,232.34,186.95,185.27,182.56,180.32,147.45,-,-,86.96,-,44.82,44.82
12,Long-Term Investments,-,31.21,10.8,10.5,10.5,10.5,10.5,3,3,3,-,-,4.91,-,2,2
13,Goodwill,-,3.79,3.79,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,-,10.86,10.69,10.79,10.9,11.04,11.16,10.89,10.97,11.02,-,-,11.1,-,11.25,11.25
15,Long-Term Accounts Receivable,-,0.71,0.64,0.8,0.6,12.92,0.63,0.63,0.63,0.21,-,-,0.33,-,-,-
16,Long-Term Deferred Tax Assets,-,8.79,7.1,7,6.68,5.63,4.92,7.68,5.78,9.56,-,-,5.18,-,9.36,9.36
17,Long-Term Deferred Charges,-,0.41,0.33,0.33,0.4,0.33,0.36,0.19,0.09,0.13,-,-,0.26,-,0.42,0.42
18,Other Long-Term Assets,-,-,-,-,-,-,-,-,-,-,-,-,14.4,-,-,-
19,Total Assets,-,1886,1859,1895,1935,1870,1874,1913,1993,936.64,-,-,1110,-,923.21,923.21
20,Accounts Payable,-,216.31,165.43,180.46,177.27,151.43,152.34,161.33,219.9,200.21,-,-,327.08,-,309.18,309.18
21,Accrued Expenses,-,5.64,6.61,4.91,14.18,4.5,6.16,3.92,16.74,8.44,-,-,33.28,-,21.51,21.51
22,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.55,0.55
23,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,10,-,-,5.09,-,-,-
24,Current Portion of Leases,-,1.72,1.06,1.47,1.13,1.34,1.84,2.23,2.23,3.71,-,-,4.88,-,4.66,4.66
25,Current Income Taxes Payable,-,2.13,-,1.96,2.99,2.31,0.24,3.64,5.99,5.2,-,-,5.25,-,0.69,0.69
26,Current Unearned Revenue,-,56.61,62.06,43.35,40.25,39.96,40.5,40.01,41.95,57.55,-,-,91.27,-,31.67,31.67
27,Other Current Liabilities,-,2.48,2.5,1.62,0.85,0.87,0.96,19.07,12.29,1.04,-,-,4.81,-,1.89,1.89
28,Total Current Liabilities,-,284.89,237.67,233.77,236.66,200.41,202.04,230.2,299.09,286.17,-,-,471.65,-,370.15,370.15
29,Long-Term Debt,-,-,-,-,-,-,-,-,-,45,-,-,55,-,25.97,25.97
30,Long-Term Leases,-,9.92,1.43,1.63,0.36,1.63,1.53,1.04,1.42,5.44,-,-,5.38,-,7.93,7.93
31,Long-Term Unearned Revenue,-,4.27,4.3,4.32,4.34,4.37,4.39,4.42,4.42,4.42,-,-,-,-,-,-
32,Long-Term Deferred Tax Liabilities,-,2.43,0.65,0.76,0.42,0.1,0.17,0.05,0.42,0.15,-,-,0.05,-,0.04,0.04
33,Total Liabilities,-,301.52,244.05,240.48,241.79,206.51,208.13,235.71,305.35,341.17,-,-,532.09,-,404.1,404.1
34,Common Stock,-,75.66,75.66,75.66,75.66,75.66,75.66,75.66,75.66,56.66,-,-,56.66,-,56.66,56.66
