,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,95.6,32.15,27.61,8.44,133.18,23.98,46.43,13.6,84.34,135.48,14.3,30.34,211.77,4.46,99.64,99.64
1,Other Revenue,-,-,-,-,8.3,-0.79,0.79,-,15.35,-0.55,0.55,-,5.73,0.28,0.26,0.26
2,Revenue,95.6,32.15,27.61,8.44,141.48,23.18,47.22,13.6,99.69,134.92,14.86,30.34,217.5,4.74,99.9,99.9
3,Revenue Growth (YoY),-32.43%,38.65%,-41.53%,-37.93%,41.93%,-82.82%,217.88%,-55.17%,-54.17%,2746.01%,-85.13%,-69.63%,-,-,-,-
4,Cost of Revenue,-48.55,23.27,20.01,5.26,87.97,17.99,28.8,11.17,64.97,72.2,11.38,19.32,136.53,2.11,83.97,83.97
5,Gross Profit,144.15,8.87,7.61,3.18,53.51,5.19,18.42,2.43,34.71,62.73,3.48,11.02,80.97,2.63,15.93,15.93
6,"Selling, General & Admin",-28.41,10.03,10.48,7.9,12.78,7.59,8.4,8.28,6.21,6.46,7.4,7.55,5.63,5.11,5.29,5.29
7,Research & Development,-36.1,11.66,13,11.43,14.72,13.61,11.64,12.14,11.78,15.04,7.89,8.57,6.74,6.39,4.56,4.56
8,Other Operating Expenses,237.8,-2.7,0.79,0,22.59,-11.1,-9.79,-0.15,1.32,0.21,-0.32,-0.77,2.49,0.05,1.04,1.04
