,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,642.03,705.54,700.7,675.91,577.87,719.65,578.57
1,Revenue Growth (YoY),-8.37%,4.38%,21.26%,-6.08%,-0.12%,-,-
2,Cost of Revenue,343.68,376.54,345.1,335.91,296.63,387.83,308.77
3,Gross Profit,298.35,328.99,355.61,340.01,281.24,331.82,269.8
4,"Selling, General & Admin",189.08,194.8,183.41,174.03,159.91,177.8,143.2
5,Research & Development,35.14,26.78,26.11,18.67,22.42,14.13,9.38
6,Other Operating Expenses,7.34,-1.74,1.94,15.59,3.6,-13.41,27.21
7,Operating Expenses,231.56,219.84,211.46,208.29,185.93,178.51,179.78
8,Operating Income,66.79,109.15,144.15,131.72,95.32,153.3,90.01
9,Interest Expense,-20.6,-26.92,-23.68,-21.98,-20.7,-23.05,-60.47
10,Interest & Investment Income,2.25,3.63,2.95,2.89,1.78,1.37,0.65
11,Currency Exchange Gain (Loss),-4.52,8.22,7.34,-87.87,-84.6,12.83,48.99
12,Other Non Operating Income (Expenses),14.15,7.9,10.89,40.38,-23.94,104.65,-90.69
13,EBT Excluding Unusual Items,58.07,101.98,141.65,65.13,-32.14,249.11,-11.51
14,Gain (Loss) on Sale of Investments,0.42,3.38,0.58,-307.42,-,-375.51,-
15,Gain (Loss) on Sale of Assets,-0.1,0.15,0,-0.66,-0.01,-0.05,-0
16,Pretax Income,58.4,105.51,142.23,-242.95,-32.15,-126.45,-11.51
17,Income Tax Expense,31.47,43.01,31.81,56.5,21.12,30.53,23.07
18,Earnings From Continuing Operations,26.93,62.49,110.42,-299.45,-53.26,-156.99,-34.59
19,Minority Interest in Earnings,1.55,-0.27,0.88,0.96,2.13,1,0.12
20,Net Income,28.47,62.23,111.3,-298.49,-51.13,-155.99,-34.46
21,Net Income to Common,28.47,62.23,111.3,-298.49,-51.13,-155.99,-34.46
22,Net Income Growth,-74.42%,-,-,-,-,-,-
23,Shares Outstanding (Basic),148,148,148,100,94,93,99
24,Shares Outstanding (Diluted),148,148,148,100,94,93,99
25,Shares Change (YoY),-0.07%,48.35%,57.28%,7.12%,-4.48%,-,-
26,EPS (Basic),0.19,0.42,0.75,-2.99,-0.54,-1.68,-0.35
27,EPS (Diluted),0.19,0.42,0.75,-2.99,-0.54,-1.68,-0.35
28,EPS Growth,-74.67%,-,-,-,-,-,-
29,Free Cash Flow,-18.34,108.09,106.03,128.59,60.44,132.02,5.92
30,Free Cash Flow Per Share,-0.12,0.73,0.72,1.29,0.64,1.42,0.06
31,Operating Margin,10.40%,15.47%,20.57%,19.49%,16.49%,21.30%,15.56%
32,Profit Margin,4.43%,8.82%,15.88%,-44.16%,-8.85%,-21.68%,-5.96%
33,Free Cash Flow Margin,-2.86%,15.32%,15.13%,19.02%,10.46%,18.35%,1.02%
34,EBITDA,95.22,135.59,170.48,155.26,116.65,175.01,112.19
35,D&A For EBITDA,28.43,26.44,26.32,23.54,21.34,21.7,22.18
36,EBIT,66.79,109.15,144.15,131.72,95.32,153.3,90.01
