,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,546.84,618.7,642.51,721.52,582.23,609,-
1,Short-Term Investments,28.63,38.74,28.25,90.54,-,-,-
2,Trading Asset Securities,178.72,175.53,176.79,2.1,-,-,-
3,Cash & Short-Term Investments,754.2,832.97,847.55,814.16,582.23,609,-
4,Cash Growth,-11.01%,2.31%,45.57%,33.69%,-,-,-
5,Receivables,145.64,149.09,160.28,168.64,165.67,171.99,-
6,Inventory,366.66,328.53,305.25,281.12,265.95,240.11,-
7,Other Current Assets,120.12,80.25,74.78,62.41,72.22,68.69,-
8,Total Current Assets,1387,1391,1388,1326,1086,1090,-
9,"Property, Plant & Equipment",131.07,126.08,121.67,126.75,116.59,85.53,-
10,Goodwill,937.83,961.39,960.9,906.87,857.56,882.7,-
11,Other Intangible Assets,247.49,269.83,280.73,278.88,279.96,303.89,-
12,Long-Term Accounts Receivable,-,-,0,-,0.03,0.08,-
13,Long-Term Deferred Tax Assets,59.09,57.01,72.55,56.27,46.2,40.85,-
14,Other Long-Term Assets,45.68,38.58,24.48,22.98,21.55,23.84,-
15,Total Assets,2808,2844,2848,2718,2408,2427,-
16,Accounts Payable,109.18,90.56,96.58,68.7,61.07,68.02,-
17,Short-Term Debt,-,-,464.38,-,81.64,84.22,-
18,Current Portion of Long-Term Debt,216.2,523.27,73.48,131.88,23.36,38.54,-
19,Current Portion of Leases,22.74,14.32,16.41,19.24,20.72,12.6,-
20,Current Income Taxes Payable,17.73,5.2,17.6,13.58,14.54,19.79,-
21,Current Unearned Revenue,124.28,125.46,116.89,136.05,119.16,93.88,-
22,Other Current Liabilities,249.95,132.86,93.01,123.18,111.02,124.18,-
23,Total Current Liabilities,740.08,891.67,878.34,492.62,431.52,441.24,-
24,Long-Term Debt,351.96,95.29,167.14,569.71,2517,2455,-
25,Long-Term Leases,34.81,31.48,32.86,35.18,38.43,31.78,-
26,Long-Term Unearned Revenue,32.29,29.97,24.36,26.89,22.53,29.26,-
27,Long-Term Deferred Tax Liabilities,60.67,66.55,70.97,71.95,60.93,66.37,-
28,Other Long-Term Liabilities,32.03,31.76,39.12,35.05,35.77,36.54,-
29,Total Liabilities,1252,1147,1213,1231,3106,3060,-
30,Common Stock,0.1,0.1,0.1,0.1,0.07,0.07,-
31,Retained Earnings,-533.01,1672,-475.15,1497,-287.96,-236.83,-
32,Comprehensive Income & Other,2073,8.77,2094,-27.07,-431.69,-419.67,-
33,Total Common Equity,1541,1680,1619,1470,-719.59,-656.43,-
34,Minority Interest,15.37,16.52,16.25,17.13,21.43,23.06,-
35,Shareholders' Equity,1556,1697,1635,1487,-698.16,-633.37,-
36,Total Liabilities & Equity,2808,2844,2848,2718,2408,2427,-
37,Total Debt,625.7,664.36,754.26,756,2681,2622,-
38,Net Cash (Debt),128.5,168.61,93.29,58.16,-2099,-2013,-
39,Net Cash Growth,37.74%,189.92%,-,-,-,-,-
40,Net Cash Per Share,0.87,1.14,0.63,0.58,-22.29,-21.62,-
41,Filing Date Shares Outstanding,147.97,147.97,147.97,147.93,94.15,107.22,98.57
42,Total Common Shares Outstanding,147.97,147.97,147.97,147.93,94.15,94.15,98.57
43,Working Capital,646.55,499.17,509.53,833.71,654.55,648.55,-
44,Book Value Per Share,10.41,11.36,10.94,9.93,-7.64,-6.97,-
45,Tangible Book Value,355.25,449.25,377.52,283.8,-1857,-1843,-
46,Tangible Book Value Per Share,2.40,3.04,2.55,1.92,-19.73,-19.58,-
47,Machinery,-,92.29,-,68.13,48.07,44.44,-
48,Construction In Progress,-,-,-,4.06,6.47,-,-
49,Leasehold Improvements,-,31.67,-,26.13,23.04,14.55,-
