,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,850,1746,5593,7095,7626,-,-,-
1,Market Cap Growth,-75.39%,-75.39%,-26.66%,-,-,-,-,-
2,Enterprise Value,729,1578,5510,7049,10110,-,-,-
3,Last Close Price,5.75,11.80,34.79,44.13,47.44,-,-,-
4,PE Ratio,8.74,17.92,29.26,-35.08,-,-,-,-
5,Forward PE,-,6.78,20.04,27.10,-,-,-,-
6,PS Ratio,0.59,1.21,3.61,4.77,5.38,-,-,-
7,PB Ratio,0.51,1.04,2.99,4.02,4.54,-,-,-
8,P/TBV Ratio,4.57,4.57,11.30,17.39,23.77,-,-,-
9,P/FCF Ratio,8.82,-,23.71,27.99,35.69,-,-,-
10,P/OCF Ratio,12.79,-,20.39,24.29,28.78,-,-,-
11,EV/Sales Ratio,0.50,1.09,3.56,4.74,7.13,-,-,-
12,EV/EBITDA Ratio,2.67,6.36,16.34,20.03,32.89,-,-,-
13,EV/EBIT Ratio,3.85,8.35,19.75,23.65,39.39,-,-,-
14,EV/FCF Ratio,7.56,-,23.36,27.80,47.31,-,-,-
15,Debt / Equity Ratio,0.40,0.40,0.39,0.46,0.51,-3.84,-4.14,-
16,Debt / FCF Ratio,6.97,-,3.10,3.21,4.00,13.93,19.01,-
17,Return on Capital Employed (ROCE),8.51%,8.51%,12.98%,14.00%,10.20%,12.58%,12.26%,-
18,Earnings Yield,11.46%,5.58%,3.42%,-2.85%,-5.18%,-,-,-
19,FCF Yield,11.34%,5.52%,4.22%,3.57%,2.80%,-,-,-
20,Buyback Yield / Dilution,-19.47%,0.07%,-48.35%,-57.28%,-7.12%,4.48%,-,-
21,Total Shareholder Return,-0.34%,0.07%,-48.35%,-57.28%,-7.12%,4.48%,-,-
