,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,36.43,88.92,129.79,178.72,119.25,174.38,159.87,184.94,113.18,172.5,102.7,105.79,411.68,369.12,41.31,83.32,-,74.08,-
1,Trading Asset Securities,14.88,14.85,0.01,20.05,0.05,0.05,0.15,26.31,25.05,16.92,124.81,173.89,187.15,274.01,96.57,82.37,-,14.1,-
2,Cash & Short-Term Investments,51.31,103.77,129.8,198.77,119.3,174.42,160.02,211.24,138.23,189.42,227.51,279.68,598.83,643.13,137.88,165.69,-,88.18,148.35
3,Cash Growth,-56.99%,-40.51%,-18.89%,-5.90%,-13.69%,-7.92%,-29.67%,-24.47%,-76.92%,-70.55%,65.01%,68.80%,-,629.35%,-7.06%,-,-,-,-
4,Accounts Receivable,434.83,417.6,407.09,412.33,466.83,422.69,361.28,385.41,332.34,267.68,222.45,247.09,193.05,192.48,147.3,175.63,-,149.32,-
5,Other Receivables,5.58,16.61,4.85,13.86,5.68,13.9,3.94,13.9,6.34,-1.04,6.17,30.13,6.52,2.79,5.88,8.08,-,1.94,-
6,Receivables,440.41,434.21,411.93,426.19,472.52,438.28,365.22,399.31,338.68,267.65,228.62,277.21,199.57,195.93,153.18,183.71,-,151.9,-
7,Inventory,118.29,122,113.81,103.88,113.37,122.19,85.15,77.51,117.61,96.22,78.26,65.21,80.36,76.9,77.56,68.23,-,62.86,-
8,Other Current Assets,38.75,13.83,24.25,23.78,23.49,12.34,26.92,13.12,38.09,47.01,46.08,2.87,52.04,21.45,19.98,6.9,-,11.9,-
9,Total Current Assets,648.76,673.81,679.78,752.63,728.68,747.23,637.3,701.19,632.61,600.29,580.47,624.97,930.8,937.4,388.6,424.53,-,314.84,-
10,"Property, Plant & Equipment",472.41,478.11,484.35,492.53,498.22,502.12,505.68,511.38,455.68,457.07,459.95,465.56,57.84,63.03,43.27,44.74,-,43.24,-
