,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3014,2850,2517,3163,4231,5121,5891,7510,7826,5005,4584,5365,5834,4601,4866,-,-,-,-,-
1,Market Cap Growth,-44.35%,-44.35%,-57.28%,-57.89%,-45.93%,2.33%,28.50%,39.98%,34.13%,8.78%,-5.79%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3013,2795,2414,3094,4162,4992,5734,7415,7731,4857,4362,4776,5246,3971,4730,-,-,-,-,-
3,Last Close Price,9.57,9.08,7.96,9.91,13.26,16.05,19.27,24.57,25.60,16.37,15.00,17.38,18.90,14.90,15.66,-,-,-,-,-
4,PE Ratio,-,-,-,-,377.03,52.66,53.15,-,47.74,31.47,30.54,-,37.85,34.61,36.97,-,-,-,-,-
5,Forward PE,29.91,33.63,11.38,12.68,18.01,20.06,25.36,34.49,33.08,23.35,21.96,-,-,-,-,-,-,-,-,-
6,PS Ratio,5.99,5.63,4.52,5.57,7.70,7.43,8.85,11.63,11.89,8.66,8.47,9.94,11.12,9.66,10.77,-,-,-,-,-
7,PB Ratio,2.32,2.16,1.89,2.34,3.03,3.72,4.41,6.67,6.79,4.82,4.56,5.23,5.68,4.61,4.97,-,-,-,-,-
8,P/TBV Ratio,2.85,2.85,2.49,3.07,3.93,4.85,5.78,7.30,7.43,5.34,5.06,5.80,6.30,5.11,5.53,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,138.05,-,-,-,-47232.67,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,105.34,-,-,-,107.39,-,-,-,62.11,70.16,-,-,-,-,-,-
