,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,115.02,114.5,70.61,205.52,164.87,126.12,51.67,346.3,140.94,106.27,64.01,259.78,104.48,104.89,48.67,217.76,80.26,80.72,37.29
1,Other Revenue,-0.54,0.54,-,1.05,-0.1,0.1,-,0.56,-0.29,0.29,-,6.78,-0.12,0.12,-,0.28,-0.14,0.14,-
2,Revenue,114.48,115.04,70.61,206.57,164.77,126.21,51.67,346.86,140.65,106.56,64.01,266.57,104.36,105.01,48.67,218.03,80.12,80.86,37.29
3,Revenue Growth (YoY),-30.52%,-8.85%,36.67%,-40.44%,17.15%,18.45%,-19.29%,30.12%,34.78%,1.47%,31.53%,22.26%,30.25%,29.87%,30.52%,-,-,-,-
4,Cost of Revenue,30.49,37.34,18.19,70.44,44.96,42.81,13.66,108.27,37.9,28.38,17.47,73.54,32.16,29.89,13.09,69.62,22.09,25.64,9.94
5,Gross Profit,83.99,77.71,52.42,136.13,119.81,83.41,38.01,238.59,102.75,78.18,46.54,193.02,72.2,75.12,35.58,148.41,58.03,55.22,27.35
6,"Selling, General & Admin",47.92,46.85,42.32,55.02,41.85,42.83,36.09,53.54,37.76,31.32,26.51,50,32.74,28.76,25.38,36,26.64,25.49,21.66
7,Research & Development,43.69,43.87,45.95,57.67,47.73,47.93,40.54,46.66,32.91,27.91,26.24,27.96,26.51,22.83,23.17,23.46,19.5,20.14,18.5
8,Other Operating Expenses,-0.68,-3.9,-0.96,-5.84,1.64,-7.35,-2.47,5.28,0.26,-6.83,-2.56,6.43,-4.99,-2.53,-13.49,0.01,-7.43,-1.77,-5.8
