,Fiscal Quarter,Current,H1 2024,H1 2023,H1 2023,H1 2022,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","May '23 May 31, 2023","May '22 May 31, 2022","Jun '21 Jun 30, 2021"
0,Market Capitalization,2947,4157,-,-,-,-
1,Enterprise Value,2662,3747,-,-,-,-
2,Last Close Price,6.33,8.93,-,-,-,-
3,PE Ratio,17.49,24.60,-,-,-,-
4,Forward PE,11.33,15.11,-,-,-,-
5,PS Ratio,1.33,1.92,-,-,-,-
6,PB Ratio,3.62,5.22,-,-,-,-
7,P/TBV Ratio,6.01,6.01,-,-,-,-
8,P/FCF Ratio,491.58,37.51,-,-,-,-
9,P/OCF Ratio,31.23,18.71,-,-,-,-
10,EV/Sales Ratio,1.22,1.73,-,-,-,-
11,EV/EBITDA Ratio,10.76,14.94,-,-,-,-
12,EV/EBIT Ratio,11.71,16.41,-,-,-,-
13,EV/FCF Ratio,443.09,33.81,-,-,-,-
14,Debt / Equity Ratio,0.19,0.19,-,0.09,-,0.28
15,Debt / FCF Ratio,17.65,1.35,-,0.44,-,1.55
16,Return on Capital Employed (ROCE),24.51%,24.69%,-,53.96%,-,29.30%
17,Earnings Yield,5.64%,4.11%,-,-,-,-
18,FCF Yield,0.20%,2.67%,-,-,-,-
19,Buyback Yield / Dilution,-6.22%,-9.45%,-,-0.17%,-,-
20,Total Shareholder Return,-2.49%,-9.45%,-,-0.17%,-,-
