,Fiscal Quarter,H1 2024,H1 2023,H1 2023,H1 2022,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","May '23 May 31, 2023","May '22 May 31, 2022","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,409.59,-,187.4,-,121.88
1,Trading Asset Securities,-,-,-,-,51.1
2,Cash & Short-Term Investments,409.59,-,187.4,-,172.97
3,Cash Growth,118.56%,-,8.34%,-,-
4,Accounts Receivable,65.61,-,58.22,-,34.69
5,Other Receivables,26.66,-,26.36,-,13.9
6,Receivables,92.27,-,84.59,-,48.59
7,Inventory,313.87,-,260.35,-,247.82
8,Prepaid Expenses,0.63,-,-,-,1.74
9,Other Current Assets,123.2,-,67.14,-,57.22
10,Total Current Assets,939.56,-,599.49,-,528.33
11,"Property, Plant & Equipment",281.68,-,94.19,-,65.86
12,Goodwill,75.17,-,75.17,-,64.15
13,Other Intangible Assets,1.35,-,1.02,-,0.58
14,Long-Term Deferred Tax Assets,49.83,-,29.91,-,8.68
15,Long-Term Deferred Charges,-,-,-,-,5.78
16,Other Long-Term Assets,13.02,-,2.87,-,5.86
17,Total Assets,1361,-,802.64,-,679.25
18,Accounts Payable,56.61,-,46.22,-,37.2
19,Accrued Expenses,83.07,-,68.08,-,25.87
20,Short-Term Debt,-,-,-,-,45.51
21,Current Portion of Leases,19.06,-,15.25,-,11.94
22,Current Income Taxes Payable,18.67,-,7.22,-,19.38
23,Current Unearned Revenue,250.85,-,169.64,-,142.3
24,Other Current Liabilities,71.86,-,59.51,-,87.02
25,Total Current Liabilities,500.1,-,365.92,-,369.21
26,Long-Term Debt,-,-,-,-,9.1
27,Long-Term Leases,119.87,-,20.92,-,12.2
28,Long-Term Deferred Tax Liabilities,0.05,-,1.1,-,2.52
29,Total Liabilities,620.03,-,387.95,-,393.04
30,Common Stock,93.1,-,86.7,-,86.7
31,Additional Paid-In Capital,433.39,-,156.43,-,157.5
32,Retained Earnings,193.51,-,137.02,-,34.56
33,Comprehensive Income & Other,-,-,11.49,-,-
34,Total Common Equity,720,-,391.64,-,278.76
35,Minority Interest,20.58,-,23.05,-,7.45
36,Shareholders' Equity,740.58,-,414.7,-,286.21
37,Total Liabilities & Equity,1361,-,802.64,-,679.25
38,Total Debt,138.93,-,36.17,-,78.75
39,Net Cash (Debt),270.67,-,151.24,-,94.22
40,Net Cash Growth,78.97%,-,60.51%,-,-
41,Net Cash Per Share,0.58,-,0.36,-,0.22
42,Filing Date Shares Outstanding,465.5,425.29,433.5,425.29,433.5
43,Total Common Shares Outstanding,465.5,425.29,433.5,425.29,433.5
44,Working Capital,439.46,-,233.56,-,159.12
45,Book Value Per Share,1.55,-,0.90,-,0.64
46,Tangible Book Value,643.48,-,315.46,-,214.02
47,Tangible Book Value Per Share,1.38,-,0.73,-,0.49
48,Buildings,-,-,16.82,-,16.82
49,Machinery,-,-,63.29,-,42.1
50,Leasehold Improvements,-,-,17.9,-,-
