,Fiscal Quarter,H1 2024,H1 2023,H1 2023,H1 2022,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","May '23 May 31, 2023","May '22 May 31, 2022","Jun '21 Jun 30, 2021"
0,Operating Revenue,1059,951.2,782.58,696.88,706.56
1,Other Revenue,-,-,-,-,0.17
2,Revenue,1059,951.2,782.58,696.88,706.73
3,Revenue Growth (YoY),35.36%,36.50%,10.73%,-,-
4,Cost of Revenue,545.51,463.77,376.57,337.31,376.95
5,Gross Profit,513.8,487.43,406.01,359.56,329.78
6,"Selling, General & Admin",427.88,340.35,269.34,247.26,223.72
7,Research & Development,12.36,11.93,9.58,8.81,9.56
8,Other Operating Expenses,-1.94,-1.83,-1.02,-4.02,4.52
9,Operating Expenses,438.3,350.45,277.9,252.05,238.95
10,Operating Income,75.5,136.98,128.12,107.52,90.83
11,Interest Expense,-3.53,-1.02,-0.86,-0.76,-1.68
12,Interest & Investment Income,3.33,1.61,1.05,0.57,1.34
13,Currency Exchange Gain (Loss),1.55,-,-,-,0
14,Other Non Operating Income (Expenses),-,-,-,-,-0.36
15,EBT Excluding Unusual Items,76.84,137.57,128.31,107.32,90.13
16,Gain (Loss) on Sale of Investments,0.91,1.22,1.17,0.48,-
17,Gain (Loss) on Sale of Assets,0.25,0.08,0.05,0.05,0.01
18,Other Unusual Items,-,-,-,-,-3.54
19,Pretax Income,78.01,138.87,129.53,107.85,86.6
20,Income Tax Expense,17.96,31.51,29.03,24.1,22.34
21,Earnings From Continuing Operations,60.05,107.37,100.5,83.76,64.25
22,Minority Interest in Earnings,-1.97,-6.29,-5.44,-4.98,-0.57
23,Net Income,58.08,101.08,95.06,78.77,63.69
24,Preferred Dividends & Other Adjustments,-,1.91,2,1.59,-
25,Net Income to Common,58.08,99.16,93.06,77.18,63.69
26,Net Income Growth,-38.90%,28.31%,49.26%,-,-
27,Shares Outstanding (Basic),465,425,425,425,425
28,Shares Outstanding (Diluted),465,425,425,425,425
29,Shares Change (YoY),9.45%,-,0.17%,-,-
30,EPS (Basic),0.12,0.23,0.22,0.18,0.15
31,EPS (Diluted),0.12,0.23,0.22,0.18,0.15
32,EPS Growth,-42.98%,28.47%,45.88%,-,-
33,Free Cash Flow,6,97.13,5.92,76.1,50.91
34,Free Cash Flow Per Share,0.01,0.23,0.01,0.18,0.12
35,Operating Margin,7.13%,14.40%,16.37%,15.43%,12.85%
36,Profit Margin,5.48%,10.42%,11.89%,11.08%,9.01%
37,Free Cash Flow Margin,0.57%,10.21%,0.76%,10.92%,7.20%
38,EBITDA,86.68,146.69,135.99,114.77,94.52
39,D&A For EBITDA,11.18,9.72,7.87,7.26,3.69
40,EBIT,75.5,136.98,128.12,107.52,90.83
41,Advertising Expenses,-,-,125.05,137.33,122.38
