,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q1 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019"
0,Operating Revenue,732.09,407.01,540.97,755.14,819.48,625.59,641.06,800.13,732.22,373.11,522.18,517.55,719.5,446.22,588.85,458.44,638.55,301.03,323.96,377.26
1,Other Revenue,-125.46,125.46,-,-,-60.64,60.64,-,-,-65.85,65.85,-,127.36,-73.76,73.76,-,152.39,-87.03,87.03,-,3.28
2,Revenue,606.63,532.47,540.97,755.14,758.85,686.23,641.06,800.13,666.37,438.96,522.18,644.92,645.74,519.98,588.85,610.83,551.52,388.06,323.96,380.54
3,Revenue Growth (YoY),-20.06%,-22.41%,-15.61%,-5.62%,13.88%,56.33%,22.77%,24.07%,3.19%,-15.58%,-11.32%,5.58%,17.08%,34.00%,81.77%,60.52%,-,-,-,-
4,Cost of Revenue,509.73,443.76,443.87,636.06,611.07,557.35,532.3,681.84,589.75,401.06,462.29,565.7,559.27,488.62,467.8,461.97,405.04,305.87,245.98,265.63
5,Gross Profit,96.9,88.71,97.11,119.08,147.78,128.88,108.76,118.29,76.61,37.91,59.89,79.21,86.47,31.36,121.05,148.87,146.49,82.19,77.98,114.91
6,"Selling, General & Admin",67.7,55.98,45.44,44.28,46.62,39.05,31.35,28.63,39.82,31.88,35.21,29.64,31.21,8.64,43.08,48.59,43.72,36.26,32.16,33.49
7,Research & Development,7.62,8.12,6.66,8.65,8.45,7.19,7.13,6.9,8.2,7.11,6.81,6.7,6.56,6.88,5.07,5.92,5.51,3.39,2.67,2.14
8,Other Operating Expenses,-1.63,3.66,0.85,17.59,1.28,1.58,-5.72,15.47,-0.9,-5.04,0.95,10.68,-0.44,-0.63,-0.39,14.4,1.64,-4.67,-2.8,3.06
9,Operating Expenses,65.19,76.56,44.15,70.74,55.52,50.89,29.7,56.86,53.35,34.69,39.45,46.67,41.06,15.93,45.84,69.23,54.82,31.91,32.06,37.85
10,Operating Income,31.71,12.15,52.95,48.34,92.26,77.99,79.06,61.43,23.26,3.22,20.44,32.54,45.41,15.44,75.21,79.64,91.67,50.27,45.92,77.06
11,Interest Expense,-0.48,-1.28,-1.16,-2.7,-2.55,-3.18,-2.29,-1.11,-1.51,-0.63,-0.15,-0.17,-0.19,-0.2,-0.22,-,-0.12,-0.66,-0,-0
12,Interest & Investment Income,1.94,5.19,3.7,3.05,5.8,6.43,0.64,4.23,1.24,1.41,1.39,0.99,1.88,2.08,0.44,0.17,0.19,0.17,0.94,0.61
13,Earnings From Equity Investments,-,0.15,-0.15,-,-,0.58,-0.58,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Currency Exchange Gain (Loss),-1.3,1.3,-,1.35,-3.58,3.58,-,16.41,-10.48,10.48,-,-2.81,0.94,-0.94,-,-7.95,-2.53,2.53,-,-
15,Other Non Operating Income (Expenses),-0.99,0.77,-0.89,-27.54,2.09,2.1,0.94,-33.12,33.8,-1.57,-0.9,1.05,0.22,-2.62,-0.74,1.78,-2.16,-2.6,1,-3.58
16,EBT Excluding Unusual Items,30.88,18.29,54.46,22.49,94.02,87.5,77.77,47.85,46.31,12.9,20.78,31.61,48.27,13.76,74.7,73.64,87.04,49.72,47.85,74.09
17,Gain (Loss) on Sale of Investments,0.3,2.62,4.98,24.56,5.97,6.08,6.49,16.64,-9.08,4.17,3.88,4.63,4.23,2.71,3.17,3.52,3.18,3.25,2.04,3.11
18,Gain (Loss) on Sale of Assets,0.28,-0.68,-,-0.32,0.16,-0.16,-0.01,-0.54,-0.01,0.01,0.1,-0.15,0.54,0.29,-0.1,-0.66,0.63,-0.64,-0.12,-0
19,Asset Writedown,-5.67,-0.16,0.16,4.65,-4.65,0.68,-0.68,4.85,-4.85,3.28,-3.28,4.91,-4.91,3.26,-3.26,4.97,-4.97,-1.82,1.82,-0.3
20,Legal Settlements,0.78,-0.78,-,-1.75,1.23,-1.23,-,-0.13,-,-,-,-1.61,1.14,-1.14,-,-0.17,0.01,-0.01,-,-
21,Other Unusual Items,-9.78,9.78,-,21.82,-2.36,2.36,-,9.75,-,-,-,12.3,-,-,-,17.54,-,-,-,1.31
