,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q1 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019"
0,Market Capitalization,5489,5071,4362,5536,6264,7532,8696,7672,7076,5300,6652,6848,8612,7272,11120,-,-,-,-,-,-
1,Market Cap Growth,-32.68%,-32.68%,-49.84%,-27.84%,-11.48%,42.11%,30.73%,12.03%,-17.84%,-27.12%,-40.18%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4676,4302,3448,4710,5438,6739,7923,6845,6249,4451,5793,5936,7700,6380,10569,-,-,-,-,-,-
3,Last Close Price,13.88,12.82,10.94,13.54,15.32,18.42,21.27,18.68,17.23,12.91,16.20,16.55,20.81,17.57,26.87,-,-,-,-,-,-
4,PE Ratio,41.39,37.73,22.76,23.05,24.30,28.87,40.02,47.54,61.33,52.66,59.22,61.46,57.14,39.49,53.00,-,-,-,-,-,-
5,Forward PE,52.38,39.55,39.55,39.55,39.55,39.55,39.55,39.55,39.31,35.10,29.18,26.80,37.99,-,-,-,-,-,-,-,-
6,PS Ratio,2.28,2.08,1.69,2.02,2.20,2.61,3.11,3.01,2.91,2.33,2.95,2.94,3.59,3.07,4.90,-,-,-,-,-,-
7,PB Ratio,2.55,2.35,2.03,2.43,2.79,3.43,4.09,3.68,3.50,2.70,3.43,3.47,4.40,3.79,5.92,-,-,-,-,-,-
8,P/TBV Ratio,2.41,2.41,2.09,2.49,2.86,3.52,4.21,3.78,3.60,2.78,3.54,3.58,4.54,3.91,6.11,-,-,-,-,-,-
9,P/FCF Ratio,42.31,39.09,-,16.92,30.08,48.31,86.54,321.20,437.68,-,170.91,-,-67.57,-71.60,-,-,-,-,-,-,-
10,P/OCF Ratio,21.96,21.96,-,13.41,21.29,30.79,46.06,66.74,57.13,-,33.58,54.09,86.13,68.79,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.92,1.77,1.33,1.72,1.91,2.33,2.84,2.69,2.57,1.96,2.57,2.54,3.21,2.70,4.65,-,-,-,-,-,-
12,EV/EBITDA Ratio,19.86,18.98,12.10,13.46,14.55,17.52,25.28,28.99,35.66,30.89,35.92,34.89,35.01,24.22,34.18,-,-,-,-,-,-
13,EV/EBIT Ratio,32.21,29.63,16.76,17.34,18.27,21.69,32.77,41.00,57.68,56.01,57.01,52.15,45.67,29.58,40.35,-,-,-,-,-,-
14,EV/FCF Ratio,36.04,33.16,-,14.40,26.12,43.22,78.84,286.59,386.54,-,148.83,-,-60.41,-62.82,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.12,0.12,0.07,0.11,0.25,0.34,0.34,0.31,0.28,0.12,0.02,0.00,0.00,0.00,0.00,0.01,0.00,0.00,-,-,0.00
16,Debt / EBITDA Ratio,1.09,1.23,1.12,0.88,1.94,1.69,1.82,1.69,1.70,1.57,0.40,0.05,0.04,0.04,0.07,0.03,0.00,0.00,-,-,0.00
17,Debt / FCF Ratio,1.97,1.97,-,0.78,2.67,4.79,7.23,27.43,34.62,-,0.93,-,-0.06,-0.08,-,-,0.01,0.00,-,-,-
18,Asset Turnover,0.90,0.79,0.72,0.92,0.91,0.85,0.82,1.10,1.05,0.74,0.87,1.06,1.10,1.01,1.28,1.37,-,-,-,-,
19,Inventory Turnover,5.73,5.69,5.61,5.94,7.99,7.29,6.76,6.25,7.51,6.53,4.72,5.39,6.05,6.12,5.95,6.71,7.98,-,-,-,-
20,Quick Ratio,2.35,2.35,3.10,2.93,2.03,1.74,1.70,1.77,1.69,1.98,2.78,3.14,2.52,2.59,3.09,2.16,1.97,2.20,-,-,2.81
21,Current Ratio,3.15,3.15,4.19,3.70,2.43,2.09,2.05,2.13,2.07,2.61,3.82,4.38,3.53,3.62,4.29,3.30,2.73,2.95,-,-,3.47
22,Return on Equity (ROE),2.56%,4.34%,8.20%,9.22%,12.92%,13.77%,12.33%,11.03%,5.50%,3.35%,3.51%,8.28%,8.09%,3.69%,15.76%,21.52%,-,-,-,-,
23,Return on Assets (ROA),2.94%,1.12%,4.40%,3.67%,6.90%,6.04%,6.30%,5.28%,2.29%,0.34%,2.13%,3.35%,4.85%,1.88%,10.21%,11.19%,-,-,-,-,
24,Return on Capital (ROIC),3.36%,1.26%,4.96%,4.21%,7.97%,6.97%,7.42%,6.41%,2.78%,0.41%,2.59%,4.18%,5.95%,2.30%,13.07%,14.55%,-,-,-,-,
25,Return on Capital Employed (ROCE),6.50%,6.50%,9.28%,11.62%,12.88%,13.81%,11.10%,7.80%,5.23%,3.95%,5.13%,5.66%,8.45%,11.02%,13.67%,19.87%,18.85%,19.75%,-,-,7.88%
26,Earnings Yield,2.45%,2.65%,4.39%,4.34%,4.11%,3.46%,2.50%,2.10%,1.63%,1.90%,1.69%,1.63%,1.75%,2.53%,1.89%,-,-,-,-,-,-
27,FCF Yield,2.36%,2.56%,3.00%,5.91%,3.32%,2.07%,1.16%,0.31%,0.23%,-0.38%,0.59%,-1.07%,-1.48%,-1.40%,-0.27%,-,-,-,-,-,-
28,Dividend Yield,1.98%,-,-,-,1.83%,-,-,-,0.52%,-,-,-,0.58%,-,-,-,-,-,-,-,-
29,Payout Ratio,82.75%,-,467.56%,-,0.54%,0.81%,50.57%,0.50%,-,11.27%,294.64%,-,-,-,-,-,-,0.22%,0.48%,-,0.00%
30,Buyback Yield / Dilution,-2.06%,7.00%,0.17%,-5.14%,-10.48%,-6.10%,1.88%,8.21%,4.99%,4.34%,-1.26%,-21.89%,-8.09%,-7.91%,-14.62%,0.97%,-1.66%,-,-,-,-
31,Total Shareholder Return,-0.08%,7.00%,0.17%,-5.14%,-8.65%,-6.10%,1.88%,8.21%,5.51%,4.34%,-1.26%,-21.89%,-7.52%,-7.91%,-14.62%,0.97%,-1.66%,-,-,-,-
