,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,99.74,139.67,140.42,171.82,99,177.76,111.58,126.51,161,143.56
1,Short-Term Investments,-,10.6,-,11.93,-,15.29,-,20.64,6,13.93
2,Trading Asset Securities,-,-,-,-,-,-,-,30.31,-,-
3,Cash & Short-Term Investments,99.74,150.27,140.42,183.75,99,193.06,111.58,177.46,167,157.48
4,Cash Growth,-28.97%,-18.22%,41.83%,-4.82%,-11.27%,8.79%,-33.18%,12.68%,14.08%,-8.85%
5,Accounts Receivable,281.03,236.24,284.44,256.01,332.71,201.17,211.21,143.03,185.94,100.18
6,Other Receivables,-,8.02,-,16.89,-,5.65,-,3.56,-,1.66
7,Receivables,281.03,267.45,284.44,294.92,332.71,206.81,211.21,146.59,185.94,101.84
8,Inventory,0.24,0.1,0.13,0.08,0.11,0.13,0.22,0.22,0.22,0.17
9,Prepaid Expenses,-,0.9,-,2.63,-,2.27,-,1.72,-,1.31
10,Restricted Cash,22.83,27.11,9.22,22.32,19.97,22.42,12.31,12.53,10.65,14.11
11,Other Current Assets,133.21,66.65,126.52,78.59,98.16,68.08,114.54,39.87,117.51,36.46
12,Total Current Assets,537.05,512.49,560.72,582.28,549.95,492.77,449.87,378.39,481.31,311.38
13,"Property, Plant & Equipment",63.86,69.74,52.43,50.29,40.04,43.94,44.95,42.27,46.19,4.37
14,Long-Term Investments,129.37,121.25,94.07,89.15,97.34,100.5,91.97,114.3,119.59,109.16
15,Goodwill,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,-
16,Other Intangible Assets,10.03,12.31,33.89,37.05,40.24,43.94,47.55,50.86,54.45,3.49
17,Long-Term Accounts Receivable,8.82,9.22,9.78,41.19,82.27,88.17,-,-,-,-
18,Long-Term Deferred Tax Assets,20.89,18.86,3.5,1.55,1.64,0.86,1.53,0.84,0.66,0.21
19,Other Long-Term Assets,157.37,161.79,219.73,189.28,148.28,154.6,33.53,43.68,2.31,30
20,Total Assets,953.29,931.55,1000,1017,985.66,950.67,695.29,656.23,730.41,458.61
21,Accounts Payable,132.62,126.91,131.89,132.23,129.79,116.77,135.45,107.63,85,74.92
22,Accrued Expenses,-,50.16,-,43.59,-,35.8,-,33.51,-,22.06
23,Short-Term Debt,-,172.72,-,145.35,-,103.97,-,82.48,-,61.52
24,Current Portion of Long-Term Debt,192.49,13.56,170.97,10.33,134.46,8.72,82.07,14.53,129,-
25,Current Portion of Leases,21.03,25.03,22.85,20.97,15.34,15.71,3.42,3.39,3.84,-
26,Current Income Taxes Payable,17.72,17.94,24.1,16.77,22.7,20.52,7.77,12.37,13.07,7.04
27,Current Unearned Revenue,-,12.2,-,14.31,-,18.51,-,5.85,-,6.64
28,Other Current Liabilities,138.78,63.75,104.27,76.22,115.86,68.68,108.95,43.43,132.94,46.86
29,Total Current Liabilities,502.64,482.27,454.07,459.75,418.14,388.68,337.67,303.19,363.85,219.04
