,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,89,128,148,203,255,567,741,761,765,778,798
1,Market Cap Growth,-37.00%,-37.00%,-42.06%,-64.29%,-65.57%,-25.53%,-3.17%,-2.08%,-4.06%,-28.62%,-27.04%
2,Enterprise Value,474,465,477,486,615,806,799,780,838,683,682
3,Last Close Price,0.22,0.32,0.36,0.50,0.62,1.37,1.75,1.80,1.80,1.82,1.87
4,PE Ratio,-,-1.64,-,145.61,18.02,18.14,15.65,20.12,24.59,36.24,40.06
5,PS Ratio,0.09,0.13,0.15,0.20,0.25,0.54,0.68,0.74,0.84,1.19,1.48
6,PB Ratio,0.40,0.42,0.48,0.51,0.61,1.29,1.68,1.87,1.93,2.08,2.98
7,P/TBV Ratio,0.70,0.70,0.81,0.84,1.02,2.12,2.82,3.18,3.75,4.10,3.17
8,P/FCF Ratio,-,-,-4.65,-,-16.91,-,34.51,-,9.31,-,-435.16
9,P/OCF Ratio,7.58,-,44.79,-,70.46,-,17.92,-,7.80,-,1000.31
10,EV/Sales Ratio,0.48,0.47,0.47,0.48,0.59,0.76,0.73,0.76,0.92,1.04,1.27
11,EV/EBITDA Ratio,-,-9.36,-,12.81,11.34,10.18,10.90,14.37,14.55,25.00,-
12,EV/EBIT Ratio,-,-5.75,-,29.74,19.36,14.81,16.13,25.89,21.59,32.26,-
13,EV/FCF Ratio,-25.38,-,-15.01,-,-40.73,-,37.19,-,10.19,-,-372.23
14,Debt / Equity Ratio,1.34,1.34,1.36,0.96,0.94,0.86,0.87,0.27,0.32,0.43,0.26
15,Debt / FCF Ratio,-,-,-13.16,-,-26.15,-,17.81,-,1.55,-,-37.53
16,Return on Capital Employed (ROCE),-,-16.70%,-,2.77%,5.04%,8.19%,7.18%,7.00%,9.26%,5.26%,-
17,Earnings Yield,-87.69%,-60.97%,-55.49%,0.69%,5.55%,5.51%,6.39%,4.97%,4.07%,2.76%,2.50%
18,FCF Yield,-21.05%,-14.63%,-21.50%,19.33%,-5.91%,-8.46%,2.90%,6.40%,10.74%,3.05%,-0.23%
19,Dividend Yield,0.00%,-,-,-,-,-,-,-,1.22%,0.56%,0.43%
20,Buyback Yield / Dilution,-,-,-,-,-,-17.11%,12.75%,11.79%,-10.68%,8.92%,
21,Total Shareholder Return,-,-,-,-,-,-17.11%,12.75%,13.01%,-10.12%,9.34%,
