,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,12666,14702.0,14013,11413,11715,10116,6279,7890,10949,6932,Upgrade
1,Long-Term Investments,25824,26034.0,26616,27639,29668,30137,29897,27343,25516,25884,Upgrade
2,Trading Asset Securities,4754,5220.0,4908,4817,6330,7591,7689,5427,5945,5152,Upgrade
3,Loans & Lease Receivables,13138,16082.0,14880,15789,17019,18027,16380,15890,14844,16944,Upgrade
4,Other Receivables,3317,1806.0,2848,1975,3148,1460,1152,901.2,814.1,1038,Upgrade
5,"Property, Plant & Equipment",4065,4566.0,2692,2787,2804,2469,1578,1516,1342,1284,Upgrade
6,Goodwill,132.9,135.7,135.7,135.7,135.8,132.9,132.9,132.9,132.9,132.9,Upgrade
7,Other Intangible Assets,71.9,71.5,73.5,70.2,69.5,71.4,44.8,43.7,31.5,32.5,Upgrade
8,Other Current Assets,2985,2487.0,2663,5447,474.6,3363,251,270.6,412.3,359.3,Upgrade
9,Long-Term Deferred Tax Assets,477,504.6,540.1,616.7,649.6,687.5,653.7,794.9,829.4,788.7,Upgrade
10,Other Long-Term Assets,33627,33674.0,33915,34249,34590,35303,10153,10127,10053,10297,Upgrade
11,Total Assets,112938,113817.0,111224,113250,117198,120308,74211,70337,70870,68843,Upgrade
12,Interest Bearing Deposits,-,188.0,-,226.1,-,249.4,-,48,-,49.6,Upgrade
13,Total Deposits,-,188.0,-,226.1,-,249.4,-,48,-,49.6,Upgrade
14,Accounts Payable,1399,1155.0,1145,1178,1339,1249,148.3,1,194,1.1,Upgrade
15,Accrued Expenses,3355,2781.0,3565,1256,2338,1608,657.6,275.8,437.2,239.4,Upgrade
16,Short-Term Debt,3293,3720.0,3992,3669,5002,5277,6642,172.4,6199,2687,Upgrade
17,Current Portion of Long-Term Debt,9808,8828.0,7265,5873,11722,12177,6081,11385,6478,5040,Upgrade
18,Current Portion of Leases,139.4,124.4,135.2,148.6,143.7,147.2,122.5,107.9,111.3,136.5,Upgrade
19,Long-Term Debt,9761,11834.0,12430,14595,13096,11998,8785,8255,8361,10267,Upgrade
20,Long-Term Leases,248.1,258.6,178.5,265.7,291.2,322.3,228.4,175.2,53.4,77.1,Upgrade
21,Long-Term Unearned Revenue,6.9,8.1,-,-,-,-,-,-,-,-,Upgrade
22,Current Income Taxes Payable,2301,2286.0,2122,2204,2159,2118,203.6,149.8,247.1,368.1,Upgrade
23,Other Current Liabilities,398.1,1519.0,389.6,1621,271.7,1056,144.1,641.7,647,1024,Upgrade
24,Long-Term Deferred Tax Liabilities,6241,6368.0,6203,6411,6821,7242,159.8,157,158.7,157.8,Upgrade
25,Other Long-Term Liabilities,167.7,170.5,152.5,133.3,155.2,49.5,53.4,2.5,4.9,4.9,Upgrade
26,Total Liabilities,45893,46417.0,45058,45043,46664,46460,23225,21371,22891,20053,Upgrade
27,Common Stock,2222,2222.0,2222,2222,2222,2222,2222,2222,2222,2222,Upgrade
28,Retained Earnings,42951,43163.0,42998,42530,42921,43966,37988,34369,25914,26120,Upgrade
29,Comprehensive Income & Other,-1850,-1842.0,-2272,-1637,-828,26.9,827.8,428.3,-495.8,-235.5,Upgrade
30,Total Common Equity,43323,43543.0,42948,43115,44314,46215,41037,37019,27639,28106,Upgrade
31,Minority Interest,23723,23858.0,23218,25092,26220,27633,9948,11946,20340,20684,Upgrade
32,Shareholders' Equity,67046,67400.0,66165,68207,70534,73848,50986,48965,47980,48790,Upgrade
33,Total Liabilities & Equity,112938,113817.0,111224,113250,117198,120308,74211,70337,70870,68843,Upgrade
34,Total Debt,23250,24764.0,24000,24551,30255,29922,21859,20096,21202,18208,Upgrade
35,Net Cash (Debt),-5830,-4842.0,-5080,-8321,-12210,-12045,-7890,-6779,-4307,-6125,Upgrade
36,Net Cash Per Share,-1.66,-1.38,-1.45,-2.37,-3.47,-3.43,-2.24,-1.93,-1.23,-1.74,Upgrade
37,Filing Date Shares Outstanding,3514,3514.0,3514,3514,3514,3515,3515,3515,3515,3515,Upgrade
38,Total Common Shares Outstanding,3514,3514.0,3514,3514,3514,3515,3515,3515,3515,3515,Upgrade
39,Working Capital,17109,18584.0,18487,21051,19578,21199,14411,14584,15519,17251,Upgrade
40,Book Value Per Share,12.33,12.39,12.22,12.27,12.61,13.15,11.67,10.53,7.86,8.00,Upgrade
41,Tangible Book Value,43118,43335.0,42738,42909,44109,46010,40860,36843,27475,27941,Upgrade
42,Tangible Book Value Per Share,12.27,12.33,12.16,12.21,12.55,13.09,11.62,10.48,7.82,7.95,Upgrade
