,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3866,3993,3143,2725,2612,3262,3591,3282,3516,3308,3176,3384,3213,4591,4590,4064,3585,-,-,-,-
1,Market Cap Growth,22.42%,22.42%,-12.47%,-16.99%,-25.71%,-1.38%,13.07%,-2.99%,9.42%,-27.96%,-30.81%,-16.74%,-10.37%,-,-,-,-,-,-,-,-
2,Enterprise Value,3339,3466,2615,2476,2055,2705,3163,2734,2932,2723,2612,2750,2562,3939,3924,3342,3417,-,-,-,-
3,Last Close Price,26.79,27.67,21.78,18.75,17.56,21.92,24.14,21.97,23.53,22.12,21.24,23.02,21.77,31.10,31.10,27.53,23.96,-,-,-,-
4,PE Ratio,21.96,26.14,23.87,20.10,16.93,22.08,24.17,23.00,28.07,23.35,22.25,24.01,24.59,37.68,27.53,26.14,22.61,-,-,-,-
5,PS Ratio,5.28,6.28,4.72,3.84,3.35,4.23,4.74,4.51,5.54,5.08,5.39,6.17,6.24,8.92,7.61,6.96,5.94,-,-,-,-
6,PB Ratio,3.66,2.53,1.99,1.77,1.69,2.14,2.29,2.27,2.53,2.44,2.42,2.66,2.57,3.78,3.89,3.54,3.04,-,-,-,-
7,P/TBV Ratio,2.62,2.62,2.06,1.84,1.73,2.20,2.35,2.33,2.61,2.51,2.49,2.75,2.65,3.91,4.02,3.67,3.15,-,-,-,-
8,P/FCF Ratio,-,-,19.17,-,-,44.14,-30.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-
